"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","individualCount"
"1","2021-04-05 14:34:03-03","UNESC","CRI","7592","PreservedSpecimen","Plantae","Primulaceae","Myrsine","hermogenesii","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Marcelo Romagna Pasetto","2008","05","12","Marcelo Romagna Pasetto; Vanilde Citadini-Zanette","2008","05","12","Brasil","Santa Catarina","Siderópolis","-49.419167","-28.594167","49º25'9''W","28º35'39''S","CRI008703","CRI008703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423001","PreservedSpecimen","Plantae","Primulaceae","Myrsine","hermogenesii","Myrsine hermogenesii","(S.L.Jung & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA,"L. Daneu","2011","11","12","Brazil","Bahia","Arataca","-39.3394","-15.1742",NA,NA,"NY02423001","NY02423001_01","Magnoliophyta","Ericales","618","South America","PARNA Serra das Lontras, trilha do Talhão","700","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2679919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"3","2020-11-13 09:20:46-03","UFRJ","RFA","27179","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Jung-Mend & Bernacci","M. F. Freitas","2001","11","26","A. Quinet","2001","03","04","Brasil","Rio de Janeiro","Magé","-43.117222","-22.567222","43º7'2''W","22º34'2''S","RFA41855",NA,NA,NA,"31/76",NA,"Distrito de Piabetá, Estrada do Matão","250","250",NA,"Arbusto, 1,5m de altura, 5cm de DAP, folha verde discolor fruto verde, comum no local",NA,NA,NA,NA,NA
"4","2020-11-04 11:17:49-03","ESALQ","ESA","109488","PreservedSpecimen","Plantae","Primulaceae","Myrsine","hermogenesii","Myrsine hermogenesii",NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",NA,NA,NA,"Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666",NA,NA,"ESA109488","ESA109488","Magnoliophyta",NA,"30125.0",NA,"Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes",NA,NA,NA,NA,"34059","auto",NA,NA,NA
"5","2020-11-04 12:15:57-03","ESALQ","ESA","137174","PreservedSpecimen","Plantae","Primulaceae","Myrsine","hermogenesii","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA,"Colletta, G. D","2015","11","17","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"ESA137174",NA,NA,NA,"2353.0",NA,"Parque Estadual de Carlos Botelho, trilha interna Km 16",NA,NA,NA,"Árvore, 7m (estéril)","27904","auto",NA,NA,NA
"6","2020-11-04 11:17:49-03","ESALQ","ESA","128495","PreservedSpecimen","Plantae","Primulaceae","Myrsine","hermogenesii","Myrsine hermogenesii",NA,"Ivanauskas, N.M. & Souza, V.C.","2013","03","26","Polisel, R.T.","2013","03","26","Brasil","São Paulo","Tapiraí","-47.31","-24.02","-47.31","-24.02","ESA128495",NA,"Magnoliophyta",NA,"1079.0",NA,"Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).","516","516",NA,"Planta jovem de 1,0 m de altura.",NA,NA,NA,NA,NA
"7","2020-11-04 11:17:50-03","ESALQ","ESA","75303","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Jung-Mend. & Bernacci",NA,NA,NA,NA,"Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2001","04","11","Brasil","São Paulo","São Paulo","-467.333",NA,"-467,333","-23,983,333","ESA075303",NA,"Magnoliophyta",NA,"62.0",NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. Floresta ribeirinha altomontana com campo adjacente.","800","800",NA,"Ca. 8m alt. Frutos imaturos verdes.",NA,NA,NA,NA,NA
"8","2020-11-04 11:17:50-03","ESALQ","ESA","75337","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Bernacci & Jung-Mendaçolli","Jung-Mendaçolli, S.L.","2005","01","01","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2001","04","16","Brasil","São Paulo","Itanhaém","-468.181",NA,"-468,181","-24,047,694","ESA075337","ESA075337","Magnoliophyta",NA,"175.0",NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana no entorno do Vale do Rio Mambu.","30","30",NA,"Árvore, ca. 8m alt. Frutos imaturos verdes.",NA,NA,NA,NA,NA
"9","2020-11-04 11:17:50-03","ESALQ","ESA","4701","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Bernacci & Jung-Mendaçolli","Jung-Mendaçolli, S.L.","2005","01","01","Catharino, E.L.M.","1985","09","21","Brasil","São Paulo","Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"ESA004701","ESA004701","Magnoliophyta",NA,"406.0",NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA
"10","2020-11-04 11:17:50-03","ESALQ","ESA","10607","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Jug-Mend. & Bernacci","Jung-Mendaçolli, S.L.","2005","01","01","Rodrigues, R.R.","1993","04","16","Brasil","São Paulo","Apiaí","-48.8400001525879","-24.5",NA,NA,"ESA010607","ESA010607","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"37738","auto",NA,NA,NA
"11","2020-11-04 11:17:50-03","ESALQ","ESA","108327","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii",NA,"Souza, V.C.",NA,NA,NA,"Silva, A.L.R.","2007","08","26","Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818",NA,NA,"ESA108327","ESA108327","Magnoliophyta",NA,"24.0",NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA
"12","2020-11-04 11:17:50-03","ESALQ","ESA","31948","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Bernacci & Jung-Mendaçolli","Jung-Mendaçolli, S.L.","2005","01","01","Árbocz, G.F. et al.","1995","02","09","Brasil","São Paulo","Eldorado","-48.0999984741211","-24.5200004577637",NA,NA,"ESA031948","ESA031948","Magnoliophyta",NA,"32717.0",NA,NA,NA,NA,NA,NA,"38804","auto",NA,NA,NA
"13","2020-11-04 11:17:50-03","ESALQ","ESA","29582","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Jung-Mend. & Bernacci","Jung-Mendaçolli, S.L.",NA,NA,NA,"Ivanauskas, N.M.","1995","01","01","Brasil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727",NA,NA,"ESA029582","ESA029582","Magnoliophyta",NA,"936.0",NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA
"14","2020-11-04 11:17:50-03","ESALQ","ESA","29572","PreservedSpecimen","Plantae","Primulaceae","Rapanea","hermogenesii","Rapanea hermogenesii","Jung-Mend. & Bernacci","Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.","1995","01","01","Brasil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727",NA,NA,"ESA029572","ESA029572","Magnoliophyta",NA,"921.0",NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA
"15","2019-08-27 13:31:57-03","IAP","PACA-AGP","110485","PreservedSpecimen","Plantae","Myrsinaceae","Myrsine","hermogenesii","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","A.A. de Oliveira","2010","09","30","M. Verdi","2009","09","26","Brasil","SC","Jacinto Machado","-49.859167","-28.979444","49°51'33W","28°58'46S","PACA110485",NA,"Magnoliophyta","Primulales","2729",NA,"Cará.","311","311",NA,"FURB 29277 Habitat: interior do fragmento Hábito: arbórea Ecossistema: floresta ombrófila densa",NA,NA,"Magnoliatae",NA,NA
"16","2019-08-27 13:31:57-03","IAP","PACA-AGP","64814","PreservedSpecimen","Plantae","Myrsinaceae","Myrsine","hermogenesii","Myrsine hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Maria de Fátima Freitas","2001","01","30","R. Klein","1953","08","13","Brasil","SC","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"PACA064814",NA,"Magnoliophyta","Primulales","552",NA,"Mata do Malucher",NA,NA,NA,"HBR 9922 Habitat: mata","19684","auto","Magnoliatae",NA,NA
