"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","482426","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","concolor","Gomesa concolor","(Hook.) M.W.Chase & N.H.Williams","P. K. H. Dusén","8710","1909","10","03","South America","Brazil","Paraná","Piraquara","Roca Nova, in trunc. arb.","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482426","NY00482426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","482427","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","concolor","Gomesa concolor","(Hook.) M.W.Chase & N.H.Williams","P. K. H. Dusén","6973","1908","11","02","South America","Brazil","Paraná","Piraquara","Roça Nova, in silva prim.","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482427","NY00482427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","482428","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","ottonis","Gomesa ottonis","(Schltr.) J.M.H.Shaw & M. Giannak.","L. B. Smith","12429","1964","10","12","South America","Brazil","Santa Catarina","Catanduvas","East of Catanduvas","-51.75","-27.05","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482428","NY00482428_01","700","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","482430","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","ottonis","Gomesa ottonis","(Schltr.) J.M.H.Shaw & M. Giannak.","R. Reitz","13416","1962","10","24","South America","Brazil","Santa Catarina","Monte Castelo","Serra do Espigao","-50.2308","-26.4622","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482430","NY00482430_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","482429","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","ottonis","Gomesa ottonis","(Schltr.) J.M.H.Shaw & M. Giannak.","J. M. Silva","2015","1997","10","01","South America","Brazil","Paraná","Piraquara","Serra Piramirim","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482429","NY00482429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-09-10 21:43:51-03","UNEMAT","TANG","5268","S","Plantae",NA,NA,"Orchidaceae","Cohniella","cebolleta","Cohniella cebolleta","(Jacq.) Christenson","Engels, ME; Bronholi, AZ","3573","2015","08","12",NA,"Brasil","Mato Grosso","Itaúba","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado. Lote D de supressão.","-55.673744","-10.998022",NA,NA,"TANG000005268",NA,"276","276","Engels, ME","2015","08","12","-55.673744","-10.998022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-09-10 21:43:51-03","UNEMAT","TANG","6473","S","Plantae",NA,NA,"Orchidaceae","Cohniella","cebolleta","Cohniella cebolleta","(Jacq.) Christenson","Ferneda Rocha, LC","361","2015","07","09",NA,"Brasil","Mato Grosso","Colíder","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecís, região de ecótono entre a Floresta Amazônica de Cerrado. Cultivo no centro de triagem .","-55.4508018493652","-10.8177995681763",NA,NA,"TANG000006473",NA,NA,NA,"Ferneda Rocha, LC","2015","09","19",NA,NA,"78569","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-18 16:26:37-02","UNEMAT","TANG","1757","S","Plantae",NA,NA,"Orchidaceae","Cohniella","cebolleta","Cohniella cebolleta","(Jacq.) Christenson","Santos, AP","3","2011","08","04",NA,"Brasil","Mato Grosso","Tangará da Serra","Epifitário Catasetum UNEMAT.","-57.4858016967773","-14.6194000244141",NA,"Flores amarelas pêndulas.","TANG000001757",NA,NA,NA,"Koch, AK","2011","11","10",NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-27 20:28:30-03","PUCPR","HUCP","19050-B","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Gomesa","concolor","Gomesa concolor","(Hook.) M.W. Chase. & N.H.Williams","Silva, C","078","1996","04","22",NA,"Brasil","Parana","Morretes","Anhanha","-48.834400177002","-25.476900100708",NA,NA,"HUCP00003318","HUCP00003318",NA,NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:36-03","PUCPR","HUCP","21589","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Gomesa","concolor","Gomesa concolor","(Hook.) M.W. Chase. & N.H.Williams","Ariati, V; Lozano, E","468","2010","10","10",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00003225","HUCP00003225",NA,NA,"Kersten, RA",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
