"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","individualCount","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863873","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","pandurifolius","Heterocondylus pandurifolius","(Baker) R.M.King & H.Rob.","A. Pontes; M. A. G. Magenta","A. Pontes","548","2002","11","09","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Ao lado da estrada São Roque de Minas - Sacramento, a 2 km da Portaria de São Roque","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863873","NY00863873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:31:45-03","UFBA","ALCB","126664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Roque, N","Roque, N; Sano, PT","s/n","1992","07","19","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 125 da Rodovia Belo Horizonte-Conceição do Mato Dentro. Elevação em frente à Estátua do Velho Juca.","-43.7144012451172","-19.1688995361328",NA,"ca. 0,5 m. Flores lilases, brácteas involucrais vinho-escuras.","ALCB039594",NA,"1996","12","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:30-03","UFBA","ALCB","108373","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Calvo, J","Quaresma, AS; Goncalves, DJP; Cota, MMT; Costa, FN","262","2011","12","14","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para Chapada de Couto, logo apos a bifurcacao para Covao","-43.6002998352051","-18.2493991851807",NA,"ca. 70cm. Bracteas involucrais vinaceas, tubo e corola rosea, lobos e estigmas alvos. Silica.",NA,NA,NA,NA,"101169","auto","1327","1327",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:31:45-03","UFBA","ALCB","126682","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Roque, N","Roque, N; Pirani, JR","s/n","1993","05","01","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, caminho rumo à população de <em>Vellozia gigantea</em> além da Base do IBAMA do Palácio.","-43.7144012451172","-19.1688995361328",NA,"20 cm. Escapo e bráteos involucrais arroxeados; flores com corola e estigma lilás.; Campo Limpo, de cimeira. Em solo arenoso.","ALCB039612",NA,"1996","12","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:31:45-03","UFBA","ALCB","126663","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Roque, N","Simão-Bianchini, R; Kameyama, C; Pires, FRS; Wanderley, MGL","s/n","1989","05","20","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó: Parque Nacional da Serra do Cipó, Congonhas, próximo a casa de pedra.","-43.7144012451172","-19.1688995361328",NA,"ca. 20 cm, flores lilás vivo.; Entre a mata ciliar e cerrado.","ALCB039593",NA,"1996","12","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057863","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","E. Barbosa","J. Cordeiro; J. M. Silva","3508","2010","3","6",NA,"Brazil","Sao Paulo",NA,"Serra da Bocaina (Mun. Sao José do Barreiro).","-44.576908","-22.645185",NA,"Arbusto, 1.30 m, capítulos vinosos.",NA,NA,NA,NA,NA,NA,"1640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:44:49-03","UFOP","OUPR","31189","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","amphidictyum","Eupatorium amphidictyum multifolia","M.Lisboa","Lisboa, M.A.","Lisboa, M.A.","s.n.","1974","06","13",NA,"Brasil","Minas Gerais","Ouro Preto","Morro do Cruzeiro de Santa Efigênia","-43.5080986022949","-20.2875003814697",NA,"Subarbusto, flores róseas. Campo. Ex Herb. Escola de Farmácia de Ouro Preto n. 27012. Ex Herb. Escola de Mians n. 3963",NA,NA,"1974","06","44599","auto",NA,NA,"multifolia","18","Holotype",NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:44:50-03","UFOP","OUPR","20120","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.",NA,"Borges, R.A.X.","71","2005","04","12",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,"Herbáceo",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-05 16:44:50-03","UFOP","OUPR","20121","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.",NA,"Borges, R.A.X.; Cota, M.R.C.","49","2004","03","20",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,"Herbáceo. Campo rupestre proximo a relozeto",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-05 16:44:50-03","UFOP","OUPR","32533","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Pedrosa, L.G.","Pedrosa, L.G.","1147","2018","11","28",NA,"Brasil","Minas Gerais","Ouro Preto","Bico de Pedra","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 40cm. Folhas estrigosas, glandulosas. Flores lilases.",NA,NA,"2018","11","44599","auto",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-05 16:44:50-03","UFOP","OUPR","14323","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Fernandes, A.C.","Badini, J.","s.n.","1973","11","08",NA,"Brasil","Minas Gerais","Ouro Preto","Chapada","-43.5080986022949","-20.2875003814697",NA,"Campo. Erva. Flores azul-violáceas",NA,NA,"2014","03","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-05 16:44:50-03","UFOP","OUPR","18426","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Fernandes, A.C.","Badini, J.","s.n.","1973","04","08",NA,"Brasil","Minas Gerais","Ouro Preto","Chapada","-43.5080986022949","-20.2875003814697",NA,"Campos",NA,NA,"2014","03","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:44:50-03","UFOP","OUPR","14324","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Badini, J.","Badini, J.","s.n.","1975","05","24",NA,"Brasil","Minas Gerais","Ouro Preto","Itacolomi","-43.5080986022949","-20.2875003814697",NA,"Campo. Erva. Flores azul-violáceas",NA,NA,"1975","05","44599","auto",NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-05 16:44:50-03","UFOP","OUPR","18314","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Fernandes, A.C.","Macedo, A.","s.n.","1972","01","29",NA,"Brasil","Minas Gerais","Ouro Preto","Morro do Cachorro","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"2014","03","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-05 16:44:50-03","UFOP","OUPR","32452","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Pedrosa, L.G.","Pedrosa, L.G.","1066","2018","11","18",NA,"Brasil","Minas Gerais","Ouro Preto","Região de Rodrigo Silva.","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 40cm. Flores rosadas. Cerrado.",NA,NA,"2018","11","44599","auto",NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA
"16","2019-11-05 16:44:50-03","UFOP","OUPR","30997","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.","Pedrosa, L.G.","Pedrosa, L.G.","197","2018","04","16",NA,"Brasil","Minas Gerais","Ouro Preto","Rodrigo Silva","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 30cm. Flores lilases. Cerrado.",NA,NA,"2018","04","44599","auto",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:16:07-03","MBM","MBM","346780","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H. Robin","Barroso, G.M.","Roth, L.","1441","1955","07","12","Southern America","Brazil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,"Herbácea do cerrado, fl. lilás, 50 cm","MBM346780","MBM346780",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:16:07-03","MBM","MBM","397609","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H. Robin","Oliveira, C.T.","Pirani, J.R.; Cordeiro, I.; Loeuille, B.; Keeley, S.; Cordeiro, I.; Loeuille, B.; Keeley, S.","6012","2009","07","12","Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, APA do Morro da Pereira, rodovia Belo Horizonte-Conceição do Mato Dentro (MG010), Alto do Palácio, elevação próxima à Estátua do Velho Juca","-43.533333","-19.25",NA,"Ervas viscosas, heliófitas. Brácteas involucrais e pedúnculo atropurpúreos. Flores de cor lilás.; Solo arenoso de campo rupestre, brejo e mata montana.","MBM397609","MBM397609","2014","08",NA,NA,"1230","1230",NA,NA,NA,"-43.533333","-19.25",NA,NA,NA,NA
"19","2020-12-21 16:16:07-03","MBM","MBM","33562","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H. Robin","Nakajima, J.","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","28763","1972","01","17","Southern America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,"Capítulos violeta, campop pedregoso","MBM033562","MBM033562","2009","09","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 15:28:01-03","PUC-RIO","FCAB","0916","PreservedSpecimen","Plantae",NA,"Angiospermae","Asteraceae","Eupatorium","amphidictyum","Eupatorium amphidictyum","DC.","G.M. Barroso","P.E. Leite S.J.","s.n.","1945","02",NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"000916",NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-07-19 15:38:06-03","JBB","HEPH","35518","S","Plantae","Dicotyledon","Asterales","Asteraceae","Heterocondylus","amphidyctius","Heterocondylus amphidyctius","(DC.) R.M.King & H.Rob.",NA,"Oliveira, CT","s.n.","2016","07","31","Southern America","Brasil","Minas Gerais","Mariana","Fazenda Córrego das Almas","-43.486944","-20.135",NA,"BHCB188994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.486944","-20.135",NA,NA,NA,NA
