"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1198309","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","C. A. Sothers","M. Reginato","204","2005","02","04","South America","Brazil","Bahia","Camacan","Camacã: RPPN Serra Bonita. 9.7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel.","-39.5653","-15.3917","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275246' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198309","NY01198309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01192896","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","G. T. Prance","J. G. Jardim","4663","2005","07","21","South America","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antônio, mais 8,9 km até a sede da RPPN. Coletas na trilha para o topo, 2-4 km da sede","-39.3394","-15.1742","450","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192896","NY01192896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378096","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","G. T. Prance","P. M. Andrade","252","1984","05","22","South America","Brazil","Minas Gerais",NA,"Est. Bio. de Caratinga. Malao estrada",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01197933","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","G. T. Prance","P. Fiaschi","2830","2005","03","17","South America","Brazil","Bahia","Arataca","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatiguí à Serra das Lontras.","-39.4081","-15.2028","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197933","NY01197933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","452434","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance",NA,"M. A. Lopes","113","1984","02","19","South America","Brazil","Minas Gerais",NA,"Est. Biol. de Coratinga, Mabo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452434","NY00452434_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378030","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","G. T. Prance","W. W. Thomas","9326","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:45:17-03","NBC","NL-BOTANY","L.1876944","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","Prance GT","Maas PJM; Maas-van de Kamer H; Siqueira GS; Andel TR van; Westra LYT; Janse",NA,"2009","05","07","Southern America","Brazil","Espírito Santo",NA,"Reserva do Vale de Rio Doce.","-40.5","-19.15",NA,NA,NA,"Forest edge (mata de tabuleiro)<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1876944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1876944","NL-L1876944",NA,"Magnoliopsidae","2009","10","01","-40.5","-19.15","L 0837604",NA,NA,NA
"8","2020-11-04 11:04:44-03","ESALQ","ESA","33930","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis",NA,NA,"Andrade, P.M. ; Lopes, M.A.","113.0","1984","02","19",NA,"Brasil","Minas Gerais","Caratinga",NA,"-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,"ESA033930",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA
"9","2020-11-04 11:04:44-03","ESALQ","ESA","48517","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","Mendonça Filho, C.V.","Mendonça Filho, C.V.","390.0","1998","01","31",NA,"Brasil","Minas Gerais","Caratinga",NA,"-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,"ESA048517","ESA048517",NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA
"10","2020-12-21 16:20:43-03","MBM","MBM","163189","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","monteclarensis","Couepia monteclarensis","Prance","Prance, G.T.","Thomas, W.W.; et al.; et al.","9326","1992","05","14","Southern America","Brazil","Bahia","Wenceslau Guimarães","3km W de Nova Esperança","-39.4794006347656","-13.686900138855",NA,NA,NA,NA,"MBM163189","MBM163189",NA,NA,NA,NA,NA,NA,NA,NA,"37469","auto",NA
