"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","class","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","barcode","imagecode","fieldNumber","sex","preparationType"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","720","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","leprosa","Neoregelia leprosa","L. B. Smith","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2057901","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Neoregelia","leprosa","Neoregelia leprosa","L.B. Sm.",NA,NA,NA,"1",NA,"Monocotyledonae","Isotype","M. B. Foster & R. C. Foster","656","1940","7","13","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo.","US00091356","US00091356_01",NA,NA,NA
"3","2014-06-25 14:25:25-03","GH","HU-HERB","GH 00029149","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","leprosa","Neoregelia leprosa","L. B. Smith",NA,NA,NA,NA,NA,NA,"Holotype","M. B. Foster & R. Foster","656",NA,NA,NA,"South America","Brazil","Minas Gerais","Serra de Cipó",NA,NA,"656","undetermined","Sheet"
