"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:08-03","UNESC","CRI","443","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","Daniel de Barcellos Falkenberg","Vanilde Citadini-Zanette; Jairo José Zocche, Aurélio José de Aguiar & Jairo Viana de Oliveira Jr.","860","1990","07","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI006685","CRI006685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","8012","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton",NA,"2007","11","16","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46","CRI006683","CRI006683","2007","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","1787","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","Vanilde Citadini- Zanette","V. Citadini-Zanette; A. J. de Aguiar & R. dos Santos",NA,"1992","07","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI006686","CRI006686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","10897","PreservedSpecimen","Plantae","Connaraceae","Connarus","cymosus","Connarus cymosus","Planch.","E. Forero","F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00010897","NY00010897_01",NA,NA,NA,"Magnoliophyta","Oxalidales","probable syntype","South America","sheet","5910-6006 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=508933' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393534","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","G. G. Hatschbach","20292","1968","11","12","Brazil","Paraná","Campina Grande do Sul","Serra Virgem Maria","-49.0553","-25.3058",NA,NA,NA,NA,"NY00393534","NY00393534_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393537","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","J. G. Kuhlmann",NA,"1950","09","13","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,NA,NA,"NY00393537","NY00393537_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536756' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","886263","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","W. J. Burchell","2115","1826","02","11","Brazil","Rio de Janeiro",NA,"Mountain in front of Mr. Mack's house.",NA,NA,NA,NA,NA,NA,"NY00886263","NY00886263_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015231' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","393538","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","R. Reitz","5641","1957","11","07","Brazil","Santa Catarina","Sao Francisco do Sul","Três Barras, Garuva","-48.6381","-26.2433",NA,NA,"150","150","NY00393538","NY00393538_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536757' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","393536","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","R. M. Klein","2256","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","NY00393536","NY00393536_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536755' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393539","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","R. Reitz","2351","1955","01","07","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"400","400","NY00393539","NY00393539_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536758' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","393535","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","E. Forero","R. M. Klein","915","1954","12","14","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"350","350","NY00393535","NY00393535_01",NA,NA,NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536754' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:29:54-03","UFRJ","RFA","24226","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","A. Quinet","F. B. Pereira","259","2000","04","17","Brasil","Rio de Janeiro","Cachoeiras de Macacu","Fazenda da Matão.","-42.834167","-22.458056","42º50'3''W","22º27'29''S",NA,NA,"RFA37547",NA,"2000","05","22",NA,NA,NA,NA,NA,"Erva rara no local.",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:19:22-03","UFRJ","RFA","9971","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","L.B. Smith","G.G. Hatschbach","20292","1968","11","12","Brasil","Paraná","Campina Grande do Sul","Serra Virgem Maria","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"RFA28644",NA,"1970",NA,NA,NA,NA,NA,NA,NA,"Arvoreta 5 m de altura; flor creme","55154","auto",NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:37:27-03","EAO","IAN","67530","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) H.S. Irwin & Barneby","Forero, E","Kuhlmann, JG","2317","1931","10","20","Brasil","Rio de Janeiro","Petrópolis","Independência.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"IAN067530",NA,"1983",NA,NA,"Dicotiledônea",NA,NA,"Southern America",NA,"Arbusto de 1 metro; frutos rubros.","36524","auto",NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1057627","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L1057627","NL-L1057627",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1057627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"16","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1057628","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L1057628","NL-L1057628",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1057628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"17","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1122749","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L1122749","NL-L1122749",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1122749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"18","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1122750","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L1122750","NL-L1122750",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1122750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"19","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1142332","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L1142332","NL-L1142332",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1142332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"20","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1927022","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R; Klein RM",NA,"1957","11","07","Brazil",NA,NA,"Santa Catarina, Três Barras, Garuva, S. Francisco do Sul.",NA,NA,NA,NA,NA,NA,"NL-L1927022","NL-L1927022",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1927022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"21","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.1927023","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R; Klein RM",NA,"1959","06","27","Brazil",NA,NA,"Santa Catarina, Rio do Sul.",NA,NA,NA,NA,NA,NA,"NL-L1927023","NL-L1927023",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1927023 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"22","2020-02-08 10:08:51-03","NBC","NL-BOTANY","L.4365623","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L4365623","NL-L4365623",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4365623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"23","2020-02-08 10:08:51-03","NBC","NL-BOTANY","U 0077903","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R",NA,"1956","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-U0077903",NA,NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200077903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae","Uw6353",NA,NA,NA,NA
"24","2020-02-08 10:08:51-03","NBC","NL-BOTANY","U.1211840","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.",NA,"Reitz R; Klein RM",NA,"1957","11","07","Brazil",NA,NA,"Santa Catarina-Brasil. Três Barras, Garuva, S. Francisco do Sul.",NA,NA,NA,NA,NA,NA,"NL-U1211840","NL-U1211840",NA,NA,NA,NA,"Oxalidales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1211840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"25","2020-11-04 11:05:13-03","ESALQ","ESA","14018","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","Klein, R.M.","Klein, R.M. ; Souza Sobrinho, R.","10530.0","1972","12","13","Brasil","Santa Catarina","Paulo Lopes",NA,"-48.6836013793945","-27.9617004394531",NA,NA,NA,NA,"ESA014018","ESA014018",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"23385","auto",NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:05:13-03","ESALQ","ESA","100268","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus",NA,"Rossi, L.","Martins, S.E.","470.0","1999","05","06","Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,NA,"ESA100268","ESA100268",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"37616","auto",NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:05:13-03","ESALQ","ESA","26724","PreservedSpecimen","Plantae","Connaraceae","Connarus","rostratus","Connarus rostratus","(Vell.) L.B.Sm.","Toledo, C.A.P.","Rodrigues, R.R. et al.","145.0","1995","09","03","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"ESA026724","ESA026724",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA
