"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","447862","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","M. S. Ferrucci","G. Gardner","2079","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447862","NY00447862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","447848","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.",NA,"G. G. Hatschbach","42340","1979","South America","Brazil","Serra do Tombador.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447848","NY00447848_01","07","15","Bahia","Morro do Chapéu","-41.1558","-11.5503","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","447851","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","B. L. Stannard","R. M. Harley","19866","1977","South America","Brazil","Serra do Rio Contas. Just N of Livramento do Brumado on the road to Vila do Rio do Contas. Below the Livramento waterfall on the Rio Brumado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447851","NY00447851_01","03","23","Bahia",NA,"-41.83","-13.65","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","447861","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.",NA,"M. M. Arbo","7203","1997","South America","Brazil","2 km al N de Cruz das Almas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447861","NY00447861_01","01","14","Bahia","Cruz das Almas","-39.1","-12.65","230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01091891","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","J. R. Pirani","A. Freire Fierro","1936","1990","South America","Brazil","Estrada Xique-Xique - Vacaria.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091891","NY01091891_01","10","14","Bahia","Xique-Xique","-43","-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447843","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","P. Acevedo-Rodríguez","J. E. R. Collares","147","1984","South America","Brazil","Estrada de Caraúbas a Olho d'Agua dos Borges.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447843","NY00447843_01","06","01","Rio Grande do Norte","Caraúbas","-37.67","-5.8","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447860","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.",NA,"M. M. Arbo","7517","1997","South America","Brazil","15 km S de Xique-Xique, camino a Santo Inácio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447860","NY00447860_01","01","19","Bahia","Xique-Xique","-42.68","-10.97","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","447849","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","B. L. Stannard","R. M. Harley","16254","1974","South America","Brazil","Lagoa da Eugenia southern end near Camaleao.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447849","NY00447849_01","02","20","Bahia",NA,"-39.72","-10.67","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","985178","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","M. S. Ferrucci","S. Tsugaru","B-1162","1987","South America","Brazil","Iparana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985178","NY00985178_01","08","25","Ceará","Fortaleza","-38.5431","-3.7172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685177","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cardiospermum","corindum","Cardiospermum corindum","L.","M. S. Ferrucci","R. M. Harley","50487","1992","South America","Brazil","Brejo do Engenho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685177","NY00685177_01","12","27","Bahia","Abaíra","-41.8","-13.3","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
