"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","277703","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs","holotype","B. Maguire","49159","1960","08","12","South America","Brazil","Minas Gerais","Between Diamantina and Gouveia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277703","NY00277703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:47:44-03","MBM","MBM","254186","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B. Sm. & Downs",NA,"Urbano","9367","1970","09","29","Southern America","Brazil","Minas Gerais","Serra de Ibitipoca",NA,NA,"MBM254186","MBM254186","Wanderley, M.G.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:47:44-03","MBM","MBM","347365","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B. Sm. & Downs",NA,"Forzza, R.C.; et al.; et al.","3499","2004","07","25","Southern America","Brazil","Minas Gerais","Parque Estadual do Ibitipoca. Trilha do Monojolinho para a Gruta dos Viajantes.",NA,"Erva em solo úmido entre GRAMINEAE, com mucilagem nas bainhas, bainhas vináceas, br#?#scteas castanhas, flores amarelas. campo e mata de Candeias","MBM347365","MBM347365","Wanderley, M.G.L.","2007","02","Lima Duarte","-43.793098449707","-21.8425006866455","30417","1740","1740","auto",NA,NA,NA,NA,NA,NA
"4","2015-10-22 12:11:58-02","MNHN","RECOLNAT_MNHN_P","P02441300","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs","isotype","Maguire, B.|Maguire, C.K.|Mendes Magalhaes, G.",NA,"1960","8","12",NA,"Brésil",NA,"Minas Geraes : between Diamantina and Gouveia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441300' target='other'> <mi>dwc_moreinfo</mi></a>","P02441300","P02441300_01","Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49159",NA,NA,NA,NA,NA
"5","2020-12-11 11:45:33-03","UFMG","BHCB","131737","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Almeida, TE; Souza, DT","2035","2009","08","07","Southern America","Brasil","Minas Gerais","Alto da Serra do Talhado, Campo limpo e Mata de Galeria",NA,"Erva terrestre em área brejosa. Flores amarelas",NA,NA,NA,NA,NA,"Congonhas do Norte","-43.746667","-18.845278",NA,"1300","1300",NA,NA,"-43.746667","-18.845278",NA,NA,NA
"6","2019-06-10 10:11:49-03","FZB-BH","BHZB","9194","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea",NA,NA,"Ferreira Junior, C.A. et al.","416","2012","07","11",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo do Gerais",NA,"Ponto 108, 636082 7894777 1312m, com duplicata, Duplicata doada para Herbário SP",NA,NA,"M.G.L. Wanderley & J. Santos Guedes","2013","07","Santana do Riacho","-43.706944","-19.035278",NA,"1312","1312",NA,NA,"43W 42' 25","19S 02' 07",NA,NA,NA
"7","2019-06-10 10:11:49-03","FZB-BH","BHZB","9193","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea",NA,NA,"Ferreira Junior, C.A. et al.","408","2012","07","10",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo do Gerais",NA,"Entre a mata do Cigano e o ponto 86, s/ponto, com duplicata., Duplicata doada para Herbário SP",NA,NA,"M.G.L. Wanderley & J. Santos Guedes","2013","07","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:49-03","FZB-BH","BHZB","9436","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea",NA,NA,"Ferreira Junior, C.A. et al.","665","2012","09","13",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo do Gerais",NA,"Ponto 104 .635658 7893946 1288 m, Com duplicata, Duplicata doada para Herbário SP",NA,NA,"M.G.L. Wanderley & J. Santos Guedes","2013","07","Santana do Riacho","-43.710833","-19.042778",NA,"1288","1288",NA,NA,"43W 42' 39","19S 02' 34",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2829760","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","aurea","Xyris aurea","L.B. Sm. & Downs","Isotype","B. Maguire, G. Magalhaes & C. K. Maguire","49159","1960","8","12","South America - Neotropics","Brazil","Minas Gerais","Between Diamantina and Gouveia.",NA,NA,"US00088126","US00088126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"10","2021-03-08 15:44:12-03","MN","R-TIPOS","112681a","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B. Sm. & Downs","Isotypus","Maguire, B.; Magalhães, G.M. & Maguire, C.K.","49159",NA,NA,NA,NA,"Brasil","Minas Gerais","between Diamantina and Gouveia",NA,NA,"R000112681a","R000112681a_001","Smith, L.B.","1961",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"11","2021-03-08 15:44:12-03","MN","R-TIPOS","112681","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B. Sm. & Downs","Isotypus","Maguire, B.; Magalhães, G.M. & Maguire, C.K.","49159",NA,NA,NA,NA,"Brasil","Minas Gerais","between Diamantina and Gouveia",NA,NA,"R000112681","R000112681_001","Smith, L.B.","1961",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"12","2021-01-11 11:20:41-03","IBt","SP","472124","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Wanderley, MGL","2820","2009","04","26",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:19:55-03","IBt","SP","204737","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Kral, R; Lopes, EA; Lima, E","72993","1985","08","01",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"14","2020-12-30 07:49:03-03","IBt","SP","444722","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Mota, NFO","1373","2008","08","26",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Rio Vermelho","-43.0092010498047","-18.2936000823975","26996",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:19:55-03","IBt","SP","232610","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Cordeiro, I; et al.","CFCR10251","1986","09","09",NA,"Brasil","Minas Gerais","Pedra Menina",NA,NA,NA,NA,NA,NA,NA,"Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","1460","1460","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-30 07:49:03-03","IBt","SP","444999","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Ferreira Jr, CA","9193","2012","07","10",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"17","2020-12-30 07:49:03-03","IBt","SP","444998","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Ferreira Jr, CA","9194","2012","07","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"18","2020-12-30 07:49:03-03","IBt","SP","444994","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Ferreira Jr, CA","9436","2012","09","13",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"19","2020-12-30 07:49:03-03","IBt","SP","444762","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Mota, NFO","857","2007","07","14",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"20","2020-12-30 07:49:03-03","IBt","SP","444739","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Mota, NFO","863","2007","08","31",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"21","2020-12-30 07:49:03-03","IBt","SP","444723","S","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L.B.Sm. & Downs",NA,"Mota, NFO","1403","2008","08","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"22","2010-08-16 16:42:20-03","GH","HU-HERB","GH 00028806","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","aurea","Xyris aurea","L. B. Smith & Downs","Isotype","B. Maguire, G. M. Magalhães & C. K. Maguire","49159","1960","8","12","South America","Brazil","Minas Gerais","Between Diamantina and Gouveia","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49159",NA,NA,NA,NA,"undetermined"
