"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","579738","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","R. Reitz","1391","1955","05","25","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí.","-48.6617","-26.9081","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579738","NY00579738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579739","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","J. Mattos","O. Handro","s.n.","1934","10","03","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo (Capital), nativa no Jardim Botânico.","-46.618358","-23.646109",NA,NA,"sheet","Coll date: fl. 3 Oct 1934. & fr. 22 Dec 1934. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579739","NY00579739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558024","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","F. F. Mazine","L. R. Landrum","4080","1982","01","06","South America","Brazil","Paraná","Cerro Azul","Road from Cerro Azul to Mato Preto","-49.17","-24.83",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558024","NY00558024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579744","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","19727","1968","09","17","South America","Brazil","Paraná","Morretes","Rio Sagrado de Cima.","-48.8342","-25.4769","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579744","NY00579744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579745","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","20360","1968","11","21","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro.","-48.3289","-25.3069","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579745","NY00579745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885360","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","19496","1968","07","12","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885360","NY00885360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579737","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","R. Reitz","1596","1955","09","15","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí.","-48.6617","-26.9081","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579737","NY00579737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1016113","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","G. G. Hatschbach","G. G. Hatschbach","19898","1968","10","04","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016113","NY01016113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579743","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","19666","1968","09","04","South America","Brazil","Paraná","Guaratuba","Serra de Araraquara.","-48.5744","-25.8831","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579743","NY00579743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579736","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","beaurepairiana","Eugenia beaurepairiana","(Kiaersk.) D.Legrand","C. M. D. E. Legrand","R. Reitz","4482","1957","06","22","South America","Brazil","Santa Catarina",NA,"Três Barras, Garuva, Sao Francisco do Sul.",NA,NA,"60","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579736","NY00579736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
