"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","coordinatePrecision","individualCount","geoFlag","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2616","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult. & Schult.f.) Wittm.","Jorge Luiz Waechter","R. Reitz","1975","02","06","Brasil","Rio de Janeiro","Macaé","São Pedro.","-41.787222","-22.371389","41º47'14''W","22º22'17''S","19","19","Habitat: restinga Habito: epífita","CRI001846","CRI001846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","2621","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult. & Schult.f.) Wittm.","R. Reitz","R. Reitz","1974","02","21","Brasil","Rio de Janeiro","Rio de Janeiro","Lídece.","-44.135833","-22.723611","44º8'9''W","22º43'25''S",NA,NA,"Habito: epífita","CRI001845","CRI001845_1 CRI001845_2","1974","02","21","7577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","704","S","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult. & Schult.f.) Wittm","Elton. C. M. Leme","Elton M. C. Leme; Ludovic Kollmann; A. P. Fontana; M. Zanoni; O. Ribeiro","2006","04","28","Brasil","Espírito Santo","Água Doce do Norte","Santa Rita do Córrego Azul, alto do morro atrás da cidade","-40.9785995483398","-18.5468997955322",NA,NA,NA,NA,"254",NA,NA,"2011","08",NA,NA,"Magnoliophyta","Poales","23951","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","731","S","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult. & Schult.f.) Wittm","Elton. C. M. Leme","Elton M. C. Leme; Ludovic Kollmannn; David Couto","2009","06","06","Brasil","Espírito Santo","Muqui","Sumidouro. Sítio Vinte Alqueires, topo da pedra","-41.3457984924316","-20.9517002105713",NA,NA,NA,NA,"254",NA,NA,"2011","08",NA,NA,"Magnoliophyta","Poales","15667","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-19 09:29:00-02","NY","NYBG","247334","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","erectiflora","Tillandsia erectiflora",NA,NA,"É. André","1876","06","17","Ecuador","Pichincha","Quito","Quito-Nono-Pto. Quito road, 18-20 km NW of Nono; Rio Alambi valley.",NA,NA,NA,NA,"1951","2012","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247334","NY00247334_01",NA,NA,NA,"3201","Magnoliophyta","Poales",NA,NA,NA,"possible type","South America","sheet",NA,NA,NA,NA,NA
"6","2016-10-19 09:29:00-02","NY","NYBG","247337","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","erectiflora","Tillandsia erectiflora",NA,NA,"É. André","1876","06","17","Ecuador","Pichincha","Quito","Quito-Nono-Pto. Quito road, 18-20 km NW of Nono; Rio Alambi valley.",NA,NA,NA,NA,"1951","2012","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247337","NY00247337_01",NA,NA,NA,"3201","Magnoliophyta","Poales",NA,NA,NA,"possible type","South America","sheet",NA,NA,NA,NA,NA
"7","2016-10-19 09:29:00-02","NY","NYBG","247335","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","erectiflora","Tillandsia erectiflora",NA,NA,"É. André","1876","06","17","Ecuador","Pichincha","Quito","Quito-Nono-Pto. Quito road, 18-20 km NW of Nono; Rio Alambi valley.",NA,NA,NA,NA,"1951","2012","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247335","NY00247335_01",NA,NA,NA,"3201","Magnoliophyta","Poales",NA,NA,NA,"possible type","South America","sheet",NA,NA,NA,NA,NA
"8","2016-10-19 09:29:00-02","NY","NYBG","247336","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","erectiflora","Tillandsia erectiflora",NA,NA,"É. André","1876","06","17","Ecuador","Pichincha","Quito","Quito-Nono-Pto. Quito road, 18-20 km NW of Nono; Rio Alambi valley.",NA,NA,NA,NA,"1951","2012","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247336","NY00247336_01",NA,NA,NA,"3201","Magnoliophyta","Poales",NA,NA,NA,"possible type","South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400501","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera procera","(Mart. ex Schult. & Schult.f.) Wittm.",NA,"A. Gehrt","1929","02","03","Brazil","São Paulo","Sao Paulo","Pirajussára","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400501","NY00400501_01",NA,NA,NA,"24580","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","procera",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400506","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.","A. M. V. de Carvalho","S. A. Mori","1979","06","12","Brazil","Bahia","Maraú","Rod. BR 030, trecho Ubaitaba/Maraú, 45-50 km a leste de Ubaitaba.","-39.02","-14.18",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400506","NY00400506_01",NA,NA,NA,"11959","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"11","2016-09-27 18:36:00-03","NY","NYBG","1281323","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera tenuis","L.B.Sm.","T. S. Coser","C. N. Fraga","2010","12","08","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, cumeira dos Pirineus, mata nebular proximo a divisa com o Parque Estadual dos Tres Picos.","-42.505","-22.4361",NA,NA,"1179",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1686902' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281323","NY01281323_01",NA,NA,NA,"3246","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","tenuis",NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","400504","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera rubra","L.B.Sm.","L. B. Smith","R. P. Belém","1968","05","03","Brazil","Bahia","Maraú",NA,"-39.0144","-14.1033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400504",NA,NA,NA,NA,"3495","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","rubra",NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3878792","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.",NA,"J. A. Steyermark","1960","11","12","Venezuela","Delta Amacuro",NA,"Along lower section of river, upstream from Casa Cuyubini. Inundated forest Rio Cuyubini",NA,NA,NA,NA,"90",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4196935' target='other'> <mi>dwc_moreinfo</mi></a>","NY03878792",NA,NA,NA,NA,"87492","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3878790","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.",NA,"J. A. Steyermark","1977","10","16","Venezuela","Delta Amacuro","Antonio Diaz","along Caño Atoiba, tributary of Boca Araguao","-60.9661","9.25",NA,NA,"50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4196933' target='other'> <mi>dwc_moreinfo</mi></a>","NY03878790",NA,NA,NA,NA,"114740","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","884821","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.","H. E. Luther","A. M. Amorim","1993","09","14","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001. Ilhéus/Una. Coletas efetuadas na picada paralela do Rio Maruim.","-39.08","-15.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884821",NA,NA,NA,NA,"1369","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","400563","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.","L. B. Smith","N. L. Britton","1920","03","15","Trinidad and Tobago",NA,NA,"Trinidad. Four miles east of Arima",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400563","NY00400563_01",NA,NA,NA,"596","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","400502","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera rubra","L.B.Sm.","L. B. Smith","R. P. Belém","1968","05","03","Brazil","Bahia","Maraú",NA,"-39.0144","-14.1033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400502",NA,NA,NA,NA,"3495","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","rubra",NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3878791","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.",NA,"J. A. Steyermark","1960","11","12","Venezuela","Delta Amacuro",NA,"Along lower section of river, upstream from Casa Cuyubini. Inundated forest Rio Cuyubini",NA,NA,NA,NA,"90",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4196934' target='other'> <mi>dwc_moreinfo</mi></a>","NY03878791",NA,NA,NA,NA,"87492","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","400503","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera rubra","L.B.Sm.","L. B. Smith","R. P. Belém","1968","05","03","Brazil","Bahia","Maraú",NA,"-39.0144","-14.1033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400503",NA,NA,NA,NA,"3495","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","rubra",NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","400508","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.","R. C. Tardivo","A. C. Cruz","1996","03","23","Brazil","Paraná","Paranaguá","Praia de Fora, Encantadas, Ilha do Mel","-48.3155","-25.567311",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400508","NY00400508_01",NA,NA,NA,"1","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","400505","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera procera","(Mart. ex Schult. & Schult.f.) Wittm.",NA,"G. M. Magalhaes",NA,NA,NA,"Brazil","Bahia","Itabuna","Area da CEPEG. Floresta com cultura de cacaueiro","-39.2803","-14.7858",NA,NA,NA,NA,"collection number appears as -.4.65 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400505","NY00400505_01",NA,NA,NA,"465","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet","procera",NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","400507","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","procera","Vriesea procera","(Mart. ex Schult.f.) Wittm.","A. M. V. de Carvalho","S. A. Mori","1979","06","12","Brazil","Bahia","Maraú","Rod. BR 030, trecho Ubaitaba/Maraú, 45-50 km a leste de Ubaitaba.","-39.02","-14.18",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400507","NY00400507_01",NA,NA,NA,"11959","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
