"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","imagecode"
"1","2019-02-15 11:46:59-02","IPA","IPA","13921","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","66-4489","1966","03","06","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","epífita em cafeeiro; frutos. Cultivada.","IPA0013921","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:46:59-02","IPA","IPA","20607","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","68-5451","1968","10","12","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","Epífita; flores amarelo-esverdeada.","IPA0020607","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:46:59-02","IPA","IPA","13921","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","66-4489","1966","03","06","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","epífita em cafeeiro; frutos. Cultivada.","IPA0013921","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:46:59-02","IPA","IPA","20607","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","68-5451","1968","10","12","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","Epífita; flores amarelo-esverdeada.","IPA0020607","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:46:59-02","IPA","IPA","13921","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","66-4489","1966","03","06","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","epífita em cafeeiro; frutos. Cultivada.","IPA0013921","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:46:59-02","IPA","IPA","20607","S","Plantae","Plantae","Orchidaceae","Zygostates","kuhlmanni","Zygostates kuhlmanni","Brade","Félix, L.P.","1988","07","13","Andrade-Lima","68-5451","1968","10","12","Southern America","Brasil","Pernambuco","Taquaritinga do Norte","alto da serra.","-36.0442008972168","-7.90305995941162","25558","Epífita; flores amarelo-esverdeada.","IPA0020607","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-04-22 16:26:40-03","UFPB","JPB","41535","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2010","03",NA,"Pontes, RA","432","2007","11","13","Southern America","Brasil","Paraíba","Natuba","Distrito de Pirauá, Divisa da Paraíba com o município de Macaparana (PE).","-35.549722","-7.641667",NA,"; DESC: Epífita no interior da mata secundária, antiga plantação de café. Flores amarelas diminutas.",NA,NA,"Monocotyledon","-35.549722","-7.641667","331","331",NA,NA
"8","2020-04-22 16:26:40-03","UFPB","JPB","61496","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2015","11","16","Nusbaumer, L","4801","2015","11","15","Southern America","Brasil","Pernambuco","Lagoa do Ouro","Reserva Biológica da Pedra Talhada, Localité de Lagoa do Ouro.","-36.427008","-9.189261",NA,"; HABITAT: Forêt ombrophile submontagnarde de plateau; DESC: herbacée épiphyte, 0.05 m, sur un branche à 2 m du sol; fl. à 3 sép. en forme de langue, jaune citron, 2 pét. supérieurs spathulés, ciliés, jaunes, labelle jaune à la base,","JPB0061496",NA,"Monocotyledon","-36.427008","-9.189261","850","850",NA,NA
"9","2020-04-22 16:26:40-03","UFPB","JPB","54905","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Vilaça, M.","2017","08","15","Souza, RS; Silva, GS; Brandão, GS","105","2012","11","22","Southern America","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.2075004577637","-14.3625001907349","31265","; HABITAT: Mata Atlântica.; DESC: Herbácea. Folhas simples, verdes, suculentas. Flores amarelo esverdeado.","JPB0054905","auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"10","2020-04-22 16:26:40-03","UFPB","JPB","41536","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade",NA,NA,NA,NA,"Medeiros, AM","1",NA,NA,NA,"Southern America","Brasil","Paraíba","João Pessoa","Jacarapé, EMEPA.","-34.8630981445312","-7.11499977111816","15975","; DESC: Solo argiloso. Árvore com ca de 2 m. Ramo fértil vináceo, flores cremes e com cheiro característico. 1ª floração.",NA,"auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"11","2020-04-22 16:26:40-03","UFPB","JPB","41535","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2010","03",NA,"Pontes, RA","432","2007","11","13","Southern America","Brasil","Paraíba","Natuba","Distrito de Pirauá, Divisa da Paraíba com o município de Macaparana (PE).","-35.549722","-7.641667",NA,"; DESC: Epífita no interior da mata secundária, antiga plantação de café. Flores amarelas diminutas.",NA,NA,"Monocotyledon","-35.549722","-7.641667","331","331",NA,NA
"12","2020-04-22 16:26:40-03","UFPB","JPB","61496","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2015","11","16","Nusbaumer, L","4801","2015","11","15","Southern America","Brasil","Pernambuco","Lagoa do Ouro","Reserva Biológica da Pedra Talhada, Localité de Lagoa do Ouro.","-36.427008","-9.189261",NA,"; HABITAT: Forêt ombrophile submontagnarde de plateau; DESC: herbacée épiphyte, 0.05 m, sur un branche à 2 m du sol; fl. à 3 sép. en forme de langue, jaune citron, 2 pét. supérieurs spathulés, ciliés, jaunes, labelle jaune à la base,","JPB0061496",NA,"Monocotyledon","-36.427008","-9.189261","850","850",NA,NA
"13","2020-04-22 16:26:40-03","UFPB","JPB","54905","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Vilaça, M.","2017","08","15","Souza, RS; Silva, GS; Brandão, GS","105","2012","11","22","Southern America","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.2075004577637","-14.3625001907349","31265","; HABITAT: Mata Atlântica.; DESC: Herbácea. Folhas simples, verdes, suculentas. Flores amarelo esverdeado.","JPB0054905","auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"14","2020-04-22 16:26:40-03","UFPB","JPB","41536","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade",NA,NA,NA,NA,"Medeiros, AM","1",NA,NA,NA,"Southern America","Brasil","Paraíba","João Pessoa","Jacarapé, EMEPA.","-34.8630981445312","-7.11499977111816","15975","; DESC: Solo argiloso. Árvore com ca de 2 m. Ramo fértil vináceo, flores cremes e com cheiro característico. 1ª floração.",NA,"auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"15","2020-04-22 16:26:40-03","UFPB","JPB","41535","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2010","03",NA,"Pontes, RA","432","2007","11","13","Southern America","Brasil","Paraíba","Natuba","Distrito de Pirauá, Divisa da Paraíba com o município de Macaparana (PE).","-35.549722","-7.641667",NA,"; DESC: Epífita no interior da mata secundária, antiga plantação de café. Flores amarelas diminutas.",NA,NA,"Monocotyledon","-35.549722","-7.641667","331","331",NA,NA
"16","2020-04-22 16:26:40-03","UFPB","JPB","61496","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Pessoa, EM","2015","11","16","Nusbaumer, L","4801","2015","11","15","Southern America","Brasil","Pernambuco","Lagoa do Ouro","Reserva Biológica da Pedra Talhada, Localité de Lagoa do Ouro.","-36.427008","-9.189261",NA,"; HABITAT: Forêt ombrophile submontagnarde de plateau; DESC: herbacée épiphyte, 0.05 m, sur un branche à 2 m du sol; fl. à 3 sép. en forme de langue, jaune citron, 2 pét. supérieurs spathulés, ciliés, jaunes, labelle jaune à la base,","JPB0061496",NA,"Monocotyledon","-36.427008","-9.189261","850","850",NA,NA
"17","2020-04-22 16:26:40-03","UFPB","JPB","54905","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","Vilaça, M.","2017","08","15","Souza, RS; Silva, GS; Brandão, GS","105","2012","11","22","Southern America","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.2075004577637","-14.3625001907349","31265","; HABITAT: Mata Atlântica.; DESC: Herbácea. Folhas simples, verdes, suculentas. Flores amarelo esverdeado.","JPB0054905","auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"18","2020-04-22 16:26:40-03","UFPB","JPB","41536","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade",NA,NA,NA,NA,"Medeiros, AM","1",NA,NA,NA,"Southern America","Brasil","Paraíba","João Pessoa","Jacarapé, EMEPA.","-34.8630981445312","-7.11499977111816","15975","; DESC: Solo argiloso. Árvore com ca de 2 m. Ramo fértil vináceo, flores cremes e com cheiro característico. 1ª floração.",NA,"auto","Monocotyledon",NA,NA,NA,NA,NA,NA
"19","2021-01-26 13:57:05-03","IMA","MAC","50434","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","E.C.O.Chagas","2010","11","14","Chagas-Mota","9473","2010","11","14",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Santa Fé.","-35.942003","-9.309531",NA,"Epífita. Flores amarelas.; Mata Atlântica.","MAC0050434",NA,NA,"-35.942003","-9.309531",NA,NA,NA,NA
"20","2021-01-26 13:57:05-03","IMA","MAC","58365","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade",NA,NA,NA,NA,"L.Nusbaumer","4801","2015","11","15",NA,"Brasil","Pernambuco","Lagoa do Ouro","Reserva Biológica Federal de Pedra Talhada.","-36.719467","-9.325725",NA,"Herbácea ca. 5 cm. Flor amarela.; Mata Atlântica.","MAC0058365",NA,NA,"-36.719467","-9.325725","850","850",NA,NA
"21","2021-01-26 13:57:05-03","IMA","MAC","50645","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","kuhlmannii","Zygostates kuhlmannii","Brade","E.C.O.Chagas","2010","12","02","Chagas-Mota","9684","2010","12","02",NA,"Brasil","Alagoas","Quebrangulo","Reserva Biológica Pedra Talhada.","-36.4710998535156","-9.31888961791992","16583","Epífita. Flores amarelas.; Mata Atlântica.","MAC0050645","auto",NA,NA,NA,NA,NA,NA,NA
