"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class","minimumElevationInMeters","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01874830","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.","M. Reginato","M. Reginato","1385","2013","01","07","South America","Brazil","Distrito Federal","Brasília","Mata do Rio Monjolo.","-47.884436","-15.933631","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874830","NY01874830_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-11 17:20:15-03","UFPR","UPCB","79637","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.","Reginato, M.","Reginato, M | Beltrame, M.H.","1385","2013","01","07",NA,"Brasil","Distrito Federal","Brasília","Mata do Rio Monjolo.","-47.9296989440918","-15.7797002792358",NA,"Arbusto 0,5m, borda de Mata Ciliar. Pétalas, filetes, anteras e estiletes alvos, brácteas esverdeadas..","UPCB0018739","UPCB0018739","2013","70570","auto",NA,NA,NA,NA,NA
"3","2019-06-22 09:01:00-03","MO","MOBOT","101137720","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","leabiswarmingiana","Miconia leabiswarmingiana","R. Goldenb.","fide Michelangeli et al.","J.E.B. Warming","Warming s.n.","1864","5","3","South America","Brazil","Minas Gerais",NA,"ad Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA
"4","2018-04-26 12:42:00-03","MO","MOBOT","101041824","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.","M. Reginato","Marcelo Reginato|M.H. Beltrame","Reginato 1385","2013","1","7","South America","Brazil","Distrito Federal","Brasília","Mata do Rio Monjolo.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"70570","auto",NA,"1",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3315061","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.",NA,"C. Munhoz","86","1994","3","25","South America - Neotropics","Brazil","Distrito Federal",NA,"Reserva Ecológica do IBGE. Borda da Mata do Monjolo.","-47.8667","-15.95",NA,NA,"US02951707","US02951707_01",NA,NA,NA,NA,"1","Dicotyledonae","1060",NA
"6","2015-12-16 13:39:00-02","F","FMNH-SEEDPLANTS","V0132126F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0132126F","V0132126F_01 V0132126F_02",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"7","2015-03-07 08:56:27-03","F","FMNH-SEEDPLANTS","V0152851F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0152851F","V0152851F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"8","2019-05-06 12:00:19-03","UFU","HUFU","31820","S","Plantae",NA,NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.","Romero, R.","Amorim, E.H.; Mendes, S. & Barbosa, A.A.A.","719","2003","03","07",NA,"Brasil","Minas Gerais","Perdizes","Estação Ambiental Galheiro, EPDA - Galheiro. Trilha dos Primatas.","-47.2928009033203","-19.3528003692627",NA,"Subarbusto, ca. de 1,5 m. Frutos roxos.","HUFU00066244","HUFU00066244","2005","45889","auto",NA,NA,NA,NA,"01"
"9","2019-05-06 12:00:19-03","UFU","HUFU","31485","S","Plantae",NA,NA,"Melastomataceae","Ossaea","warmingiana","Ossaea warmingiana","Cogn.","Romero, R.","Amorim, E.H.; Romero, R.; Mendes, S. & Arruda, R.","590","2003","02","14",NA,"Brasil","Minas Gerais","Perdizes","Estação Ambiental Galheiro, EPDA - Galheiro. Céu do cavalo.","-47.2928009033203","-19.3528003692627",NA,"Subarbusto 1m. Cálice verde, filetes brancos.","HUFU00066243","HUFU00066243","2005","45889","auto",NA,NA,NA,NA,"01"
