"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","barcode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","class","relatedCatalogItem","fieldNumber","preparationType","typeStatus"
"11","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585370","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","caerulea","Almeidea caerulea","A.St.-Hil. ex G.Don","Harley RM; et al.","1977","01","31","Brazil","Bahia",NA,NA,"-39.05","-14.333333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585370 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kaastra RC","1981","03","01",NA,"-39.05","-14.333333","NL-U1585370",NA,NA,"Southern America","NL-U1585370","Magnoliopsidae","U 0102474",NA,NA,NA
"12","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585371","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","longifolia","Almeidea longifolia","A.St.-Hil.","Santos TS dos","1970","11","02","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kaastra RC","1981","03","01",NA,NA,NA,"NL-U1585371",NA,NA,"Southern America","NL-U1585371","Magnoliopsidae","U 0102475",NA,NA,NA
"13","2020-02-08 10:31:12-03","NBC","NL-BOTANY","L.4194953","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Cayola L","2005","05","20","Bolivia",NA,NA,"La Paz: Franz Tamayo. Parque Nacional y area Natural de Manejo Integrado Madidi. NW de Apolo, Asariamas, Rio Resina.","-68.559722","-14.33",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4194953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-68.559722","-14.33","NL-L4194953",NA,NA,"Southern America","NL-L4194953","Magnoliopsidae",NA,NA,NA,NA
"14","2020-02-08 10:31:12-03","NBC","NL-BOTANY","L.4194954","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Araujo-Murakami A; et al.","2005","05","30","Bolivia",NA,NA,"La Paz: Franz Tamayo. Parque Nacional y area Natural de Manejo Integrado Madidi.Norte de Apolo.","-68.565833","-14.325",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4194954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-68.565833","-14.325","NL-L4194954",NA,NA,"Southern America","NL-L4194954","Magnoliopsidae",NA,NA,NA,NA
"15","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585372","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Santos TS dos","1971","03","27","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kaastra RC","1981","03","01",NA,NA,NA,"NL-U1585372",NA,NA,"Southern America","NL-U1585372","Magnoliopsidae","U 0102477",NA,NA,NA
"16","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585373","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Sucre Benjamin D; Soderstrom TR","1972","04","25","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kaastra RC","1977","02","01",NA,NA,NA,"NL-U1585373",NA,NA,"Southern America","NL-U1585373","Magnoliopsidae","U 0102476",NA,NA,NA
"17","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585375","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.","Krukoff BA","1939","07","01","Bolivia",NA,NA,"Bolivia: Department of La Paz: Province of s. Yungas: Basin of Rio Bopi, san Bartolome (near Calisaya).",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1585375",NA,NA,"Southern America","NL-U1585375","Magnoliopsidae",NA,NA,NA,NA
"18","2020-11-04 11:19:04-03","ESALQ","ESA","134518","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A. St.-Hil.","Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04","Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.","-47.66292","-22.9241",NA,NA,"Árvore, ca. 5m. Inlforescência velha; botões rosados.",NA,"Marcelo-Peña, J.L.","2015","07","21","913.0","-47.66292","-22.9241","ESA134518","585","585",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 12:16:08-03","ESALQ","ESA","118171","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina","A.St.-Hil.","Melo, R.","2011","09","01","Brasil","São Paulo","Tietê",NA,"-47.7099990844727","-23.1000003814697","26682",NA,NA,"auto","Tamashiro, J.Y.","2015","07","02",NA,NA,NA,"ESA118171",NA,NA,NA,"ESA118171",NA,NA,NA,NA,NA
"20","2020-11-04 11:19:04-03","ESALQ","ESA","121333","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Almeidea","lilacina","Almeidea lilacina",NA,"Garcia, L.C.","2008","06","01","Brasil","São Paulo","Campinas","Distrito de Souzas.","-46.926084","-22.833228",NA,NA,NA,NA,"Bruniera, C.P.",NA,NA,NA,"182.0","-46.926084","-22.833228","ESA121333","711","711",NA,NA,NA,NA,NA,NA,NA
