"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","sex","class","infraspecificEpithet","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:36:01-03","E","E","207002","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","2008","1998","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217729","<a href=http://data.rbge.org.uk/herb/E00207002 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:01-03","E","E","271023","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","C.A. Pendry","724","1999","04","10","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:108246","<a href=http://data.rbge.org.uk/herb/E00271023 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271023","Cochabamba","Campero","8 km from Peña Colorada on the road to Pasorapa","-64.833333","-18.233333","-64.833333","-18.233333","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:01-03","E","E","271025","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","C.A. Pendry","611","1999","03","15","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:108068","<a href=http://data.rbge.org.uk/herb/E00271025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271025","La Paz","Sud Yungas","Above the bridge over the Rio La Paz, on the road to Miguillas","-67.399722","-16.546389","-67.399722","-16.546389","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:01-03","E","E","80108","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","Gottsberger, I.S. & Gottsberger, G.K.",NA,"1971","07","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:88864","<a href=http://data.rbge.org.uk/herb/E00080108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:01-03","E","E","271024","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","C.A. Pendry","657","1999","03","26","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:108117","<a href=http://data.rbge.org.uk/herb/E00271024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271024","Santa Cruz","Nuflo de Chavez","c. 2 km North of Concepcion.","-62.015278","-16.15","-62.015278","-16.150000","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:01-03","E","E","212660","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","Fiebrig, K.","256","1902","10","12","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:227589","<a href=http://data.rbge.org.uk/herb/E00212660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:01-03","E","E","271022","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","C.A. Pendry","507","1999","03","10","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:107672","<a href=http://data.rbge.org.uk/herb/E00271022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271022","La Paz","Sud Yungas","Valley of Rio Boopi, 25 km from village below Las Mercedes on road to La Asunta","-67.4525","-16.353056","-67.452500","-16.353056","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","50738","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","gardneri","Astronium gardneri","G. Gardner","2520","1839","08",NA,"South America","Brazil","sheet",NA,"Collection date from anonymous annotation <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00050738","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Sapindales","Mattick","isotype","NY00050738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","164655","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","urundeuva","Astronium urundeuva","M. H. Nee","47064","1996","08","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00164655","Santa Cruz","Andrés Ibáñez","Jardín Botánico de Santa Cruz, 12 km. E of center of Santa Cruz on road to Cotoca.",NA,NA,NA,NA,"375","375","Magnoliophyta","Sapindales","(Allemão) Engl.",NA,"NY00164655_01","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1030695","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","J. H. Kirkbride Jr.","3594","1980","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120833' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030695","Distrito Federal","Brasília","Perto de Rio das Salinas","-47.47","-15.52",NA,NA,"780","780","Magnoliophyta","Sapindales","Allemão & M.Allemão",NA,"NY01030695_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
