"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","class","typeStatus","individualCount","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified"
"1","2016-09-29 09:57:00-03","NY","NYBG","786893","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana","E. J. Judziewicz","M. A. Chase","10049","1929","11","20","South America","Brazil","Espírito Santo","Alegre","sheet","[On annotation label: (only known coll. other than the type; probably extinct)] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786893","NY00786893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:41-03","EAO","IAN","66879","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Olyra","sampaiana","Olyra sampaiana",NA,"Chase, A","10049","1929","10","20","Southern America","Brasil","Espírito Santo","Alegre.",NA,NA,"IAN066879",NA,"Hitchc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:54:25-03","EAO","IAN","65197","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Sucrea","sampaiana","Sucrea sampaiana","Soderstrom, TR","Vidal, J","44","1924","12","06","Southern America","Brasil","São Paulo","Reeve.",NA,NA,"IAN065197",NA,"(Hitchc.) Soderstr.","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","234817","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","sampaiana","Olyra sampaiana",NA,"Vidal","Vidal 44","1924","12","6","South America","Brazil","Espírito Santo","Reeve",NA,NA,NA,NA,"Hitchc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2009-06-24 18:36:00-03","MO","MOBOT","2990565","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"Agnes Chase","Chase 10049","1929","11","20","South America","Brazil","Espírito Santo","Alegre, Espirito Santo.",NA,NA,NA,NA,"(Hitchc.) Soderstr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","1297351","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Olyra","sampaiana","Olyra sampaiana",NA,"J. Vidal","44","1924","12","6","South America - Neotropics","Brazil","Espírito Santo","Reeve.",NA,NA,"US00132848","US00132848_01","Hitchc.",NA,"Monocotyledonae","Holotype","1",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1500588","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"A. Chase","10049","1929","11","20","South America - Neotropics","Brazil","Espírito Santo",NA,"Bulky fruit",NA,"US00136223","US00136223_01 US00136223_02","(Hitchc.) Soderstr.",NA,"Monocotyledonae",NA,"1",NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","1500588","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"A. Chase","10049","1929","11","20","South America - Neotropics","Brazil","Espírito Santo",NA,NA,NA,"US00136223","US00136223_01 US00136223_02","(Hitchc.) Soderstr.",NA,"Monocotyledonae",NA,"1",NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1500589","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"A. Chase","10049","1929","11","20","South America - Neotropics","Brazil","Espírito Santo",NA,NA,NA,"US00136222","US00136222_01 US00136222_02","(Hitchc.) Soderstr.",NA,"Monocotyledonae",NA,"1",NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:22:37-03","UEFS","HUEFS","89892","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"Vidal, J.","44","1924","12","06",NA,"Brasil","Espírito Santo","Locality must be Espiríto Santo (see specinien at US nat. Herb. With more data)",NA,NA,"HUEFS0089892",NA,"Soderstr.",NA,"Lilianae","Isótipo",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-07 09:22:37-03","UEFS","HUEFS","77420","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"Oliveira, R.P.","991","2003","12","19",NA,"Brasil","Rio de Janeiro","Morro do Coco, Cruz de Serra, na Base do Morro do Bau. Mata de propriedade do Sr. Silésio.",NA,"Mata de Grotão, muito úmida.","HUEFS0077420","HUEFS0077420","Soderstr.",NA,"Lilianae",NA,NA,"Campos dos Goytacazes","-41.3244018554688","-21.7541999816895","62761","auto",NA
"12","2019-10-07 09:22:37-03","UEFS","HUEFS","89893","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sucrea","sampaiana","Sucrea sampaiana",NA,"Chase, A.","10049","1929","10","20",NA,"Brasil","Espírito Santo",NA,NA,NA,"HUEFS0089893",NA,"Soderstr.",NA,"Lilianae","Tipo",NA,"Alegre","-41.5331001281738","-20.763599395752","26101","auto",NA
"13","2021-02-23 13:23:00-03","MN","R-TIPOS","16000a","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","sampaiana","Olyra sampaiana",NA,"Vidal, J.","44","1924","12","06",NA,"Brasil","Espírito Santo","Reeve",NA,NA,"R000016000a","R000016000a_001","Hitchc.",NA,NA,"Isotypus",NA,NA,NA,NA,NA,NA,NA
