"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","platyptera","Inga platyptera","Benth.","isotype","J. B. E. Pohl","s.n.","South America","Brazil","Goiás","Ad Pilar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002344","NY00002344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","413880","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"M. A. Nadruz Coelho","727","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Hotel Faz. Sao Joao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413880","NY00413880_01","1991","12","17","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:17:28-03","UFV","VIC","34985","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Fernandes, J.M.","387",NA,"Brasil","Minas Gerais","Entorno do Parque Estadual Serra do Brigadeiro, Floresta Estacional Semidecidual. Fragmento da Eva, comunidade dos Lanas.",NA,"Arvoreta, c.a. de 3,0 metros de altura; frutos desenvolvidos.","VIC034985","VIC034985","2006","10","28","Araponga","-42.5208015441895","-20.6667003631592","16385","auto","Fernandes, J.M.","2006","10","28",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:17:28-03","UFV","VIC","041715","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Siqueira, L.C. de; et al.","743",NA,"Brasil","Minas Gerais","PESB, Trilha matipó a direita, saida de casa de fazenda.",NA,"Árvore de cerca de 5.5 m, frutos verdes.","VIC041715","VIC041715","2012","09","19","Araponga","-42.5208015441895","-20.6667003631592","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:28-03","UFV","VIC","36556","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Fernandes, J.M.","1085",NA,"Brasil","Minas Gerais","Entorno do Parque Estadual Serra do Brigadeiro",NA,"Arvoreta, c.a. de 3,0 metros de altura; frutos maduros esverdeados.","VIC036556","VIC036556","2009","09","25","Araponga","-42.515611","-20.702278",NA,NA,"Fernandes, J.M.","2009","09","25","-42.515611","-20.702278",NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:28-03","UFV","VIC","34978","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Fernandes, J.M.","117",NA,"Brasil","Minas Gerais","Entorno do Parque Estadual Serra do Brigadeiro, Fragmento da Eva, comunidade dos Lanas. Floresta Estacional Semidecidual.",NA,"Arvoreta, c.a. de 4,0 metros de altura; frutos desenvolvidos.","VIC034978","VIC034978","2005","12","13","Araponga","-42.5208015441895","-20.6667003631592","16385","auto","Fernandes, J.M.","2005","12","13",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:17:28-03","UFV","VIC","36387","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Fernandes, J.M.","1292",NA,"Brasil","Minas Gerais","Fragmento da Eva",NA,"Árvore, c.a. de 7,0 metros de altura, frutos imaturos, verdes e flores secas.","VIC036387","VIC036387","2010","04","19","Araponga","-42.5208015441895","-20.6667003631592","16385","auto","Fernandes, J.M.","2010","04","19",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:28-03","UFV","VIC","36388","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Fernandes, J.M.","111",NA,"Brasil","Minas Gerais","Fragmento da Eva, Entorno da mata.",NA,"Árvore, c.a. de 2,0 metros de altura, estames brancos, folha hirsuta.","VIC036388","VIC036388","2005","12","13","Araponga","-42.5208015441895","-20.6667003631592","16385","auto","Fernandes, J.M.","2005","12","13",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:28-03","UFV","VIC","12737","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Heringer, E.P.","1155",NA,"Brasil","Minas Gerais","Est. Exp. de Café",NA,"Cultivada.","VIC012737","VIC012737","1942","12","11","Coronel Pacheco","-43.2655982971191","-21.5877990722656","10350","auto","Garcia, F.C.P.","1999","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:36:34-03","UFJF","CESJ","36169","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"D.S. Pifano; A.S.M. Valente","258","América do Sul","Brasil","Minas Gerais","Morro do Imperador",NA,"Árvore ca. 6m no interior da mata em local de boa luminosidade. Flores de brácteas verdes, estilete indumentado branco e","CESJ036169",NA,"2002","01","11","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto","V.R. Scalon","2002","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-20 10:13:48-03","UNICAMP","UEC","104116","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Nadruz, MA","727",NA,"Brazil","Rio de Janeiro","Reserva Ecológica Mun. de Macaé de Cima, Estrada para Hotel Fazenda São João.",NA,"Árvore, 5 m. altura; folíolos discolores verdes, pecíolo piloso verde; brácteas esverdeadas; botões verdes; flores com cálice e corola creme; estames creme.",NA,NA,"1991","12","17","Nova Friburgo","-42.5","-22.55",NA,NA,NA,NA,NA,NA,"-42.5","-22.55",NA,NA,NA,NA,NA,NA
"12","2019-08-20 10:13:48-03","UNICAMP","UEC","64324","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Correia, CMB","262",NA,"Brazil","Rio de Janeiro","Reserva Ecológica Mun. de Macaé de Cima, Sítio Fazenda Velha.",NA,"Parc. 2; microp. 5a; ind. 3629; altura 9 m.; fuste base, CAP 19x17 cm.. Flores passadas acastanhadas; frutos verdes acastanhados.",NA,NA,"1990","08","08","Nova Friburgo","-42.05","-22",NA,NA,NA,NA,NA,NA,"-42.05","-22",NA,NA,NA,NA,NA,NA
"13","2019-06-27 10:25:06-03","UFES","VIES","21955","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Zorzanelli, J.P.F.","405",NA,"Brasil","Espírito Santo","Serra do Valentim.",NA,NA,"VIES021955",NA,"2012","06","23","Iúna","-41.5358009338379","-20.3458003997803","32198","auto","Chagas, A.P.","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-09-27 18:04:48-03","UFES","VIES","32017","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Folli, D.A.","4463",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"VIES032017","VIES032017","2003","02","20","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Pennington, T.D.","2005","10","21",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-04-27 16:09:54-03","UFES","VIES","10510","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Kollmann, L.J.C.; Bausen, E.","5469",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES010510","VIES010510","2002","01","31","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","A.P. Chagas","2014","02",NA,NA,NA,"950","950",NA,NA,NA,NA
"16","2019-06-27 10:25:06-03","UFES","VIES","32094","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Kollmann, L.J.C.; Berger, M.V.S. & Casagranda, S.M.G.","5836",NA,"Brasil","Espírito Santo","Rio das Pedras.",NA,NA,"VIES032094",NA,"2002","12","10","Santa Maria de Jetibá","-40.7461013793945","-20.040599822998","31867","auto","Chagas, A.P.","2014",NA,NA,NA,NA,"700","700",NA,NA,NA,NA
"17","2020-04-27 16:09:55-03","UFES","VIES","32125","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Vervloet, R.R.; Pizziolo, W.","2453",NA,"Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi.",NA,NA,"VIES032125","VIES032125","2003","05","21","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","A.P. Chagas","2014","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:09:55-03","UFES","VIES","10512","S","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Kollmann, L.J.C.; Bausen, E. & Pizziolo, W.","2047",NA,"Brasil","Espírito Santo","Santo Antônio.",NA,NA,"VIES010512","VIES010512","1999","03","09","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","A.P. Chagas","2014","02",NA,NA,NA,"750","750",NA,NA,NA,NA
"19","2020-12-21 16:26:45-03","MBM","MBM","304216","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Nadruz, N.; et al.; et al.","727","Southern America","Brazil","Rio de Janeiro","Reserva Ecológica de Macaé de Cima",NA,NA,"MBM304216","MBM304216","1991","12","17","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:26:45-03","MBM","MBM","275260","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Pifano, D.S.; et al.; et al.","258","Southern America","Brazil","Minas Gerais","Morro do Imperador",NA,NA,"MBM275260","MBM275260","2002","01","11","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto","Queiróz, L.P. de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:36:04-03","UFMG","BHCB","24383","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:36:04-03","UFMG","BHCB","63664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"Pifano, DS","258","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"2002","01","11","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2009-11-04 15:52:00-02","MO","MOBOT","2907344","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.",NA,"J.B.E. Pohl","Pohl 1436","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-08 17:11:00-03","MO","MOBOT","101203615","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","platyptera","Inga platyptera","Benth.","Holotype","H.W. Schott","Schott 1436","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
