"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","occurrenceRemarks","infraspecificEpithet","typeStatus","recordNumber","continentOcean","country","locality","preparationType","barcode","imagecode","class","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","4206","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.","Carlos Alberto Ferreira Júnior","2017","11","13","Franklin Logan A. S. Abel;","2017","11","04","Minas Gerais","Bambuí","-46.072472","-20.350556","46°04'20.9W","20°21'02.0S","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","250444","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides setosa","Yunck.",NA,NA,NA,NA,"F. C. Hoehne","1924","12","04","São Paulo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197695' target='other'> <mi>dwc_moreinfo</mi></a>","setosa","isotype","s.n.","South America","Brazil","Itu","sheet","NY00250444","NY00250444_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559343","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides major","Yunck.",NA,NA,NA,NA,"R. Callejas Posada","1983","12","06","Paraná","Cerro Azul","-48.75","-24.75",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113223' target='other'> <mi>dwc_moreinfo</mi></a>","major",NA,"1862","South America","Brazil","1 km al norte de Cerro Azul, estrada a orilla del Rio Ribeira, sitio de Matto Preto","sheet","NY00559343","NY00559343_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559342","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.","R. Callejas Posada",NA,NA,NA,"G. G. Hatschbach","1976","11","20","Paraná","Joaquim Távora","-49.9044","-23.4994",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109962' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"39296","South America","Brazil","Joaquim Tavora, arredores","sheet","NY00559342","NY00559342_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559341","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.",NA,NA,NA,NA,"A. C. Brade","1948","08","31","Espírito Santo","Cachoeiro de Itapemirim","-41.1128","-20.8492",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109963' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1936","South America","Brazil","Cachoeira de Itapemirim - Santo Santônio - Pedra Branca","sheet","NY00559341","NY00559341_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","559344","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides major","Yunck.","R. Callejas Posada",NA,NA,NA,"R. Callejas Posada","1983","12","06","Paraná","Cerro Azul","-48.75","-25.25",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113222' target='other'> <mi>dwc_moreinfo</mi></a>","major",NA,"1851","South America","Brazil","Estrada Rio Branco do Sul-Cerro Azul, 5 km depois do Rio Piedade","sheet","NY00559344","NY00559344_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","250443","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides prolifera","Trel.",NA,NA,NA,NA,"J. Isern y Batlló","1862","10","25","Rio de Janeiro",NA,"-43.184813","-22.973744",NA,NA,NA,"Trelease called this 6669 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760576' target='other'> <mi>dwc_moreinfo</mi></a>","prolifera","isotype","6449","South America","Brazil","Rio Janeiro, Copacabana","sheet","NY00250443","NY00250443_01",NA,NA,NA,NA,NA
"8","2020-02-08 10:10:08-03","NBC","NL-BOTANY","U 0249297","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.",NA,NA,NA,NA,"Martius CFP von",NA,NA,NA,"São Paulo",NA,"-46.633333","-23.55","-46.633333","-23.55",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200249297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"isotype",NA,"Southern America","Brazil","St. Paul, Brasilia",NA,"NL-U0249297","NL-U0249297","Magnoliopsidae",NA,NA,NA,NA
"9","2020-11-04 12:15:41-03","ESALQ","ESA","133158","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.","Colletta, G.D.","2015","07","08","Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Ivanauskas, N. M.; Silva, D. M.","2015","07","08","São Paulo","Piracicaba","-47.82382","-22.77823","-47.82382","-22.77823",NA,"Erva geófita. Folhas discolores com estias escuras nas nervuras.",NA,NA,"990.0",NA,"Brasil","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual Aluvial. Barranco do leito do córrego.",NA,"ESA133158",NA,NA,"538","538",NA,NA
"10","2020-03-12 10:29:28-03","UFOP","OUPR","34941","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","hydrocotyloides","Peperomia hydrocotyloides","Miq.","Ferreira-Júnior, C.A.","2019","12","31","Pedrosa, L.G.","2019","12","24","Minas Gerais","Mariana","-43.4160995483398","-20.377799987793",NA,NA,NA,"Sem observações",NA,NA,"2418",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"33524","auto"
