"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","fieldNumber"
"1","2020-09-23 10:44:21-03","E","E","373261","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta","possible type","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:428858","<a href=http://data.rbge.org.uk/herb/E00373261 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01887503","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"L. Camargo","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887503","Magnoliophyta","Lamiales","Cham.","42","1951","03","25","Paraná","Araucária","Araucaria","-49.4103","-25.5933","NY01887503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","583578","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"A. C. Brade","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583578","Magnoliophyta","Lamiales","Spreng.","5739","1912","08","18","São Paulo","Sao Paulo","Ipiranga, Capital","-46.63","-23.5403","NY00583578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","592164","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"C. Stellfeld","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592164","Magnoliophyta","Lamiales","Spreng.","1180","1945","12","08","Paraná","Curitiba","Curitiba. Country Club","-49.2731","-25.4281","NY00592164_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","583579","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"A. Usteri","South America","Brazil","sheet",NA,"Ex Herv. da Esc. Polit. de S. Paulo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583579","Magnoliophyta","Lamiales","Spreng.","s/n¦","1906","08","26","São Paulo","Sao Paulo","Vila Marianna, Capital","-46.63","-23.5403","NY00583579_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","583581","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"F. C. Hoehne","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583581","Magnoliophyta","Lamiales","Spreng.","s.n.","1936","10","20","São Paulo","Moji das Cruzes","Santo Angelo","-46.1881","-23.5231","NY00583581_01","A. Gehrt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","584222","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"R. Reiss","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584222","Magnoliophyta","Lamiales","Spreng.","16A","1934","06","30","Paraná","Tibagi","Tibagy","-50.488585","-24.686032","NY00584222_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01887505","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887505","Magnoliophyta","Lamiales","Cham.","8","1900","12","11","Paraná",NA,"Lago in campo",NA,NA,"NY01887505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","583591","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"M. Kuhlmann","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583591","Magnoliophyta","Lamiales","Spreng.","s.n.","1943","08","05","São Paulo","Sao Paulo","Santo Amaro","-46.63","-23.5403","NY00583591_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00956740","PreservedSpecimen","Plantae","Verbenaceae","Verbena","hirta","Verbena hirta",NA,"J. F. Widgren","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956740","Magnoliophyta","Lamiales","Spreng.","s.n.","1845",NA,NA,"Minas Gerais",NA,"Prov. Minas Geraes",NA,NA,"NY00956740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
