"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","verbatimLongitude","verbatimLatitude","previousCatalogNumber","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01211620","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","23700","1948","12","10","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1455352' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211620","NY01211620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01211619","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","23700","1948","12","10","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1455351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211619","NY01211619_01 NY01211619_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1093400","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.",NA,"B. A. Krukoff","8882","1936","10","26","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093400","NY01093400_01","holotype","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","230617","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.",NA,"B. A. Krukoff","8882","1936","10","26","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230617","NY00230617_01","holotype","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212825","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.","A. Alves-Araújo","A. A. de Oliveira","304","1992","01","11","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212825","NY01212825_01",NA,NA,"Manaus. Distrito Agropecuario, 90 km NNE de Manaus. Reserva nº 1501 (km 41). Arvore nº A* 304; S* 1103","-59.6854736","-2.3153702",NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1579628","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.","T. D. Pennington","M. A. de Freitas","550","1991","01","07","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01579628","NY01579628_01",NA,NA,"Distrito Agropecuário, Reserva 1501, km 41 do Smithsonian/INPA, Projeto Dinâmica Biológica dos Fragmentos Florestais.","-59.74583","-2.41625",NA,NA,"50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:34-03","NBC","NL-BOTANY","U 0006651","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.","Pennington TD","Krukoff BA",NA,"1936","10","26","Southern America","Brazil","Amazonas",NA,"Terra firma; high forest<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006651","NL-U0006651","isotype",NA,"Basin of Rio SolimoesState of Amazonas: Municipality Sao Paulo de Olivença; basin of creek Belem.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","37890 A",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-25 17:01:30-03","MNHN","RECOLNAT_MNHN_P","P00647907","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.",NA,"Krukoff, B.A.",NA,"1936","10","26",NA,"Brésil",NA,"hb","Reçu le 6 décembre 1937 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647907' target='other'> <mi>dwc_moreinfo</mi></a>","P00647907","P00647907_01","isotype",NA,"Basin of Rio Solimoes, State of Amazonas : Municipality Sao Paulo de Olivença ; basin of Creek Belem",NA,NA,NA,NA,NA,NA,NA,NA,"8882",NA,NA,NA,NA,NA,NA
"9","2013-12-02 17:29:52-02","MNHN","RECOLNAT_MNHN_P","P00647908","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D.Penn.",NA,"Krukoff, B.A.",NA,"1936","10","26",NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647908' target='other'> <mi>dwc_moreinfo</mi></a>","P00647908","P00647908_01","isotype",NA,"Basin of Rio Solimoes, State of Amazonas : Municipality Sao Paulo de Olivença ; basin of Creek Belem",NA,NA,NA,NA,NA,NA,NA,NA,"8882",NA,NA,NA,NA,NA,NA
"10","2009-10-30 07:48:00-02","MO","MOBOT","2136807","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","fulva","Pouteria fulva","T.D. Penn.","T.D. Pennington","Boris A. Krukoff","Krukoff 8882","1936","10","26","South America","Brazil","Amazonas",NA,NA,NA,NA,"Type",NA,"Municipality São Paulo de Olivenca. Basin of creek Belem. Terra firma. High forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
