"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","547408","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb.f.) Garay","E. A. Christenson","L. B. Smith","12986","1964","11","07","South America","Brazil","Santa Catarina","Catanduvas","East of Catanduvas","-51.75","-27.05","700","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547408","NY00547408_01 NY00547408_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418489","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb.f.) Garay","E. A. Christenson","P. K. H. Dusén","8885","1909","10","14","South America","Brazil","Paraná","Ponta Grossa","Brasilia, 23 Turma [Desvio Ribas]","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418489","NY00418489_01 NY00418489_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547409","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb.f.) Garay","E. A. Christenson","L. B. Smith","12818","1964","10","23","South America","Brazil","Santa Catarina","Abelardo Luz","12 km north of Abelardo Luz","-52.33","-26.53","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547409","NY00547409_01 NY00547409_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547410","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb.f.) Garay","G. F. J. Pabst","R. M. Klein","4184","1963","10","29","South America","Brazil","Santa Catarina","Campos Novos",NA,"-51.2247","-27.4019","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547410","NY00547410_01 NY00547410_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:27-03","UFRJ","RFA","8413","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Capanemia","uliginosa","Capanemia uliginosa","Barb.Rodr.","G.G. Hatschbach","G.G. Hatschbach","15095","1966","11","08",NA,"Brasil","Paraná","Bituruna","Rio Iguaçu, Salto Vitoria","-51.5525016784668","-26.1613998413086",NA,NA,NA,"Epífita. Flor alva; ápice, sépalas e pétalas lilás; labelo com macula amarela na base","RFA31558",NA,"30743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","9395","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Capanemia","uliginosa","Capanemia uliginosa","Barb.Rodr.","G.G. Hatschbach","G.G. Hatschbach","22699","1969","10","26",NA,"Brasil","Paraná","Clevelândia",NA,"-52.4707984924316","-26.3957996368408",NA,NA,NA,"Epífita. Flor alva, labelo com macula amarela","RFA31559",NA,"30860","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","19884","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb. f.) Garay","Kersten, RA","Kersten, RA","1343","2008","09","05",NA,"Brasil","Paraná","Araucária",NA,"-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"HUCP00002485","HUCP00002485","21346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","20904","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb. f.) Garay","Kersten, RA","Kersten, RA","1383","2009","10","10",NA,"Brasil","Paraná","Balsa Nova","Tamanduá","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00002450","HUCP00002450","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494522","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Capanemia","superflua","Capanemia superflua","(Rchb.f.) Garay",NA,"Klein RM",NA,"1963","10","29","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Campo Novos.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494522","NL-L1494522",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494523","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Capanemia","uliginosa","Capanemia uliginosa","Barb.Rodr.",NA,"Hatschbach GG",NA,"1960","10","23","Southern America","Brazil",NA,NA,"Est. Parana Mun, Guarapuava. Palmeirinha.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494523 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494523","NL-L1494523",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-02-02 14:38:42-02","BGBM","B","B 10 0312874","S","Plantae",NA,NA,"Orchidaceae","Capanemia","juergensiana","Capanemia juergensiana",NA,NA,"Jürgens","3","1899",NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100312874 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100312874","B100312874",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA
