"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00501255","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti; L. R. Parra","R. M. Harley","25795","1988","10","30","South America","Brazil","Bahia","Rio de Contas","Pico das Almas: vertente leste. Trilho Faz. Silvina-Queiroz","-41.93","-13.53","1350","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501255","NY00501255_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00501254","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti; L. R. Parra","A. M. Giulietti",NA,"1984","12","14","South America","Brazil","Bahia","Rio de Contas","Pico das Almas","-41.8114","-13.5792",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501254","NY00501254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00501253","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","H. N. Moldenke","G. G. Hatschbach","42352","1979","07","15","South America","Brazil","Bahia","Morro do Chapéu","Serra do Tombador","-41.1558","-11.5503","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501253","NY00501253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00886296","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","A. M. Giulietti","CFCR6954","1984","12","15","South America","Brazil","Bahia","Mucugê","Perto do cemitério.","-41.3706","-13.0056",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886296","NY00886296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00501261","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","R. M. Harley","18770","1977","02","16","South America","Brazil","Bahia",NA,"10 km S of Andaraí on the road to Mucugé","-41.32","-12.87","500","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501261","NY00501261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00571689","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","P. T. Sano","H52169A","1992","02","24","South America","Brazil","Bahia","Abaíra","Campo do Cigano","-41.92","-13.25","1700","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571689","NY00571689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00501252","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","S. A. Mori","14412","1981","06","13","South America","Brazil","Bahia","Lençóis","Vicinity of Lençois, on trail to Barro Branco, ca 5 km N of Lençois","-41.3897","-12.5633",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501252","NY00501252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00571715","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","W. Ganev","3227","1994","05","08","South America","Brazil","Bahia","Abaíra","Riacho do Piçarrao de Osmar Campos","-41.8","-13.38","1000","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571715","NY00571715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00501259","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","S. A. Mori","13399","1980","03","04","South America","Brazil","Bahia","Mucugê","A 6 km ao SW de Mucujê","-41.3706","-13.0056","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501259","NY00501259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00571697","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","schlechtendalii","Leiothrix schlechtendalii","(Körn.) Ruhland","A. M. Giulietti","W. Ganev","283","1992","05","14","South America","Brazil","Bahia","Piata","Serra da Tromba, estrada Piata-Gerais da Serra","-41.83","-13.13","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571697","NY00571697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
