"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","9349","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa","(Loisel.) DC.","M. Verdi","2010","08","20","M. Verdi; E. M. Martins e O. N. Veiga","5457","2010","08","20","Brasil","Santa Catarina","Mafra","Bela Vista do Sul.","-50.110556","-26.165278","50º6'38''W","26º9'55''S","801","801","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbustiva","CRI002625","CRI002625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00983994","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa","(Loisel.) DC.",NA,NA,NA,NA,"H. S. Irwin","9011","1965","10","06","Brazil","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041",NA,NA,"1075","1075","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983994","NY00983994_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-28 15:32:00-02","NY","NYBG","00984016","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,"R. C. Barneby",NA,NA,NA,"R. de Mello-Silva","1407","1997","05","28","Brazil","Minas Gerais","Ouro Branco","Serra do Ouro Branco","-43.6917","-20.5208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984016","NY00984016_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 12:52:00-02","NY","NYBG","585926","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,NA,NA,NA,NA,"G. J. Shepherd","12815","1980","08","01","Brazil","São Paulo",NA,"Serra da Bocaina, estr. p/Silveiras, 31 km da S. J. do Barreiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585926","NY00585926_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:52:00-02","NY","NYBG","585931","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,NA,NA,NA,NA,"A. C. Cervi","6191","1996","10","23","Brazil","Paraná",NA,"Bifurcaçao de Pitanga, Ventania e Jaguariaíva","-49.68","-24.23",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585931","NY00585931_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 15:32:00-02","NY","NYBG","00984017","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,NA,NA,NA,NA,"V. C. Souza","5023","1994","01","11","Brazil","São Paulo","Aguas da Prata","Estrada de Aguas de Prata-Sao Roque da Fartura, a _ km de Aguas da Prata","-46.7","-21.8497",NA,NA,"1460","1460","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984017","NY00984017_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 12:52:00-02","NY","NYBG","585928","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,"J. R. Pirani",NA,NA,NA,"W. Hoehne","s.n.","1946","07","31","Brazil","São Paulo",NA,"Congonhas","-46.660488","-23.627973",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585928","NY00585928_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","585937","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa","(Loisel.) DC.",NA,NA,NA,NA,"R. E. Braga","593","1958","08",NA,"Brazil","Paraná","Lapa","Lapa. Margem do Rio Passa-Dois","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585937","NY00585937_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 15:32:00-02","NY","NYBG","00984000","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa",NA,NA,NA,NA,NA,"G. Schüch","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984000","NY00984000_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00983995","PreservedSpecimen","Plantae","Fabaceae","Collaea","speciosa","Collaea speciosa","(Loisel.) DC.",NA,NA,NA,NA,"H. S. Irwin","15524","1966","05","01","Brazil","Distrito Federal","Brasília","Ca. 3 km S. of Sobradinho","-47.8167","-15.66041",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983995","NY00983995_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
