"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","locality","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4480","S","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","Carlos Alberto Ferreira Júnior","2018","11","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547701","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","P. K. H. Dusén",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108282' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","P. K. H. Dusén","15125","1914","06","07","South America","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511","740","740","sheet","NY00547701","NY00547701_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547702","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","P. K. H. Dusén",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108283' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","P. K. H. Dusén","8479","1910","05",NA,"South America","Brazil","Paraná",NA,NA,NA,NA,NA,"sheet","NY00547702","NY00547702_01","Capao Grande",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547703","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","F. C. Hoehne",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108284' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Barb.Rodr.","F. C. Hoehne","177","1917","06","01","South America","Brazil","São Paulo","Sao Paulo","-46.724373","-23.565521",NA,NA,"sheet","NY00547703","NY00547703_01","Butantan",NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9068","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","Amaral Jr., A.","1972","11","13",NA,NA,NA,NA,"Barb. Rodr.","Amaral Jr., A.","1112","1972","09","15",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,"BOTU009068",NA,"À margem do Rio Pardo, próximo à represa de abastecimento de água da Prefeitura de Botucatu","9999","9999",NA,NA,NA,NA
"6","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","32718","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,NA,NA,NA,"Barb.Rodr.","Amaral Jr., A.","885","1972","10","05",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,"BOTU032718",NA,"Distrito de Rubião Júnior, propriedade do sr. Antônio Delala","9999","9999",NA,NA,NA,NA
"7","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9067","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,NA,NA,NA,"Barb. Rodr.","Amaral Jr., A.","1085","1972","09","15",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,"BOTU009067",NA,"Margem do Rio Pardo, próximo à represa de abastecimento de água da Prefeitura de Botucatu","9999","9999",NA,NA,NA,NA
"8","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9110","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,NA,NA,NA,"Barb. Rodr.","Amaral Jr., A.","1047","1972","08","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU009110",NA,NA,"9999","9999",NA,NA,NA,NA
"9","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","32717","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,NA,NA,NA,"Barb.Rodr.","Amaral Jr., A.","701","1972","07","28",NA,"Brasil","São Paulo","Cerqueira César",NA,NA,NA,NA,NA,"BOTU032717",NA,"Vila Oliveira Coutinho","9999","9999",NA,NA,NA,NA
"10","2020-02-08 08:46:25-03","NBC","NL-BOTANY","L.1512698","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1512698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asparagales","Barb.Rodr.","Dusén PKH",NA,"1914","06","07","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"NL-L1512698","NL-L1512698","Plantae Brasilienses. Parana: Faguaria Hyva, in sihrila ad ramas arb.",NA,NA,"Magnoliopsidae",NA,NA,NA
"11","2021-03-31 13:41:04-03","MN","R","24969","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","Brade, A.C.",NA,NA,NA,NA,"Herbarium Brasiliense Alexandre Curt Brade",NA,NA,"Barb. Rodr.","Toledo Jr., F.T.","8645","1914","06",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:04-03","MN","R","70742","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","Menini Neto, L.","2003","12",NA,NA,"Universidade Federal de Juiz de Fora",NA,NA,"Barb. Rodr.","Menini Neto, L.; Alves, R.J.V.","47","2003","12","01",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:26:35-03","IAP","PACA-AGP","70938","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","V. F. Nunes",NA,NA,NA,NA,"Sobre um jovem indivíduo de Araucaria angustifolia. Habitat: Epífita, luz difusa Fenofase: flor","Magnoliophyta","Orchidales","Barb. Rodr.","V. F. Nunes","272","1991","05","26",NA,"Brasil","RS","Sapiranga","-51.0069007873535","-29.6380996704102",NA,NA,NA,"PACA070938",NA,"Picada Verão, Rec. da Cascata, sede do Umbu",NA,NA,"Liliatae","11711","auto",NA
"14","2020-12-20 21:18:45-03","UFV","VIC","012660","PreservedSpecimen","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis",NA,NA,NA,NA,NA,"Epífita, pequena,cresce sobre árvore em lugar mais abrigado.",NA,NA,"(Barb.)","Heringer, E.P.","871","1941","10","19",NA,"Brasil","Minas Gerais","Lavras","-44.999698638916","-21.2453002929688",NA,NA,NA,"VIC012660","VIC012660","Oeste de Minas",NA,NA,NA,"20044","auto",NA
"15","2019-08-20 10:00:53-03","UNICAMP","UEC","125831","S","Plantae","Orchidaceae","Isabelia","virginalis","Isabelia virginalis","Pansarin, ER","2002","05",NA,NA,NA,"Liliopsida",NA,"Barb.Rodr.","Pansarin, ER","924","2001","03","07",NA,"Brazil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,NA,"UEC034832","UEC034832","Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,NA,"17840","auto",NA
