"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","locality","identifiedBy","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:37:32-03","E","E","202947","PreservedSpecimen","Plantae","Compositae","Chresta","sphaerocephala","Chresta sphaerocephala","Proença, C.; Silva, A.P.; Ribeiro, J.F.","1957","1998","02","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217738","<a href=http://data.rbge.org.uk/herb/E00202947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","854847","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","R. C. de Mendonça","135","1980","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854847","Magnoliophyta","Asterales","DC.","Distrito Federal","Brasília","-48.03","-15.55","1200","1200","NY00854847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","854826","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","L. Emygdio de Mello Filho","3594","1972","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854826","Magnoliophyta","Asterales","DC.","Minas Gerais",NA,NA,NA,"1300","1300","NY00854826_01","Furnas, Mun. Alpinopolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","854823","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","H. S. Irwin","18067","1966","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854823","Magnoliophyta","Asterales","DC.","Distrito Federal","Brasília","-47.9","-15.72",NA,NA,"NY00854823_01","Rio Torto, ca. 10 km. N. of Brasília.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","854843","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","N. F. F. MacLeish","748","1980","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854843","Magnoliophyta","Asterales","DC.","Goiás","Cristalina","-47.6133","-16.7686",NA,NA,"NY00854843_01","12 km south of Cristalina towards Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 20:48:00-03","NY","NYBG","861042","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","G. Gardner","s.n.","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861042","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,"NY00861042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 18:47:00-03","NY","NYBG","806408","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","J. B. E. Pohl","2838",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806408","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,"NY00806408_01","Inter Corollino et Cazada Telha, Caldas nonovas.","N. F. F. MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00863171","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","J. R. Pirani","CFCR13202","1990","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863171","Magnoliophyta","Asterales","DC.","Minas Gerais","Joaquim Felício","-44.1719","-17.7575",NA,NA,"NY00863171_01","Serra do Cabral. Subindo a serra na estrada para Várzea da Palma","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","806413","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","G. G. Hatschbach","59270","1993","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806413","Magnoliophyta","Asterales","DC.","Goiás","Campo Alegre",NA,NA,NA,NA,"NY00806413_01","BR-050, 5-8 km S do trevo para Ipameri.","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","854849","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","S. A. Mori","16645","1984","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854849","Magnoliophyta","Asterales","DC.","Distrito Federal","Brasília","-48.03","-15.97","1100","1100","NY00854849_01","On road to Gama, DF16, 3-7 km from junction with BR040","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","854815","PreservedSpecimen","Plantae","Asteraceae","Chresta","sphaerocephala","Chresta sphaerocephala","S. Romaniuc Neto","403","1985","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854815","Magnoliophyta","Asterales","DC.","Goiás","Cristalina","-47.6133","-16.7686",NA,NA,"NY00854815_01",NA,"J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
