"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01092869","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","N. A. Murray","A. P. Duarte","3116","1950","09","13","South America","Brazil","Rio de Janeiro","Sete Lagôas - Estação Experimental Federal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092869","NY01092869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01092868","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","R. E. Fries","R. Reitz","5891","1954","11","21","South America","Brazil","Santa Catarina","S. João Batista, Tijucas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242323' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092868","NY01092868_01","15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02699061","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.",NA,"G. Eiten","s.n.","1961","11","11","South America","Brazil","São Paulo","Cultivated at Inst.Bot.S.Paulo, Parque do Estado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982410' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699061","NY02699061_01",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","573319","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","R. de Mello-Silva","W. Hoehne","s.n.","1944","10","19","South America","Brazil","São Paulo","Parque Estadual das Fontes do Ipiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=379401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573319","NY00573319_01 NY00573319_02",NA,NA,"Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01092870","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","N. A. Murray","R. M. Klein","1789","1955","12","07","South America","Brazil","Santa Catarina","Morro da Fazenda, Itajaí.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242352' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092870","NY01092870_01","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01092866","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","N. A. Murray","R. M. Klein","1789","1955","12","07","South America","Brazil","Santa Catarina","Morro da Fazenda, Itajaí.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242141' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092866","NY01092866_01","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01092867","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","N. A. Murray","M. Koscinsky","31158","1933","11","14","South America","Brazil","São Paulo","Cantareira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092867","NY01092867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","59985","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Uvaria","macrocarpa","Uvaria macrocarpa","Warm.",NA,"J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil",NA,"Ad Lagoa Santa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00059985","NY00059985_01",NA,NA,NA,NA,NA,NA,NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","144988","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Uvaria","macrocarpa","Uvaria macrocarpa","Warm.",NA,"J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil",NA,"Ad Lagoa Santa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144988","NY00144988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:18:47-03","UFRJ","RFA","7000","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","R.E. Fries","R. Reitz","5891","1954","11","21",NA,"Brasil","Santa Catarina","Tijucas",NA,"Árvore 15 m de altura. Flor amarela; diam. 7 cm; pétala 5,5 x 4 cm. Fruto amarelo 30 cm diam.","RFA26706",NA,"15","15","São João Batista","-48.8493995666504","-27.2761001586914","19004","auto",NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:42:22-03","NBC","NL-BOTANY","U.1080018","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","Mello-Silva R de","Hoehne W",NA,"1944","10","19","Southern America","Brazil","São Paulo","Brasil. São Paulo. São Paulo: Parque Estadual das Fontes do Ipiranga.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080018","NL-U1080018",NA,NA,NA,NA,NA,NA,NA,NA,"1997","Magnoliopsidae","09","01","U 0120730 | 119124",NA,NA,NA,NA
"12","2020-02-08 09:42:22-03","NBC","NL-BOTANY","U.1080019","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","Murray NA","Lindeman JC; Haas JH de",NA,"1966","08","13","Southern America","Brazil",NA,"In small valley with now dry creeklet near Casa Branca, ca 10 km W of Cerro Azul",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080019","NL-U1080019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0011651",NA,NA,NA,NA
"13","2020-02-08 09:42:22-03","NBC","NL-BOTANY","U.1080020","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Porcelia","macrocarpa","Porcelia macrocarpa","(Warm.) R.E.Fr.","Murray NA","Lindeman JC; Haas JH de",NA,"1966","08","13","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080020","NL-U1080020",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0133041",NA,NA,NA,NA
