"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144768","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Ottonia","macrophylla","Ottonia macrophylla","Kunth","J. C. Yesilyurt","M. C. de Assis","571","1999","02","12","South America","Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lúcia, as margens do Rio Timbuí.","-40.6003","-19.9358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144768","NY01144768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","556627","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","L. Emygdio de Mello Filho","382","1945","09","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro","D. F., Pico do Papagaio","-43.300857","-22.953329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556627","NY00556627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","556625","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","G. F. J. Pabst","4551","1958","08","31","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Floresta da Tijuca, prox. Gruta Paulo e Virginia","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556625","NY00556625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","556628","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","L. Emygdio de Mello Filho","504","1946","11","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","D. F., Pico do Papagaio","-43.300857","-22.953329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556628","NY00556628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","556631","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","R. Callejas Posada","1602","1983","10","28","South America","Brazil","Bahia","Camacan","Mun. de Camaca, 2 km W de Camaca. Estrada Camaca-Pau-Brasil","-39.49","-15.41","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556631","NY00556631_01","160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","556626","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","W. R. Anderson","11684","1976","02","21","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra da Gávea","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556626","NY00556626_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","556629","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","M. Rosa","77","1946","11","07","South America","Brazil","Rio de Janeiro","Rio de Janeiro","D. F. Tijuca, Bom Retiro","-43.286923","-22.958882","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556629","NY00556629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","556630","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hayneanum","Piper hayneanum","C.DC.","R. Callejas Posada","M. Rosa","100","1946","12","11","South America","Brazil","Rio de Janeiro","Rio de Janeiro","D. F., Paulo and Virginia, Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556630","NY00556630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:55-03","UFRJ","RFA","12998","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Ottonia","macrophylla","Ottonia macrophylla","Kunth","Yuncker","G. Pabst","4551","1958","08","31",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca próximo a Gruta Paulo e Virginia","-43.2075004577637","-22.9027996063232",NA,"Arbusto de 2 m de altura; flores brancas perfumadas","RFA11996",NA,NA,NA,"1961","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:22:43-03","UFBA","ALCB","114708","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","hayneanum","Piper hayneanum","DC.","Guedes, ML","Crestani, A","139","2011","04","06","Southern America","Brasil","Bahia","Itamaraju",NA,"-39.5311012268066","-17.0391998291016",NA,"Folhas levemente discolores. Infrutescência apresentando frutos pedicelados escurecidos já passados.","ALCB002583","ALCB002583",NA,NA,"2014","55932","auto","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
