"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:24:46-03","UNESC","CRI","4222","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears","Vanilde Citadini- Zanette","Valdemar Boff","207","1995","10","30","Brasil","Santa Catarina","Araranguá","Arroio do Silva.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13","CRI000212","CRI000212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:46-03","UNESC","CRI","4974","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears","Albertina Brocca","Albertina Brocca",NA,"1996","10","02","Brasil","Santa Catarina","Içara","Praia do rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","10","10","CRI000207","CRI000207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:46-03","UNESC","CRI","398","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears","Vanilde Citadini- Zanette","Vanilde Citadini Zanette","2523","1996","09","12","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","326","326","CRI000210","CRI000210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:46-03","UNESC","CRI","6028","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears","Vanilde Citadini- Zanette","Robson dos Santos; Clair Maria Martinello","253","1996","09","15","Brasil","Santa Catarina","Araranguá","Morro dos conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,NA,"CRI000211","CRI000211","Habitat: vegetação fixadora de dunas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:53-03","E","E","334822","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides",NA,NA,"Tweedie, John",NA,NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"E00334822",NA,"<a href=http://data.rbge.org.uk/herb/E00334822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:361486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493736","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides commersonii","(A.St.-Hil.) Mears","J. A. Mears","J. N. Rose","21420","1915","08","08","Brazil","Rio de Janeiro","Cabo Frio",NA,"-42.0183","-22.8794",NA,NA,NA,NA,"NY00493736","NY00493736_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471258' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Caryophyllales","commersonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493735","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides commersonii","(A.St.-Hil.) Mears",NA,"L. Riedel","698",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00493735","NY00493735_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471257' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Caryophyllales","commersonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1018194","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears",NA,"A. Q. Lobão","182","1996","02","18","Brazil","Rio de Janeiro","Cabo Frio","Praia do Peró.","-42.0183","-22.8794",NA,NA,NA,NA,"NY01018194","NY01018194_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250207' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","493721","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears",NA,"D. S. D. de Araújo","1584","1977","04","15","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Marambaia, marco 11","-43.2075","-22.9031",NA,NA,NA,NA,"NY00493721","NY00493721_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432947' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","493729","PreservedSpecimen","Plantae","Amaranthaceae","Blutaparon","portulacoides","Blutaparon portulacoides","(A.St.-Hil.) Mears","J. A. Mears","Martii Herbar. Florae Brasil.","420","1833",NA,NA,"Brazil","Bahia","Ilhéus","Ilheos.","-39.0492","-14.7892",NA,NA,NA,NA,"NY00493729","NY00493729_01","p. 248 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432950' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
