"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","infraspecificEpithet"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12918","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","Alexandre Medeiros","2017","10","25","Alexandre Medeiros","2017","10","25","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Epífita. Coleta 611. Habito: Epífita","CRI011526","CRI011526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686270","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.",NA,NA,NA,NA,"A. Gehrt","1920","11","22","Brazil","São Paulo",NA,"Butantan","-46.724373","-23.565521",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=831961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686270","NY00686270_01","Magnoliophyta","Asparagales","4584","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686268","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","S. Koehler",NA,NA,NA,"Illegible collector name","1910","01","13","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"Collector possibly R. Lange, but illegible. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686268","NY00686268_01","Magnoliophyta","Asparagales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686271","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1914","10","21","Brazil","Paraná",NA,"Villa Velha","-50.012929","-25.234872",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686271","NY00686271_01","Magnoliophyta","Asparagales","15836","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:14-03","FFCLRP","LBMBP","1238","S","Plantae","Orchidaceae","Bifrenaria","fuerstenbergiana","Bifrenaria fuerstenbergiana","Schltr.","E.R.Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:40:39-03","UFJF","CESJ","41945","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","L. Menini Neto","2004","01",NA,"M.A. Faria","2003","11","03","Brasil","Minas Gerais","Rio Preto",NA,"-43.8278007507324","-22.0891990661621",NA,NA,"(Casa de vegetação da UFJF, 017)&nf;Pseudobulbo tetragonal, alongado, amarelado-esverdeado, folha verde-clara, sépalas e pétalas verde-acastanhadas levemente rosadas, labelo róseo, coluna creme com a face inferior rosea.","CESJ041945",NA,"Angiosperma",NA,"9","América do Sul",NA,"20815","auto",NA,NA,NA,NA,NA
"7","2019-11-08 08:54:13-03","FURB","FURB","36933","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","Caetano, JO","2011","11","30","Caetano, J.O.","2011","11","30","Brasil","Santa Catarina","Benedito Novo","Alto Benedito.","-49.4086111","-26.7872222","-49.4086111","-26.7872222",NA,"FURB02692","FURB02692",NA,NA,NA,NA,NA,NA,NA,"454","454",NA,NA,NA
"8","2019-11-08 08:54:13-03","FURB","FURB","56026","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","Funez, L.A.","2017","11",NA,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","10","14","Brasil","Santa Catarina","Garopaba",NA,"-48.69","-28.08","-48.6900000","-28.0800000","flor verde-amarelada Habitat: interior do fragmento Habito: erva","FURB56026","FURB56026",NA,NA,"1497",NA,NA,NA,NA,"147","147",NA,NA,NA
"9","2020-10-14 10:03:57-03","FURB","FURB","56027","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","Kassner-Filho, A.","2017","11","08","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","11","08","Brasil","Santa Catarina","Santo Amaro da Imperatriz",NA,"-48.78","-27.72","-48.7800000","-27.7200000","flor verde-amarelada Habitat: interior do fragmento Habito: epífita","FURB56027","FURB56027",NA,NA,"1406",NA,NA,NA,NA,"612","612",NA,NA,NA
"10","2020-10-14 10:03:57-03","FURB","FURB","56028","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","inodora","Bifrenaria inodora","Lindl.","Kassner-Filho, A.","2017","11","10","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","11","10","Brasil","Santa Catarina","Palhoça",NA,"-48.69","-27.72","-48.6900000","-27.7200000","flor verde-amarelada Habitat: interior do fragmento Habito: epífita","FURB56028","FURB56028",NA,NA,"1410",NA,NA,NA,NA,"108","108",NA,NA,NA
