"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","preparationType","occurrenceRemarks","fieldNumber","phylum","yearIdentified","typeStatus"
"1","2020-12-21 16:38:16-03","MBM","MBM","49086","PreservedSpecimen","Plantae","Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","Reichb. f.","Hatschbach, G.","Hatschbach, G.","1030","1948","10","17","Southern America","Brazil","Paraná","Lapa","Engenheiro Bley","-49.7158012390137","-25.7696990966797","49965","MBM049086","MBM049086","auto",NA,NA,NA,NA,NA,NA
"2","2015-09-15 10:08:49-03","MNHN","RECOLNAT_MNHN_P","P00372104","PreservedSpecimen",NA,"Orchidaceae","Arethusa","biplumata","Arethusa biplumata","L.f.",NA,"Commerson, P.",NA,NA,NA,NA,NA,"Uruguay",NA,NA,"Montévidéo",NA,NA,NA,"P00372104","P00372104_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372104' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"3","2015-11-07 07:41:54-02","MNHN","RECOLNAT_MNHN_P","P00672983","PreservedSpecimen",NA,"Orchidaceae","Arethusa","biplumata","Arethusa biplumata","L.f.",NA,"Commerson, P.",NA,"1767","11",NA,NA,"Uruguay",NA,NA,"Du Morne de Montevideo",NA,NA,NA,"P00672983","P00672983_01 P00672983_02",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00672983' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"4","2015-09-03 19:32:37-03","MNHN","RECOLNAT_MNHN_P","P00372103","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Commerson, P.",NA,NA,NA,NA,NA,"Uruguay",NA,NA,"Montévidéo",NA,NA,NA,"P00372103","P00372103_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372103' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"5","2015-09-15 10:09:23-03","MNHN","RECOLNAT_MNHN_P","P00372105","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Commerson, P.",NA,"1767","11",NA,NA,"Uruguay",NA,NA,"Du Morne de Montévidéo",NA,NA,NA,"P00372105","P00372105_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372105' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"6","2015-09-03 19:32:37-03","MNHN","RECOLNAT_MNHN_P","P00372106","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Fruchard, C.",NA,"1889","10","12",NA,"Uruguay",NA,NA,"Cerro",NA,NA,NA,"P00372106","P00372106_01",NA,"hb","Reçu le 15 mai 1883 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372106' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"7","2004-08-09 17:42:52-03","MNHN","RECOLNAT_MNHN_P","P00372107","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Fruchard, C.",NA,"1867","10",NA,NA,"Uruguay",NA,NA,"Cerro de Montevideo",NA,NA,NA,"P00372107","P00372107_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372107' target='other'> <mi>dwc_moreinfo</mi></a>","817",NA,NA,NA
"8","2017-03-24 13:36:56-03","MNHN","RECOLNAT_MNHN_P","P00372108","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Desvaux, A.N.",NA,NA,NA,NA,NA,"Argentine",NA,NA,"Bonaria (Buenos Aires)",NA,NA,NA,"P00372108","P00372108_01",NA,"hb","Donné par Mme Lavalléé en 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372108' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA
"9","2015-09-04 15:19:36-03","MNHN","RECOLNAT_MNHN_P","P00372109","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.","Correa","Fruchard, C.",NA,"1867","10",NA,NA,"Uruguay",NA,NA,"Cerro de Montevideo",NA,NA,NA,"P00372109","P00372109_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372109' target='other'> <mi>dwc_moreinfo</mi></a>","817",NA,NA,NA
"10","2015-09-03 19:33:01-03","MNHN","RECOLNAT_MNHN_P","P00372248","PreservedSpecimen",NA,"Orchidaceae","Bipinnula","biplumata","Bipinnula biplumata","(L.f.) Rchb.f.",NA,"Orbigny, A.D. d'",NA,"1826","7",NA,NA,"Uruguay",NA,NA,"Plaines du Cerro près Montevideo",NA,NA,NA,"P00372248","P00372248_01",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372248' target='other'> <mi>dwc_moreinfo</mi></a>","55",NA,NA,NA
