"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","stateProvince","imagecode","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2020-09-23 10:39:32-03","E","E","158179","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:177482","<a href=http://data.rbge.org.uk/herb/E00158179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:10-03","MN","R","11063","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011063","Fritsch","Chautems, A.","1987","Glaziou, A.F.M.","20386","1893","05","03","Rio de Janeiro","R000011063_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:28:19-03","PUC-RIO","FCAB","1330","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil",NA,NA,"Ganítica sobre rochas.","001330","Fritsch","A. Chautems","1990","P.E. Leite S.J.","s.n.","1945","05",NA,"Rio de Janeiro",NA,"Angiospermae","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-01 15:28:19-03","PUC-RIO","FCAB","3963","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil",NA,NA,"Arbusto de flores rosas; cálice com pêlos alvo-lanuginosos.","003963","Fritsch","A. Chautems","1990","J.C. Siqueira; Prof. Helênio","2232","1987","02","20","Rio de Janeiro",NA,"Angiospermae","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","Cascata do Pinel",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 12:12:43-03","MNHN","RECOLNAT_MNHN_P","P04060609","PreservedSpecimen",NA,"Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04060609' target='other'> <mi>dwc_moreinfo</mi></a>","P04060609","Fritsch",NA,NA,"Glaziou",NA,"1893","5","3","Rio de Janeiro","P04060609_01",NA,NA,NA,NA,NA,NA,"Alto Macaé.","20386",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 12:12:43-03","MNHN","RECOLNAT_MNHN_P","P04060610","PreservedSpecimen",NA,"Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04060610' target='other'> <mi>dwc_moreinfo</mi></a>","P04060610","Fritsch",NA,NA,"Glaziou, A.",NA,"1893","5","3","Rio de Janeiro","P04060610_01",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","Alto Macahe.","20386",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3348933","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata","South America - Neotropics","Brazil",NA,NA,NA,"US00590889","Fritsch",NA,NA,"L. E. Skog","7690","1995","5","10",NA,"US00590889_01","Scrophulariales",NA,NA,NA,NA,NA,"Grown in the Smithsonian's Dept. of Botany greenhouses, Suitland, Maryland, U.S.A.",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3555684","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata","South America - Neotropics","Brazil",NA,NA,NA,"US00992696","Fritsch","Skog, L. E.",NA,"H. J. Wiehler, M. F. Peixoto & GRF Study Group","91123","1991","10","12","Rio de Janeiro","US00992696_01","Scrophulariales",NA,NA,NA,NA,NA,"Rio de Janeiro: along road from Nova Friburgo to Cascata do Pinel, about 25 km from Nova Friburgo. Gathered by group around Nova Friburgo",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"9","2019-11-13 11:20:21-03","USP","SPF","163959","PreservedSpecimen","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata",NA,"Brasil",NA,NA,NA,"SPF00163959","Fritsch","Chautems, A","2006","Mello-Silva, R","2619","2004","06","16","Rio de Janeiro","SPF00163959",NA,"Nova Friburgo","-42.53","-22.324444",NA,NA,"Pedra do Imperador",NA,NA,NA,"-42.53","-22.324444","1233","1233",NA
"10","2014-10-09 13:58:19-03","UHH","HBG","517344","S","Plantae","Gesneriaceae","Vanhouttea","lanata","Vanhouttea lanata","South America","Brazil",NA,NA,NA,"HBG517344","Fritsch","Leeuwenberg, A.J.M.","1957","Ule, E.","4586","1898","01","17",NA,"HBG517344",NA,NA,NA,NA,NA,NA,"Strauch an Felsengehängen de4r Pedra do Conico bei Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,"Isotype"
