"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","order","relatedCatalogItem"
"1","2019-10-09 11:09:43-03","UFBA","ALCB","033747","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","D.J.N.Hind & H.P.Bautista","Bautista, HP","1999","11","20","parátipo","Hind, DJN; Hind, DJN; Bautista, HP; M.M. da Silva","PCD&nf;4084","1996","11","05","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Três Morros","-41.886389","-13.060556","-41.886389","-13.060556","1300","1300","4,0 m, muito ramificado na parte superior, tronco de 7 cm de diâmetro. Folhas papiráceas, concolores; face adaxial verde-claro, abaxial acinzentadas. Sem flores. Frequente.","ALCB000027","ALCB000027",NA,NA,NA,NA,NA
"2","2019-10-09 11:09:43-03","UFBA","ALCB","128744","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","D.J.N.Hind & H.P.Bautista","Staudt, MG","2017","06",NA,NA,"Fonseca, WO; Bittencourt, D; Machado, M","422","2016","12","22","Southern America","Brasil","Bahia","Piatã","BR sentido Piatã para Boninal, a 8,5 Km de Piatã, estradinha de chão, lado direito.","-41.687778","-13.069722","-41.687778","-13.069722","1253","1253","ca. 1,5 m de altura, amarelo esverdeada.","ALCB046120","ALCB046120",NA,NA,NA,NA,NA
"3","2019-10-09 11:09:43-03","UFBA","ALCB","88749","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","D.J.N.Hind & H.P.Bautista","Liro, RM","2009","07",NA,NA,"Guedes, ML; Sanches, FG; Alunos de Botânica III","14762","2009","05","02","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Caminho para os Três morros. Ponto 03","-41.803889","-13.073611","-41.803889","-13.073611","1327","1327","de ca 2 m de alt. Folhas cartáceas, discolores. Capítulos passados, marrons.",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-27 13:46:08-03","UFS","ASE","40470","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind","Bautista, HP","1998","09",NA,NA,"Bautista, HP","2917","1998","09","30","Southern America","Brasil","Bahia","Piatã","Entre a Serra do Gentio e João Teixeira","-41.8731","-13.0608","-41.8731","-13.0608",NA,NA,"Arbusto. Unico exemplar visto.; Campo rupestre.","ASE0041991",NA,NA,NA,NA,NA,NA
"5","2019-11-27 13:46:08-03","UFS","ASE","38676","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind","Bautista, HP","1999","07",NA,NA,"Bautista, HP","2938","1999","07","15","Southern America","Brasil","Bahia","Piatã","Três Morros, Próximo à fazenda Porteiras.","-41.5255","-13.0374","-41.5255","-13.0374",NA,NA,"Árvore, 4 m de altura, moderadamente ramificada, entre pedras, inflorescências terminais, capítulos com flores brancas. Frequente.; Campo Rupestre.","ASE0040051",NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:08:48-03","UFES","VIES","28361","S","Plantae",NA,"Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind","Bautista, H.P.","1998","09",NA,NA,"Bautista, H.P.","2896","1998",NA,NA,NA,"Brasil","Bahia","Piatã","Três Morros, Manoel Luiz, na estrada para Inúbia, desvio à direita Folha Cartográfica SD-24-V-C.","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,NA,"VIES028361","VIES028361","41184","auto",NA,NA,NA
"7","2019-10-07 09:11:00-03","UEFS","HUEFS","28721","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind","H.P.Bautista","1998","11",NA,"Parátipo","Hind, D.J.N.","PCD4084","1996","11","05",NA,"Brasil","Bahia","Piatã","Pai Inacio, três morros.","-41.886389","-13.060556","41W53'11''","13S3'38''","1300","1300","Cerrado arbóreo aberto, substrato gramíneo-lenhoso com árvores esparsas ou em aglomerados arbóresos. Solo de textura arenosa.","HUEFS0028721","HUEFS0028721",NA,NA,"Asteranae","Asterales",NA
"8","2019-10-07 09:11:00-03","UEFS","HUEFS","66439","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind",NA,NA,NA,NA,"Isótipo","Bautista, H.P.","2220","1997","09","02",NA,"Brasil","Bahia","Piatã","Três Morros (próximo à Fazenda Porteiras).","-41.883333","-13.05","41W53'","13S3'","1390","1390","Gerais e campo rupestre","HUEFS0066439",NA,NA,NA,"Asteranae","Asterales",NA
"9","2019-10-07 09:11:00-03","UEFS","HUEFS","66440","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind",NA,NA,NA,NA,"Isótipo","Bautista, H.P.","2220","1997","09","02",NA,"Brasil","Bahia","Piatã","Três Morros (próximo à Fazenda Porteiras).","-41.884167","-13.062222","41W53'3''","13S3'44''","1390","1390","Campos gerais","HUEFS0066440",NA,NA,NA,"Asteranae","Asterales",NA
"10","2019-10-07 09:11:00-03","UEFS","HUEFS","66441","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind",NA,NA,NA,NA,"Isoparátipo","Hind, D.J.N.","PCD4084","1996","11","05",NA,"Brasil","Bahia","Piatã","Três Morros.","-41.883333","-13.05","41W53'","13S3'","1300","1300","Campo rupestre","HUEFS0066441",NA,NA,NA,"Asteranae","Asterales",NA
"11","2020-07-23 11:58:40-03","CEPLAC","CEPEC","74721","PreservedSpecimen","Plantae",NA,"Asteraceae","Acritopappus","pintoi","Acritopappus pintoi",NA,"H. P. Bautista",NA,NA,NA,NA,"D. J. N. Hind","4084","1998","11","07",NA,"Brasil","Bahia","PIATÃ","Pai Inácio. Três Morros.","-41.886389","-13.060556","41W53'11","13S3'38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/09/1999"
"12","2019-05-06 11:52:21-03","UFU","HUFU","74682","S","Plantae",NA,"Asteraceae","Acritopappus","pintoi","Acritopappus pintoi","Bautista & D.J.N.Hind","Bautista, H.P.","1998","09",NA,NA,"Bautista, H.P.","2896","1998","09","29",NA,"Brasil","Bahia","Piatã","Três morros, Manoel Luiz, na estrada para Inúbia, desvio à direita.","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,"Arbusto, 0,5 a árvore de 4m, folhas tomentosas, verde limão, ramos floríferos curtos, caule creme, tomentoso. Frequente entre rochas.; Frequente entre rochas, campo rupestre.","HUFU00072498","HUFU00072498","41184","auto",NA,NA,NA
