"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","typeStatus","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","786892","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","T. R. Soderstrom","1962","1972","04","25","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Road from Cachoeiro de itapemirim to Itabira","-41.08","-20.85","80","110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786892","NY00786892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:20:32-03","NBC","NL-BOTANY","L.1344334","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom TR; Sucre Benjamin D",NA,"1972","04","26","Southern America","Brazil",NA,NA,"Espirito Santo. Mun. Cachoeiro de Itapemirim: 10 km from Cachoeiro toward Alegre.","-41.15","-20.783333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1344334","NL-L1344334","Magnoliopsidae","-41.15","-20.783333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:20:32-03","NBC","NL-BOTANY","L.1344335","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom TR; Sucre Benjamin D",NA,"1972","04","14","Southern America","Brazil",NA,NA,"Guanabara. Grajaú, north slope of Mata da Tijuca, Beira da Mata. Dry open forest.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344335 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1344335","NL-L1344335","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:17-02","BGBM","B","B 10 0250219","S","Plantae",NA,NA,"Gramineae","Sucrea","maculata","Sucrea maculata","Soderstr.","T. R. Soderstrom & D. Sucre","1962","1972","04","25","Middle and South America","Brazil",NA,NA,"Espirito Santo, Mun. Cachoeiro de Itapemirim: road from Cachoeiro de Itapemirim to Itabira, alt. 80-110 m.",NA,NA,"80","110",NA,"<a href=http://herbarium.bgbm.org/object/B100250219 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250219","B100250219",NA,NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:17-02","BGBM","B","B 10 0250221","S","Plantae",NA,NA,"Gramineae","Sucrea","maculata","Sucrea maculata","Soderstr.",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"no type (R.P. Oliveira, 11.2004); Hb. Nees <a href=http://herbarium.bgbm.org/object/B100250221 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250221","B100250221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:17-02","BGBM","B","B 10 0250220","S","Plantae",NA,NA,"Gramineae","Sucrea","maculata","Sucrea maculata","Soderstr.","T. R. Soderstrom & D. Sucre","1941","1972","04","14","Middle and South America","Brazil",NA,NA,"Guanabara; Grajaú, north slope of Mata da Tijuca, Beira da Mata, alt. 190 m.",NA,NA,"190","190",NA,"<a href=http://herbarium.bgbm.org/object/B100250220 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250220","B100250220",NA,NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1916379","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Thomas R. Soderstrom|Dimitri Sucre","Soderstrom 1962","1972","4","25","South America","Brazil","Espírito Santo",NA,"Mun. Cachoeiro de Itapemirim: road from Cachoeiro de Itapemirim to Itabira","-41.08333","-20.85","80.00000000","110.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","242972","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Alwyn H. Gentry|R. de Oliveira","Gentry 59204","1987","9","13","South America","Brazil","Rio de Janeiro",NA,"Tijuca, Rio de Janeiro. S of Rio de Janeiro, behind Rogerio de Oliveira's house; secondary forest with Johannesia and Actinostema dominant.","-43.46666","-22.96666","50.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerrit Davidse","87-230","3",NA,NA,NA,NA,NA,NA
"9","2020-08-31 09:21:43-03","INPA","INPA","222994","S","Plantae","Monocotyledon","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Sasaki, D","1732","2007","06","02","Southern America","Brasil","Mato Grosso",NA,"Novo Mundo, Parque Estadual Cristalino. A leste da pousada. Mata baixa inundável.","-55.817694","-9.449056",NA,NA,NA,NA,"INPA0222994","INPA0222994 INPA0222994_e",NA,"-55.817694","-9.449056",NA,"Prance, GT",NA,NA,"2014","06",NA,NA,NA,NA
"10","2020-08-31 09:21:43-03","INPA","INPA","69978","S","Plantae","Monocotyledon","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom, TR","1962","1972","04","25","Southern America","Brasil","Espírito Santo",NA,"Cachoeira de Itapemirim, Road from Cachoeiro de Itapemirim to Itabira. Young secondary forest on mountain slope without ferns and only a few epiphytes (had been a coffee plantation). Most rain here during Nov.-Jan. but dry now with little leafmold ac","-41.083333","-20.85","80","110",NA,NA,"INPA0069978","INPA0069978 INPA0069978_e INPA0069978_e1 INPA0069978_e2",NA,"-41.083333","-20.85",NA,"Oliveira, RP de",NA,NA,"2005","04","20",NA,NA,NA
"11","2020-08-31 09:21:43-03","INPA","INPA","69986","S","Plantae","Monocotyledon","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom, TR","1970","1972","04","26","Southern America","Brasil","Espírito Santo",NA,"Cachoeira de Itapemirim, 10 Km from Cachoeiro toward Alegre. Low forest with very clean understory, soil sandy clay, dominated by Rutaceae and small trees of Myrtaceae, and spiny palms (Irí), deep layer of leafmold and topsoil light black for at lea","-41.15","-20.783333","90","90",NA,NA,"INPA0069986","INPA0069986 INPA0069986_e INPA0069986_e1",NA,"-41.15","-20.783333",NA,"Oliveira, RP de",NA,NA,"2005","04","20",NA,NA,NA
"12","2020-08-31 09:21:43-03","INPA","INPA","70015","S","Plantae","Monocotyledon","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom, TR","1941","1972","04","14","Southern America","Brasil","Rio de Janeiro","Grajaú","Grajaú; north slope of Mata da Tijuca, Beira da Mata. Dry open forest with Spondias sp.; Meliaceae spp., Zebrina, Pharus, high above mountain stream; vegetation here quite different from that of other side of Tijuca where slopes are wet. Common in fo",NA,NA,"190","190",NA,NA,"INPA0070015","INPA0070015 INPA0070015_e INPA0070015_e1",NA,NA,NA,NA,"Oliveira, RP de",NA,NA,"2005","04","20",NA,NA,NA
"13","2020-08-31 09:21:43-03","INPA","INPA","70019","S","Plantae","Monocotyledon","Poales","Poaceae","Sucrea","maculata","Sucrea maculata","Soderstr.","Soderstrom, TR","1946","1972","04","14","Southern America","Brasil","Rio de Janeiro",NA,"Grajaú; north slope of Mata da Tijuca, Beira da Mata. Growing on soil accumulated on boulder at river's edge where forest is moist and much light available. Probably accidental, having been washed down from the forest and become established here. Col",NA,NA,"300","300",NA,NA,"INPA0070019","INPA0070019 INPA0070019_e INPA0070019_e1",NA,NA,NA,NA,"Oliveira, RP de",NA,NA,"2005","04","20",NA,NA,NA
"14","2020-07-10 09:46:19-03","MBML","MBML-HERBARIO","16492",NA,"Plantae",NA,NA,"Gramineae","Sucrea","maculata","Sucrea maculata","Soderstrom","A. P. Fontana; et al","197","2001","10","06",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,NA,NA,"Herbácea, inflorescência avermelhada, botões verdes, folhas verdes.","MBML016492","MBML016492",NA,"40W40'53","19S48'20",NA,"R. P. Oliveira/09-04-2003",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:46:19-03","MBML","MBML-HERBARIO","21594",NA,"Plantae",NA,NA,"Gramineae","Sucrea","maculata","Sucrea maculata","Soderstrom","R. P. Oliveira; et al","851","2003","04","12",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis","-40.678056","-19.814167",NA,NA,NA,"Erva formando pequenas touceiras, até ca. 50cm alt. Folhas levemente discolores, a face abaxial glauca. Inflorescências passadas. Abundante no interior da mata.","MBML021594","MBML021594",NA,"40W40'41","19S48'51",NA,"R. P. Oliveira/Abril-2003",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2725353","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1946","1972","4","14","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Grajau, mata de tijuca. [in former guanabara state]",NA,NA,"300","300",NA,NA,"US00136188","US00136188_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2725389","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1962","1972","4","25","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro de itapemirim/itabira alt 20 51's: long 41 05'w","-41.1128005981445","-20.8488998413086","80","110",NA,NA,"US00136198","US00136198_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
"18","2020-09-12 05:00:02-03","US","US","2725407","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Sucrea","maculata","Sucrea maculata",NA,"T. R. Soderstrom & D. Sucre","1970","1972","4","26","South America - Neotropics","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeiro/alegre lat 20 47's: lon 41 09'w","-41.1128005981445","-20.8488998413086","90","90",NA,NA,"US00136194","US00136194_01","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,"35694","auto",NA
