"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","7420","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Angelo Schneider","2007","05","15","Rafael Martins","112","2007","03","07","Brasil","Santa Catarina","Imbituba","Ibiraquera.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","Habitat: restinga","CRI001213","CRI001213",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","801357","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","44891","1982","05","09","Brazil","Santa Catarina","Laguna","Farol Sta. Marta","-48.7806","-28.4828",NA,NA,"3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801357","NY00801357_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA
"3","2020-02-08 08:50:43-03","NBC","NL-BOTANY","U.1134042","PreservedSpecimen","Plantae","Compositae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.",NA,NA,NA,NA,"Lindeman JC; Porto ML",NA,"1971","11","15","Brazil",NA,NA,"Morro dos Conventos, E de Ararrangua na costa, S. C. resto do matinho baixo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1134042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1134042","NL-U1134042",NA,"Asterales","Southern America",NA,"Magnoliopsidae",NA,NA,NA
"4","2019-11-08 08:50:01-03","FURB","FURB","53533","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Heiden, G.","2018","02","08","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","407","2017","04","27","Brasil","Santa Catarina","Lages",NA,"-50.4","-28.3502778","-50.4000000","-28.3502778","990","990","flor rosa Habitat: campo natural Habito: erva","FURB53533","FURB53533",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-16 17:51:02-03","UCS","HUCS","36677","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Pasini, E.","2011",NA,NA,"Pasini, E.","526","2010","11","27","Brasil","Rio Grande do Sul","Capão Novo",NA,NA,NA,NA,NA,NA,NA,"Em campo arenoso - alterado",NA,NA,"Angiospermae","Asterales",NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:51:02-03","UCS","HUCS","38277","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Gonzatti, F.","2017","10",NA,"Valduga, E.","153","2011","11","26","Brasil","Rio Grande do Sul","Palmares do Sul","Dunas Altas, Balneário Quintão","-50.2975","-30.423333","-50.2975","-30.423333","5","5","em dunas, junto à orla",NA,NA,"Angiospermae","Asterales",NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:51:02-03","UCS","HUCS","44689","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Gaio, J.","2016","03","24","Gaio, J.","499","2015","11","21","Brasil","Rio Grande do Sul","Osório","Próxima à lagoa do Peixoto","-50.234711","-29.856883","-50.234711","-29.856883","8","8","Subarbusto subereto à ereto com lígulas rosadas. Espécie ameaçada (EN); Em área antropizada",NA,NA,"Angiospermae","Asterales",NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:51:02-03","UCS","HUCS","36776","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Pasini, E.","2010",NA,NA,"Pasini, E.","516","2010","11","27","Brasil","Rio Grande do Sul","Capão da Canoa",NA,"-50.0097007751465","-29.7455997467041",NA,NA,NA,NA,"Em beira da praia - vegetação de gramado ruderal",NA,NA,"Angiospermae","Asterales",NA,NA,NA,"15808","auto",NA
"9","2021-03-16 17:51:02-03","UCS","HUCS","32779","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Gonzatti, F.","2017","10",NA,"Wasum, R.A.","4431","2008","03","18","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Curral Grande, Fazenda Porteira de Ferro","-53.3680992126465","-33.5189018249512",NA,NA,"4","4","no campo",NA,NA,"Angiospermae","Asterales",NA,NA,NA,"130170","auto",NA
"10","2021-03-16 17:51:02-03","UCS","HUCS","03988","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","psammophilum","Noticastrum psammophilum","(Klatt) Cuatrec.","Robinson, H.","1988","08",NA,"Wasum, R.A.","s.n.","1988","04","23","Brasil","Rio Grande do Sul","Jaquirana","Fazenda Boa Vista","-50.3577995300293","-28.8847007751465",NA,NA,NA,NA,"Erva no campo",NA,NA,"Angiospermae","Asterales",NA,NA,NA,"31282","auto",NA
