"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","imagecode","individualCount","class","infraspecificEpithet","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","345853","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","Schott","T. Morong","294","1888","03","18","South America","Paraguay","Luque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:51:22-03","EAO","IAN","89025","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","Schott","Schott, HW","3465",NA,NA,NA,NA,NA,NA,NA,NA,"IAN089025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:33:18-02","IPA","IPA","9108","S","Plantae","Plantae",NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Pickel, B.","4645","1940","06","18","Southern America","Brasil","Horto Florestal.",NA,NA,"IPA0009108","Toledo","1943","03","23","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-07-24 16:48:09-03","MNHN","RECOLNAT_MNHN_P","P00992239","PreservedSpecimen",NA,NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Province de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00992239' target='other'> <mi>dwc_moreinfo</mi></a>","P00992239","Croat",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1055","P00992239_01",NA,NA,NA,NA,NA
"5","2018-12-10 13:05:00-02","MO","MOBOT","101089622","PreservedSpecimen","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Unknown","Unknown 17",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-01-11 11:04:00-02","MO","MOBOT","101094006","PreservedSpecimen","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Thomas Morong","Morong 294","1888","12","18","South America","Paraguay",NA,NA,NA,NA,"N. E. Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"7","2009-10-26 23:35:00-02","MO","MOBOT","2914908","PreservedSpecimen","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Ludwig Riedel","Riedel s.n.",NA,NA,NA,"South America","Brazil","Serra da Estrella Caladium [m..].",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-05-30 04:37:00-03","MO","MOBOT","362576","PreservedSpecimen","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","Ernst Üle","Üle 7753","1909",NA,NA,"South America","Brazil","Rio Branco.",NA,NA,NA,"A. Engler",NA,NA,NA,"Acre",NA,"-67.9","-9.93333",NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2018-12-10 13:05:00-02","MO","MOBOT","101088260","PreservedSpecimen","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum","(Schott) Schott","D.B. Pickel","Pickel 43085",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Rio Grande do Sul","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:08-03","FZB-BH","BHZB","7903","S","Plantae",NA,NA,"Araceae","Xanthosoma","riedelianum","Xanthosoma riedelianum",NA,"Ferreira Junior, C.A. et al.",NA,"2010","01","13",NA,"Brasil","FZB-BH - Jardim Botânico - Coleção de Araceae",NA,"ARA000020. Exsicata subdividida em (A/B).Cultivado",NA,NA,NA,NA,NA,"MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA
