"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","identifiedBy","coordinatePrecision","geoFlag","class","order","yearIdentified","monthIdentified","dayIdentified","continentOcean","relatedCatalogItem","imagecode","phylum","fieldNumber","preparationType","individualCount","typeStatus"
"1","2019-09-10 21:42:11-03","UNEMAT","TANG","4157","S","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Abdo, MSA; Santos, JL; Souza, ISS","625","2017","02","08","Brasil","Mato Grosso","Tangara da Serra","Assentamento Antônio Conselheiro, Agrovila 3, Sítio Terra firme nº 443.","-57.645883","-14.737869","-57.645883","-14.737869","230","230","TANG000004157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:06:56-03","CPAN-UFMS","COR","2637","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Ratter, J. A.; Pott, A.; Pott, V. J.","2637","1987","11","12","Brasil","Mato Grosso do Sul","Corumbá","Area da fazenda Acurizal.","-57.166667","-19.633333","57º10'0''W","19º38'0''S",NA,NA,NA,"Com Flor: Corola creme-amarelada; Com fruto:amarelo/creme Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-02 16:28:33-03","CPAN-UFMS","COR","8763","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Damasceno-Júnior, G. A.; Nakajima, J. N.; Romero, R. & Pott, V. J.","3081","2001","11","24","Brasil","Mato Grosso do Sul","Corumbá","Morro na margem da baía Gaíva; separando as águas da baía das do rio Paraguai","-57.695","-19.745556","57º41'42''W","19º44'44''S","90","90",NA,"Arvoreta, 2 m de altura; flor creme com o centro vinho Habito: Arvoreta","Silva, R. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:06:56-03","CPAN-UFMS","COR","3657","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Ratter, J. A.; Pott, A.; Pott, V. J.; Almeida Rego, S. C.; Martins,F.; Tamashiro, J. & UFMS fieldcourse","6010","1987","11","17","Brasil","Mato Grosso do Sul","Ladário","Serra do Urucum; morro Santa Cruz","-57.55","-19.133333","57º33'0''W","19º8'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-14 15:02:42-03","CPAN-UFMS","COR","15130","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Takahasi, A.; Ribas, S. M.; Jesus-Filha, M. L. B. & Monteiro, B. N. C.","964","2006","03","09","Brasil","Mato Grosso do Sul","Ladário","Fazenda Figueira","-57.645278","-19.236389","57º38'43''W","19º14'11''S","198","198",NA,"Arbusto, 1,8 m de altura; flor amarela clara externamente e vinho internamente, tornando-se rosada próximo à borda da pétala; estames e estigma cremes; presença de besouros no interior da flor; frutos imaturos; ramos escuros com lenticelas claras Habito:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:06:56-03","CPAN-UFMS","COR","15145","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Takahasi, A.; Ribas, S. M.; Jesus-Filha, M. L. B. & Correa, R. P.","991","2006","03","28","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Monjolinho; entre a bancada laterítica e pastagem","-57.528611","-19.274444","57º31'43''W","19º16'28''S","188","188",NA,"Arbusto, 2 m de altura; fruto laranja forte quando maduro; folha discolor, ramos marrom com lenticelas claras Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:06:56-03","CPAN-UFMS","COR","10752","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Damasceno Jr.,G.A.; Assis,E.M.","2258","2001","03","15","Brasil","Mato Grosso do Sul","Ladário","Estrada Parque (Antiga estrada da Manga). Beira de estrada; litólico; morro.","-57.6016998291016","-19.0046997070312",NA,NA,"120","120",NA,"Com fruto:alaranjado","Damasceno-Junior, G.A.","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:06:56-03","CPAN-UFMS","COR","11089","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Damasceno Jr., G.A.; Gonçalves, P.V.","2459","2002","06","28","Brasil","Mato Grosso do Sul","Ladário","Fazenda do Sr. Antar. Bancada Laterítica; litólico; Morro.","-57.6016998291016","-19.0046997070312",NA,NA,"120","120",NA,NA,"G.A. Damasceno-Junior","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:06:56-03","CPAN-UFMS","COR","15539","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Oliveira,P.P.; Urquiza,M.V.S.; Diamante, M.; Rodrigues, A..; Lara, F.",NA,"2012","03","16","Brasil","Mato Grosso do Sul","Ladário","lote 19. pasto; ;.","-57.6016998291016","-19.0046997070312",NA,NA,NA,NA,NA,"Com Flor: fruto",NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:38:23-03","NBC","NL-BOTANY","L.1755303","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Fiebrig K",NA,"1908","01","01","Paraguay",NA,NA,"N. Paraguay, Estrella, Dez.",NA,NA,NA,NA,NA,NA,"NL-L1755303","Camp in de Nähe des Rio Apa, bei Fermitenhügel.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1755303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Spichiger R-E",NA,NA,"Magnoliopsidae","Magnoliales","1983","05","01","Southern America","L 0180396 | 9102451124","NL-L1755303",NA,NA,NA,NA,NA
"11","2020-02-08 09:38:23-03","NBC","NL-BOTANY","L.1755304","PreservedSpecimen","Plantae","Annonaceae","Annona","nutans","Annona nutans","(R.E.Fr.) R.E.Fr.","Hassler E",NA,"1913","01","01","Paraguay",NA,NA,"Paraguaria Centralis: In reione lacus Ypacaray.",NA,NA,NA,NA,NA,NA,"NL-L1755304","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1755304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae","Magnoliales",NA,NA,NA,"Southern America","L 0180397 | 920160650","NL-L1755304",NA,NA,NA,NA,NA
