"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","basisOfRecord","class","order","continentOcean","individualCount","yearIdentified"
"1","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","25744","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008","L. Kollmann; et al","8658","2006","02","23","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556","40W40'53","19S48'20","Erva na rocha, meia sombra. Flores secas.","MBML025744","MBML025744_1 MBML025744_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","28143","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B.Smith","E.Leme/14-12-2006","L. Kollmann","9399","2006","12","14","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556","40W40'53","19S48'20","Planta rupícola, saxícola, na meia sombra, folhas verdes, face abaxial com escamas cinza, brácteas florais verdes, sépalas esverdeadas, pétalas brancas.","MBML028143","MBML028143",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","38983","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B.Smith",NA,"A.P. Duarte","3910","1953","11","10","Brasil","Minas Gerais",NA,"Norte do Espírito Santo e Nanuqui.",NA,NA,NA,NA,"Planta rupestre em formação gragária ou associada e Vellozias e outras Bromeliáceas.","MBML038983","MBML038983","ISOTIPO",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","41527","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B.Smith","L.Kollmann/29-03-2011","L. Kollmann; Milton Gropo","12237","2011","03","29","Brasil","Espírito Santo","Santa Teresa","estrada 25 de julho, terr. Fracalossi","-40.610556","-19.84","40W36'38","19S50'24","Erva rupicola na sombra, inflorescencia velha.","MBML041527","MBML041527",NA,"280","280",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2538332","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B. Sm.",NA,"A. P. Duarte","3910","1953","11","10","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"US00091418","US00091418_01","Holotype",NA,NA,"PreservedSpecimen","Monocotyledonae","Bromeliales","South America - Neotropics","1",NA
"6","2019-11-21 10:02:41-03","IBt","SP","415697","Plantae","Bromeliaceae","Orthophytum","duartei","Orthophytum duartei","L.B.Sm.","Smith, LB","Duarte, AP","3910","1953","11","10","Brasil","Espírito Santo",NA,"ao Norte e Nanuqui no Estado de Minas Gerais",NA,NA,NA,NA,NA,"SP002440","SP002440","Isotype",NA,NA,"S",NA,NA,NA,NA,"1967"
