"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1844039","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","P. K. H. Dusén","16155","1914","12","19","South America","Brazil","Paraná","Jacareí","Jacarehy, locis arenosis ad marg. silv.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844039","NY01844039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1844040","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","L. B. Smith","13152","1964","11","11","South America","Brazil","Santa Catarina","Itapiranga","1-2 km west of Itapiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844040","NY01844040_01","-53.72","-27.17","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1844042","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","L. B. Smith","13152","1964","11","11","South America","Brazil","Santa Catarina","Itapiranga","1-2 km west of Itapiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844042","NY01844042_01","-53.72","-27.17","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1844041","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","L. B. Smith","13152","1964","11","11","South America","Brazil","Santa Catarina","Itapiranga","1-2 km west of Itapiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844041","NY01844041_01","-53.72","-27.17","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1505392","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Dusén PKH",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Plantae Brasilienses. Parana: Sacarchy loeis arenosis ad marg. silv. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1505392 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1505392","NL-L1505392",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:34-03","IAP","PACA-AGP","10891","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb. f.","Rambo, B.",NA,"1954","09","03",NA,"Brasil","RS",NA,NA,NA,"EM PERIGO Fenofase: flor","PACA010891",NA,NA,NA,NA,NA,"Liliatae","Emrich-Rambo-Pabst","1956","02","14",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:34-03","IAP","PACA-AGP","10722","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb. f.","C. Orth SJ",NA,"1941","12","07",NA,"Brasil","RS","São Leopoldo",NA,NA,"EM PERIGO Habitat: Culta Fenofase: flor","PACA010722",NA,"-51.1472015380859","-29.7602996826172",NA,NA,"Liliatae","Emrich-Rambo-Pabst","1954","09","03","10287","auto",NA,NA,NA,NA
"8","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1195","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:09:42-03","UFES","SAMES","4407","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Giaretta,A.O.; Faria,M.B.","86","2007","09","29",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Estrada de terra adjacente à uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus - Guriri.",NA,"Labelo amarelo e pétalas vinosas. Bráctea vinosa e esverdeado.","SAMES04407",NA,"-39.8588981628418","-18.716100692749",NA,NA,NA,NA,NA,NA,NA,"56510","auto","-397602778.0","-187422222.0",NA,NA
"10","2019-11-06 09:56:50-03","UFOP","OUPR","9674","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Badini, J.; Rapalo, J.A.","s.n.","1975","10","10",NA,"Indisponível",NA,NA,"Sacaia",NA,"Epifíta. Erva. Flores marrons e amarelas",NA,NA,NA,NA,NA,NA,NA,"Batista, J.A.N.","2004","01",NA,NA,NA,NA,NA,NA,NA
"11","2019-02-21 19:37:57-03","UNEMAT","HERBAM","4354","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Assunção, P.A.C.L.; Hase, L. & Rocha Filho, J.A.","2058","2009","01","28",NA,"Brasil","Mato Grosso","Paranaíta","UHE Teles Pires",NA,NA,"HERBAM004354",NA,"-56.905556","-9.238333",NA,NA,NA,"Assunção, PACL","2009","01",NA,NA,NA,"-56.905556","-9.238333",NA,NA
"12","2019-08-16 08:40:23-03","UTFPR","HCF","26517","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","M.G. Caxambu","8557","2018","10","10",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, trilha do",NA,"erva epífita, semi-ciófila. Flores amarelas, maculadas de castanho.",NA,NA,"-54.464389","-25.628944","200","200",NA,"M.G. Caxambu & G.A. Dettke","2018","10","10",NA,NA,"54°27'51,8 W","25°37'44,2 S",NA,NA
"13","2020-12-07 11:51:18-03","UFSM","SMDB","6644","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb. f. & Warm.","Breier, TB","0s.n.0","2002","11","04",NA,"Brasil","Rio Grande do Sul","Itaára","Centro Tabor",NA,NA,"SMDB006644",NA,"-53.7647018432617","-29.6096992492676",NA,NA,NA,"Breier, TB",NA,NA,NA,"17818","auto",NA,NA,NA,NA
"14","2020-12-21 16:38:23-03","MBM","MBM","385397","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Michelon, C.; Bochorny, T.; Bochorny, T.","1540","2012","10","06",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá",NA,"Resgate de flora da UHE Mauá; Epífita, flores amarelas com máculas marrons. Pseudobulbos com até 70cm, sem folhas.; na floresta ripária do Rio Tibagi.","MBM385397","MBM385397","-50.756944","-24.100556","520","750",NA,"Michelon, C.","2012","10","06",NA,NA,"-50.756944","-24.100556",NA,NA
"15","2020-12-21 16:38:23-03","MBM","MBM","394152","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Ariati, V.; Adenesky-Filho, E.; Adenesky-Filho, E.","578","2011","08","12","Southern America","Brazil","Paraná","Telêmaco Borba","UHE Mauá",NA,"Epífita; flores marrons.","MBM394152","MBM394152","-50.706944","-24.100556","520","750",NA,"Ariati, V.","2011","08","12",NA,NA,"-50.706944","-24.100556",NA,NA
"16","2015-09-04 12:23:06-03","MNHN","RECOLNAT_MNHN_P","P00436916","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Smith, L.B.|Klein, R.M.",NA,"1964","11","11",NA,"Brésil",NA,NA,"Santa Catarina : municipalite Itapiranga : forest 1 - 2 km W of Itapiranga","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436916' target='other'> <mi>dwc_moreinfo</mi></a>","P00436916","P00436916_01","-53.71667","-27.16667","200","250",NA,"Batista",NA,NA,NA,NA,NA,NA,NA,"13152",NA
"17","2015-09-03 19:54:04-03","MNHN","RECOLNAT_MNHN_P","P00436917","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","palmifrons","Cyrtopodium palmifrons","Rchb.f. & Warm.","Lourteig, A.",NA,"1967","10",NA,NA,"Paraguay",NA,NA,"Dep . Guaira : Colonia Independencia, picada propiedad Tilinski","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436917' target='other'> <mi>dwc_moreinfo</mi></a>","P00436917","P00436917_01",NA,NA,NA,NA,NA,"Pabst",NA,NA,NA,NA,NA,NA,NA,"2380",NA
