"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus","sex"
"1","2020-09-23 10:38:23-03","E","E","514632","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","Buchtien, Otto","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia: Ufer des Calle Calle","herbarium specimen of unspecif","BGBASE:550789","<a href=http://data.rbge.org.uk/herb/E00514632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424047","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","J. E. Leite","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","Near Sao Leopoldo","sheet",NA,"seed removed for S.E.M. scanning. M. Bywater, 1981 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424047","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","G. E. Wickens; M. Bywater","531","1941","10","-51.143791","-29.75136","NY00424047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04140968","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","L. R. Landrum","South America","Argentina","Río Negro",NA,"Lago Nahuel Huapi region, Lago Hess, ca. 40 km SW of Bariloche","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3385118' target='other'> <mi>dwc_moreinfo</mi></a>","NY04140968","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","J. A. Kallunki","4388","1982","03",NA,NA,"NY04140968_01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","424049","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","L. B. Smith","South America","Brazil","Santa Catarina","Bom Retiro","By Fazenda Santo Antonio, Campo dos Padres","sheet",NA,"seed removed for S.E.M. scanning. M. Bywater, 1981 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424049","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","G. E. Wickens; M. Bywater","10321","1957","01","-49.4892","-27.7972","NY00424049_01","23","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","424048","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","L. B. Smith","South America","Brazil","Santa Catarina","Sao Joaquim","18 km southwest of Sao Joaquim","sheet",NA,"seed removed for S.E.M. scanning. M. Bywater, 1981 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424048","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","G. E. Wickens; M. Bywater","14375","1965","01","-49.98","-28.4","NY00424048_01","06","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","501387","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","P. G. Delprete","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja. Próximo a estaçao do CINDACTA-2.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=263316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501387","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","J. A. Kallunki","7036","1998","12","-49.47","-28.12","NY00501387_01","06","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","424050","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","H. Roivainen","South America","Argentina","Santa Cruz",NA,"Los Antiguos","sheet",NA,"seed removed for S.E.M. scanning. M. Bywater, 1981 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424050","Magnoliophyta","Saxifragales","(Sm.) F.Meigen","G. E. Wickens; M. Bywater","2520","1970","02","-71.43","-46.58","NY00424050_01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:33:51-03","NBC","NL-BOTANY","L.3767187","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","Pedersen TM","Southern America","Argentina",NA,NA,"Carambola.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3767187 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3767187",NA,"Saxifragales","(Sm.) Meigen",NA,NA,"1986","09",NA,NA,"NL-L3767187","17",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U.1213850","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","Renvoize SA; Wilmot-Dear CM; Zuloaga FO","Southern America","Argentina",NA,NA,"San Jose, Escuela Agrotecnico Don Bosco.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1213850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1213850",NA,"Saxifragales","(Sm.) Meigen",NA,NA,"1978","10",NA,NA,"NL-U1213850","12",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U.1213851","PreservedSpecimen","Plantae","Crassulaceae","Crassula","peduncularis","Crassula peduncularis","Pedersen TM","Southern America","Argentina","Corrientes",NA,"Ea. 'La Yela'. Dep. Empedrado. Prov. Corrientes.",NA,NA,"Wet ground, clayey soil, full sun.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1213851 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1213851",NA,"Saxifragales","(Sm.) Meigen","Schinini A",NA,"1983","01",NA,NA,"NL-U1213851","19",NA,NA,"Magnoliopsidae","U 0258480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
