"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","871890","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","elegans","Richterago elegans","Roque","N. Roque","N. Roque","294","1996","07","17","South America","Brazil","Minas Gerais","Diamantina","Cachoeira dos Cristais, próximo a Biri-Biri.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871890","NY00871890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871891","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","elegans","Richterago elegans","Roque",NA,"H. S. Irwin","22722","1969","01","27","South America","Brazil","Minas Gerais",NA,"Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871891",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","871940","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","elegans","Richterago elegans","Roque",NA,"H. S. Irwin","22763","1969","01","28","South America","Brazil","Minas Gerais",NA,"Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871940","NY00871940_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:50:25-03","UFBA","ALCB","106075","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque",NA,"Roque, N; Quaresma, AS","3725","2012","09","23","Southern America","Brasil","Minas Gerais","Datas","Estrada de Poço Fundo para Engenho da Bilia","-43.679722","-18.665833",NA,"até 40cm alt., folhas com indumento alvo-tomentoso. Brácteas involucrais verdes com ápice vináceo, corola alva.",NA,NA,"1155","1155","-43.679722","-18.665833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-25 16:50:25-03","UFBA","ALCB","122513","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque","Barres, L","Barres, L; Alves, M; Campos, L; Roque, N","230","2015","10","02","Southern America","Brasil","Minas Gerais","Diamantina","estrada de terra de Sopa a São João da Chapada.","-43.729444","-19.2475",NA,"ca. 80 cm alt. Folhas coriáceas, levemente discolor. Brácteas involucrais creme, flores rosáceas. ; com afloramento rochoso","ALCB007952",NA,"1260","1260","-43.729444","-19.2475","2015","10",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-25 16:50:25-03","UFBA","ALCB","118485","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque","Roque, N","Roque, N; Sano, PT; Trovó, MLO; Costa, FN; et al.","4584","2014","11","27","Southern America","Brasil","Minas Gerais","Olhos d'Água","Fazenda Alamo, Campos dos Ferreira, nascente do córrego do Sobradão.","-43.751389","-17.6325",NA,"ca. 40cm alt., folhas concolores. Brácteas involucrais verde-vináceas. Flores com corola alva. Pápus estramíneo.; campo ruprestre",NA,NA,"1138","1138","-43.751389","-17.6325","2014","11",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-25 16:50:25-03","UFBA","ALCB","106080","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque",NA,"Roque, N; Quaresma, AS","3730","2012","09","23","Southern America","Brasil","Minas Gerais","Datas","Estrada de Poço Fundo para Engenho da Bilia","-43.669167","-18.577222",NA,"até 50cm alt. Brácteas involucrais verde-castanhas, corola alva.; campo areno-pedregoso.",NA,NA,"1180","1180","-43.669167","-18.577222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-25 16:50:25-03","UFBA","ALCB","106112","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque","Franco, IM","Franco, I; Silva, AP; Costa, FN","900","2011","10","14","Southern America","Brasil","Minas Gerais","Diamantina","Campus JK da UFVJM","-43.569444","-18.196944",NA,"em solo arenoso em afloramento rochoso. Flores alvas, estigmas creme, anteras castanhas.",NA,NA,"1360","1360","-43.569444","-18.196944","2011","10",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:50:25-03","UFBA","ALCB","122508","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque","Barres, L","Barres, L; Alves, M; Campos, L; Roque, N","222","2015","10","01","Southern America","Brasil","Minas Gerais","Diamantina","Entre Serro e Datas.","-43.652778","-18.464167",NA,"ca. 60 cm alt. Folhas só na parte basal da planta, alternas, coareaceas, conduplicatas, lineares, capítulos em corimbo; escapo floral lanado; capítulos radiados; brácteas vináceas; flores albas.","ALCB007947",NA,"1258","1258","-43.652778","-18.464167","2015","10",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-25 16:50:25-03","UFBA","ALCB","120889","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","elegans","Richterago elegans","N.Roque",NA,"Roque, N; Alves, M; Campos, L; Barres, L","4715","2015","10","01","Southern America","Brasil","Minas Gerais","Serro","Estrada Serro-Datas, Cachoeira do Moinho de Esteira.","-43.493611","-18.571944",NA,"40-80 cm alt., folhas concolores. Brácteas involucrais verde-cinéreas, corola alva.","ALCB007987","ALCB007987","1064","1064","-43.493611","-18.571944","2015","09",NA,NA,NA,NA,NA,NA,NA
