"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","235334","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","J. A. Kallunki","J. R. Pirani","2632","1993","01","19","South America","Brazil","Espírito Santo","Linhares","Estrada para Colatina via Lagoa Nova, ca. 7 km E de Linhares","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00235334","NY00235334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","589187","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","J. A. Kallunki","D. A. Folli","3305","1998","12","01","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares - Linhares. Municipal Joao Pedro. Km: 1,6","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","235335","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","J. A. Kallunki","J. R. Pirani","3457","1994","12","07","South America","Brazil","Espírito Santo","Linhares","Mata a 2.6 km do iniciada estrada nao pavimentada a Rio Bananal, o início desta a 10 km NW da cidade de Linhares (da ponte sobre o afluente do Rio Doce).","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00235335","NY00235335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:38:36-03","UFC","EAC","20448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Angostura","marginata","Angostura marginata","Rizzini","Pirani, J.R.","Fernandes, A.; Andrade, M.","EAC20448","1994","04","23","Southern America","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"Arbusto.","EAC0020448",NA,"1995","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-12-22 13:04:00-02","MO","MOBOT","100767337","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani",NA,"João Geraldo Kuhlmann","Kuhlmann 256",NA,NA,NA,"South America","Brazil","Espírito Santo",NA,"Barra do rio Juparaná-Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","25313",NA,"Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","Rizzini","J.R. Pirani/2010","L. Kollmann; et al","8593","2006","01","24",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,"Arbusto 2m na sombra. Frutos verdes.","MBML025313",NA,NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA,NA,NA,NA,NA
"7","2021-02-25 10:13:21-03","CVRD","CVRD","6060","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Jacquelyn A. Kallunki","Folli, D.A.","3305","1998","12","01","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Rapadura amarela","CVRD006060","CVRD006060","1999","48094","auto",NA,NA,NA,NA,"Magnoliopsida","03","08",NA,NA
"8","2021-02-25 10:13:21-03","CVRD","CVRD","15824","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","José R. Pirani","Siqueira, G.S.","1211","2017","11","29","América do Sul","BRASIL","ES","Linhares","Na antiga estr. do flamengo","-40.0722007751465","-19.3910999298096",NA,"Col. Adicinais: D. A. Folli & André Carneiro <ll>dwc_commonname:</ll> Rapadura amarela","CVRD015824",NA,"2017","48094","auto",NA,NA,NA,NA,"Magnoliopsida","11","29","41","41"
"9","2021-03-15 18:29:43-03","USP","SPF","81354","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Pirani, JR","Pirani, JR","2632","1993","01","19",NA,"Brasil","Espírito Santo","Linhares","Estrada para Colatina via lagoa Nora, ca. 7km E de Linhares. Remanescente de Mata Pluvial Tropical.","-40.0722007751465","-19.3910999298096",NA,"Arvoretas delgadas, 50-300cm alt., geralmente não ramificadas, ou com apenas 2-3 ramos ascendentes; folhas concentradas nas terminações, discolores, com face superior cerde-escura e inferior verde-clara-amarelada, pecíolo e nervura m","SPF00081354",NA,"1998","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 18:29:43-03","USP","SPF","100249","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Pirani, JR","Pirani, JR","3457","1994","12","07",NA,"Brasil","Espírito Santo","Linhares","Mata a 2,6km do início da estrada não pavimentada a Rio Bnanal, o início desta a 10km NW da cidade de Linhares (da ponte sobre o afluente do Rio Doce) Remanescente de floresta pluvial tropical, perturbada.","-40.0722007751465","-19.3910999298096",NA,"Arbustos ou arvoretas delgados, não ramificados ou com 1-3 ramos ascendentes, 40cm-4m alt., freqüentes na submata. População não agregada mas bem disseminada. Folhas discolores, claras na face inferior, patentes; pecíolo marrom-claro","SPF00100249",NA,"1998","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 18:29:43-03","USP","SPF","87142","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Pirani, JR","Fernandes, A","s.n.","1994","03","23",NA,"Brasil","Espírito Santo","Linhares","Mata Atlântica.","-40.0722007751465","-19.3910999298096",NA,"Arbusto","SPF00087142",NA,"1998","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 18:29:43-03","USP","SPF","194209","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Pirani, JR","Kollmann, L","8593","2006","01","24",NA,"Brasil","Espírito Santo","Santa Teresa","Vale de São Brás","-40.6002998352051","-19.9356002807617",NA,"Arbusto 2 m na sombra. Frutos verdes.","SPF00194209",NA,"2010","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:18:43-03","IBt","SP","335359","S","Plantae",NA,NA,"Rutaceae","Conchocarpus","marginatus","Conchocarpus marginatus","(Rizzini) Kallunki & Pirani","Pirani, JR","Pirani, JR; Kallunki, JA","2632","1993","01","19",NA,"Brasil","Espírito Santo","Linhares","Estrada para Colatina via Lagoa Nova, ca. 7 km E de Linhares.","-40.0722007751465","-19.3910999298096",NA,NA,"SP048473","SP048473","1998","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
