"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","617463","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","M. H. Nee","J. H. Hunziker","10880","1983","12","08","South America","Argentina","Misiones","Cainguás","Ayo. Cuña-Pirú, 8 km de A. de del Valle hacia Jardín de América","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617460","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","M. E. Mathias; L. Constance","L. B. Smith","14094","1964","12","17","South America","Brazil","Santa Catarina","Riqueza","Rio Iracema, east of Riqueza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617460","-53.33","-27.07","250","250","NY00617460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617461","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","L. Constance","G. G. Hatschbach","23140","1969","12","06","South America","Brazil","Paraná","Foz do Iguaçu","Carima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617461","-54.5881","-25.5481",NA,NA,"NY00617461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:16:00-03","NY","NYBG","617462","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii mapimum","Hassl.",NA,"E. Hassler","11408","1912",NA,NA,"South America","Paraguay",NA,NA,"In altaplanitie Sierra de Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617462",NA,NA,NA,NA,NA,"mapimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617459","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","B. E. Irgang","J. C. Lindeman","4361","1967","01","22","South America","Brazil","Paraná",NA,"Ilha dos Bandeirantes, islet in Rio Paraná opposite Pôrto Camargo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617459",NA,NA,NA,NA,"NY00617459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617458","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","K. F. A. H. Wolff","P. K. H. Dusén","7817","1909","02","25","South America","Brazil","Paraná","Irati","Iraty","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617458","-50.6508","-25.4672",NA,NA,"NY00617458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:36-03","UNESP-IBB","BOTU","10444","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","Wolff.","Hatschbach, G.","Hatschbach, G.","45835","1982","12","09",NA,"Brasil","Paraná","Guaíra",NA,NA,NA,"BOTU010444",NA,NA,NA,NA,NA,NA,"1983","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:18:47-03","UFRJ","RFA","10991","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ekmanii","Eryngium ekmanii","H.Wolff","L. Constant","G.G. Hatschbach","23140","1969","12","06",NA,"Brasil","Paraná","Foz do Iguaçu","Carimá",NA,"Ereta até 70 cm de altura. Flor alvecente","RFA36376","-54.5881004333496","-25.5478000640869",NA,NA,NA,NA,"1971",NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:10:24-03","UTFPR","DVPR","5240","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apiaceae","Eryngium","ekmanni","Eryngium ekmanni","H.Wolff","Estevan, DA","Souza, PR; et al.","78","2016","12","17",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto Chopim",NA,"Erva com flores.; Floresta Estacional Semidecidual","DVPR005240","-53.0445","-25.3611",NA,NA,NA,NA,"2017",NA,"-53.0445","-25.3611",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:24-03","UTFPR","DVPR","5239","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apiaceae","Eryngium","ekmanni","Eryngium ekmanni","H.Wolff","Estevan, DA","Souza, PR; et al.","77","2017","02","23",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto Chopim",NA,"Erva com flores.; Floresta Estacional Semidecidual","DVPR005239","-53.0445","-25.3611",NA,NA,NA,NA,"2017",NA,"-53.0445","-25.3611",NA,NA,NA,NA,NA,NA,NA,NA,NA
