"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","previousCatalogNumber","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","634653","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","W. Hoehne","1951","09","25","South America","Brazil","São Paulo","Limeira","Proximo a Limeira","-47.4","-22.56","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634653","NY00634653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","634654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","W. Hoehne","1951","09","25","South America","Brazil","São Paulo","Jundiaí",NA,"-46.88","-23.1803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634654","NY00634654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634655","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","H. de F. Leitão Filho","1976","10","08","South America","Brazil","São Paulo","Jundiaí","Ca 10 km SW de Jundiaí. Serra do Japí","-46.88","-23.1803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634655","NY00634655_01","3180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","634657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","F. C. Hoehne","1931","10","06","South America","Brazil","São Paulo","Jundiaí",NA,"-46.88","-23.1803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634657","NY00634657_01","28345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02071589","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","H. de F. Leitão Filho","1976","08","17","South America","Brazil","São Paulo","Campinas","Nativo em campo próximo da várzea da Faz. Santa Elisa","-47.06","-22.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2197946' target='other'> <mi>dwc_moreinfo</mi></a>","NY02071589","NY02071589_01","2613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00634652","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. Richard Abbott","G. G. Hatschbach","1999","08","18","South America","Brazil","Paraná","Paranavaí","Bosque da cidade","-52.4653","-23.0733","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634652","NY00634652_01","69279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","634656","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A.St.-Hil. & Moq.) Hassk.","J. R. Abbott","R. de Mello-Silva","1990","10","06","South America","Brazil","São Paulo","Bragança Paulista","Fazenda Santo Antonio, divisa com o sitio Bom Jardim","-46.5417","-23.875","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634656","NY00634656_01","372","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","20402","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex A. St.-Hil. & Moq.) Hassk.",NA,"Nordi, J.C.","1993","04","22",NA,"Brasil","São Paulo","Bofete",NA,NA,NA,NA,NA,"BOTU020402",NA,"11:1-11(4)",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:43-03","UFRJ","RFA","8430","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","klotzschii","Polygala klotzschii","Chodat","G.G. Hatschbach","G.G. Hatschbach","1966","04","19",NA,"Brasil","Paraná","Cianorte","Fazenda Lagoa","-52.6049995422363","-23.6632995605469",NA,"Subarbusto de flor creme, ápice lilás","RFA47804",NA,"14275",NA,NA,NA,NA,"32009","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:58-03","UTFPR","DVPR","3665","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Polygalaceae","Acanthocladus","brasiliensis","Acanthocladus brasiliensis","(Klotzsch ex Hassk)","Caxambu, MG","Amadeo, RM; et al.","2013","09","19",NA,"Brasil","Paraná","Loanda","Paleovossoroca","-53.1371994018555","-22.9230995178223",NA,"arbusto semi-ciófilo, ca 1,10 m. Flores com cálice verde e corola amarelada.; Relevo: ondulado - Vegetação: Floresta Estacional Semedecidual Submontana.","DVPR003665",NA,"s.n.",NA,NA,NA,NA,"25556","auto","2013","10","14",NA,NA,NA,NA,NA,NA
