"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:30-03","UNESC","CRI","11849","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2010","05","13","A. Stival-Santos; D. Meyer & S. Silveira","2519","2010","04","20","Brasil","Santa Catarina","Major Gercino","-49.14","-27.449722","49º8'24''W","27º26'59''S","708","708","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004106","CRI004106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:30-03","UNESC","CRI","11406","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2010","08","25","A. Korte; A. Kniess","3978","2010","02","22","Brasil",NA,"Brasil","-50.220278","-26.91","50º13'13''W","26º54'36''S","786","786","Floresta Ombrófila Densa","CRI004160","CRI004160","Anta Branca (Antigo Alto Rio do Oeste).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:30-03","UNESC","CRI","11278","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2011","03","09","A. Korte","5958","2011","02","17","Brasil","Santa Catarina","Rio Negrinho","-49.500278","-26.280278","49º30'1''W","26º16'49''S","860","860","Floresta Ombrófila Mista Habito: arbusto","CRI004161","CRI004161","Rio do Salto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:30-03","UNESC","CRI","14221","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","Oliveira, AA de","2010","07","29","Korte, A.; Kniess, A.","571","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","-49.410556","-27.360556","49º24'38''W","27º21'38''S","895","895","Florística IFFSC 422 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva; flor rosa","CRI013365","CRI013365","Águas Frias. Águas Frias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:30-03","UNESC","CRI","9659","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2010","10","05","A. Korte; A. Kniess","4401","2010","09","17","Brasil","Santa Catarina","Monte Castelo","-50.223333","-26.8175","50º13'24''W","26º49'3''S","1195","1195","Floresta Ombrófila Mista Alto Montana Habitat: interior do fragmento Habito: arbustiva","CRI004162","CRI004162","Serra da Garganta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:30-03","UNESC","CRI","9623","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2011","03","10","E.M. Martins; M. Verdi","15","2010","08","27","Brasil","Paraná","Guaratuba","-48.966667","-25.868889","48º58'0''W","25º52'8''S","954","954","Floresta Ombrófila Densa","CRI004164","CRI004164","Morro dos Perdidos / APA Estadual de Guaratuba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:30-03","UNESC","CRI","13013","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","Oliveira, AA de","2015","09","11","Oliveira, A.A. de","2817","2015","09","11","Brasil","Santa Catarina","Bocaina do Sul","-49.949722","-27.81","49º56'59''W","27º48'36''S","1110","1110",NA,"CRI011715","CRI011715","Serra do Pinheiro Cortado. Serra do Pinheiro Cortado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:30-03","UNESC","CRI","9625","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","A. A. de Oliveira","2010","11","24","M. Verdi; E. M. Martins e O. N. Veiga","5409","2010","08","18","Brasil","Santa Catarina","Itaiópolis","-49.769444","-26.549444","49º46'10''W","26º32'58''S","796","796","Floresta Ombrófila Mista Habitat: interior da mata Habito: arbusto","CRI004159","CRI004159","Moema.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:41-03","UNESC","CRI","4930","PreservedSpecimen","Plantae","Melastomataceae","Leandra","sublanata","Leandra sublanata","Cogn.","Maria Leonor de Souza D#?#el Rey","1996","10","08","V. Citadini-Zanette; V. Boff & A. Gozçe.","2155","1996","09","20","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Habito: arbusto","CRI004211","CRI004211","Santana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:30-03","UNESC","CRI","5212","PreservedSpecimen","Plantae","Melastomataceae","Leandra","sublanata","Leandra sublanata","Cogn.","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"V. Citadini-Zanette; V. Boff & A. Gozçe.","2363","1996","09","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habitat: beira da mata Habito: arbusto","CRI004212","CRI004212","Rio Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:30-03","UNESC","CRI","4942","PreservedSpecimen","Plantae","Melastomataceae","Leandra","sublanata","Leandra sublanata","Cogn.","Maria Leonor de Souza D#?#el Rey","1996","10","08","V. Citadini-Zanette; V. Boff & A. Gozçe.","2167","1996","09","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habitat: beira da mata Habito: arbusto","CRI004209","CRI004209","Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02098907","PreservedSpecimen","Plantae","Melastomataceae","Leandra","carassana","Leandra carassana","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1219","2011","02","10","Brazil","Rio de Janeiro","Santa Maria Madalena","-41.9112","-21.89375",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084809' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098907","NY02098907_01","Trilha para o Alto do Desengano","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
