"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","617253","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin","D. G. Frodin","G. Martinelli","11929","1986","11","26","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores","-42.05","-22","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617253","NY00617253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:21-03","EAO","IAN","93994","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi","Fiaschi","Glaziou, AFM","17017",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093994",NA,"2008","08","12",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:23:33-03","MN","R","9798","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi","Fiaschi, P.","Glaziou, A.F.M.","19414","1892","01","18",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009798","R000009798_001","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-01-30 17:39:32-02","MNHN","RECOLNAT_MNHN_P","P00758159","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi",NA,"Glaziou, A.",NA,"1892","1","18",NA,"Brésil",NA,NA,"Rio de Janeiro : Alto Macahé",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00758159' target='other'> <mi>dwc_moreinfo</mi></a>","P00758159","P00758159_01",NA,NA,NA,"17017",NA,NA,NA,NA,NA,NA,NA
"5","2015-10-25 06:18:55-02","MNHN","RECOLNAT_MNHN_P","P00758160","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi",NA,"Glaziou, A.",NA,"1892","1","18",NA,"Brésil",NA,NA,"Rio de Janeiro : Alto Macahé",NA,NA,NA,NA,"hb","Donné par Mme. Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00758160' target='other'> <mi>dwc_moreinfo</mi></a>","P00758160","P00758160_01",NA,NA,NA,"17017",NA,NA,NA,NA,NA,NA,NA
"6","2015-10-25 06:19:32-02","MNHN","RECOLNAT_MNHN_P","P00758161","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi",NA,"Glaziou, A.",NA,"1892","1","18",NA,"Brésil",NA,NA,"Rio de Janeiro : Alto Macahé",NA,NA,NA,NA,"hb","Donné par Mme. Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00758161' target='other'> <mi>dwc_moreinfo</mi></a>","P00758161","P00758161_01",NA,NA,NA,"17017",NA,NA,NA,NA,NA,NA,NA
"7","2009-07-27 09:36:00-03","MO","MOBOT","3312757","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi","P. Fiaschi","Auguste F.M. Glaziou","Glaziou 17017","1896","5","27","South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2343351","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi",NA,"ex herb. de A. Glaziou","19414","1887","12","20","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Alto Macabé. Grand arbre.",NA,NA,NA,NA,NA,NA,"US03069612","US03069612_01",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1706164","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi",NA,"ex herb. de A. Glaziou","17017","1892","1","18","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Alto Macabé.",NA,NA,NA,NA,NA,NA,"US03069613","US03069613_01",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"10","2019-11-13 11:15:44-03","USP","SPF","227935","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","succinea","Schefflera succinea","Frodin & Fiaschi","Baez, C","Baez, C","878","2016","08","25",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pico do Desengano.","-41.911667","-21.9","1756","1756",NA,NA,"SPF00227935","SPF00227935","2016","09","22",NA,NA,NA,"-41.911667","-21.9",NA,NA,NA
