"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"1","2021-04-05 14:25:34-03","UNESC","CRI","2111","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","R. M. Klein","R. Reitz; R. M. Klein","7794","1968","08","17","Brasil","Santa Catarina","Guarujá do Sul","Linha Passato.","-53.528056","-26.385833","53º31'41''W","26º23'9''S","CRI004683","CRI004683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","6619","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","T. D. Pennington","R. Reitz; R. M. Klein","14719","1963","04","12","Brasil","Santa Catarina","Lacerdópolis","Capinzal.","-51.556111","-27.260556","51º33'22''W","27º15'38''S","CRI004681","CRI004681","495","495","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:35-03","UNESC","CRI","8201","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","A. L. de Gasper","M. Verdi; R. P. Hasckel & G. Klemz","1439","2009","01","26","Brasil","Santa Catarina","Anita Garibaldi","São Paulo.","-51.130278","-27.689722","51º7'49''W","27º41'23''S","CRI004676","CRI004676",NA,NA,NA,"2009","01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","11697","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.",NA,"Anderson Zilli Kruger",NA,"2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008663","CRI008663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:34-03","UNESC","CRI","11576","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","A. Korte","A. Korte","6356","2011","03","25","Brasil","Santa Catarina","Saudades","Juvêncio.","-53.1","-26.82","53º6'0''W","26º49'12''S","CRI008621","CRI008621","444","444","Floresta Estacional Decidual","2011","05","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:34-03","UNESC","CRI","2125","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","T. D. Pennington","R. Reitz; R. M. Klein",NA,"1962","08","10","Brasil","Santa Catarina","Campos Novos","caxambu, Tupitinga, Campos novos.","-51.225278","-27.402222","51º13'31''W","27º24'8''S","CRI004678","CRI004678",NA,NA,"Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","6894","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","T. D. Pennington","R. Reitz; R. M. Klein",NA,"1963","04","12","Brasil","Santa Catarina","Lacerdópolis","Capinzal.","-51.556111","-27.260556","51º33'22''W","27º15'38''S","CRI004682","CRI004682","495","495","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","8148","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","S. Dreveck","F. E. Carneiro; S. Dreveck",NA,"2008","06","27","Brasil","Santa Catarina","Alto Bela Vista",NA,"-51.905","-27.433056","51º54'18''W","27º25'59''S","CRI004689","CRI004689",NA,NA,NA,"2008","11","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:35-03","UNESC","CRI","8507","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","A. L. de Gasper","S. Dreveck; A.L. de Gasper & F.E. Carneiro","562","2009","01","28","Brasil","Santa Catarina","Seara","Linha Dois Irmãos.","-52.289722","-27.179722","52º17'23''W","27º10'47''S","CRI004679","CRI004679","620","620","Floresta Estacional Decidual Habitat: interior do fragmento Habito: arbustiva","2009","01","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","8743","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","A. L. de Gasper","M. Verdi; R.P. Hasckel & G. Klemz","971","2008","11","18","Brasil","Santa Catarina","Lacerdópolis","Canela Funda - Santa Bárbara.","-51.556944","-27.261389","51º33'25''W","27º15'41''S","CRI004680","CRI004680","500","500","Floresta Estacional Decidual","2008","11","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:34-03","UNESC","CRI","14239","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","Sobral, M","Stival-Santos, A.; Silveira, S.","622","2009","04","18","Brasil","Santa Catarina","São Domingos","Parque Estadual das Araucárias. Parque Estadual das Araucárias.","-52.571389","-26.469722","52º34'17''W","26º28'11''S","CRI013363","CRI013363","708","708","Florística IFFSC 7001(Arbusto) Habitat: Floresta Ombrófila Mista; Estágio Avançado; interior da mata Habito: arbustiva; Fruto piloso;","2009","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:44-03","UNESC","CRI","6483","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","J. A. Jarenkow","J. A. Jarenkow","3299","1996","12","05","Brasil","Rio Grande do Sul","Capão do Leão","Horto Bot. Irmão teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI004674","CRI004674","21","21","Habitat: restinga Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:44-03","UNESC","CRI","2116","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","T. D. Pennington","R. Reitz; R. M. Klein",NA,"1963","08","30","Brasil","Santa Catarina","Chapecó","Seminário arquidiocesano.","-52.618611","-27.096944","52º37'7''W","27º5'49''S","CRI004677","CRI004677","670","670","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:44-03","UNESC","CRI","8184","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","A. L. Gasper","M. Verdi; B. Grosch & G. Klemz","1089","2008","09","28","Brasil","Santa Catarina","Concórdia",NA,"-52.028056","-27.234722","52º1'41''W","27º14'5''S","CRI004684","CRI004684","579","579","Habitat: Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:34-03","UNESC","CRI","6618","PreservedSpecimen","Plantae","Meliaceae","Trichilia","elegans","Trichilia elegans","A.Juss.","T. D. Pennington","R. Reitz; R. M. Klein","15227","1962","07","10","Brasil","Santa Catarina","Campos Novos","Caxambu, Tupitinga.","-51.225278","-27.402222","51º13'31''W","27º24'8''S","CRI004690","CRI004690",NA,NA,"Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
