"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","county"
"1","2021-03-15 16:37:00-03","NY","NYBG","728","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","holotype","G. T. Prance","8811","1968","11","24","South America","Brazil","Rondônia","Basin of Rio Madeira. Road Mutumparaná to Porto Velho, 2-4 km E of Mutumparaná.","-64.91817","-9.6104662","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000728","NY00000728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:02:11-03","NBC","NL-BOTANY","U 0003037","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","isotype","Prance GT; Rodrigues WA; Ramos JF; Farias LG",NA,"1969","11","24","Southern America","Brazil","Rondônia","Territory of RondôniaBasin of Rio MadeiraRoad Mutumparaná to Porto Velho, 2-4km. east of Mutumparaná.",NA,NA,NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003037 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003037","NL-U0003037","Magnoliopsidae","Prance GT","391515 B",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-01 21:45:47-02","MNHN","RECOLNAT_MNHN_P","P02284977","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","isotype","Prance, G.T.|Rodrigues, W.A.|Ramos, J.F.|Farias, L.G.",NA,"1968","11","24",NA,"Brésil",NA,"Territory of Rondônia, Basin of Rio Madeira : Road Mutumparana to Porto Velho, 2-4km. east of Mutumparana",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02284977' target='other'> <mi>dwc_moreinfo</mi></a>","P02284977","P02284977_01",NA,"Prance",NA,"8811",NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1923703","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","Isotype","Ghillean T. Prance","Prance 8811","1968","11","24","South America","Brazil","Rondônia","Basin of Rio Madeira. Road Mutumparaná to Porto Velho, 2-4 km. east of Mutumparaná. Forest on terra firme. Tree, 12 m. x 12 cm. diameter.",NA,NA,NA,NA,NA,NA,NA,"G.T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-10 20:42:46-03","INPA","INPA","25610","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance",NA,"Prance, GT","8811","1968","11","24","Southern America","Brasil","Rondônia","Mutumparaná-Porto Velho, 2-4 km E Mutumparaná, Road Mutumparaná to Porto Velho, 2-4 km east of Mutumparaná.","-64.91817","-9.610466",NA,NA,"INPA0025610","INPA0025610 INPA0025610_e1",NA,"Catenacci, FS",NA,NA,"2015","03","01","-64.91817","-9.610466",NA,NA
"6","2020-09-12 05:00:02-03","US","US","2927373","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","Isotype","G. T. Prance","8811","1968","11","24","South America - Neotropics","Brazil","Rondônia","Rondonia Rd. Mutumparana to Portovelho, E of Mutumparana.",NA,NA,NA,NA,"US00117500","US00117500_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"7","2019-09-04 18:38:24-03","F","FMNH-SEEDPLANTS","V0061834F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora",NA,"Isotype","G. T. Prance & et al.","8811","1968","11","24","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0061834F","V0061834F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-23 13:22:36-03","MN","R-TIPOS","125810","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","penduliflora","Cariniana penduliflora","Prance","Isotypus","Prance, G.T.; Rodrigues, W.A.; Ramos, J.F. & Farias, L.G.","8811","1968","11","24",NA,"Brasil","Rondônia","Basin of Rio Madeira",NA,NA,NA,NA,"R000125810","R000125810_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mutumparaná"
