"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:42:10-03","E","E","200832","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14571","1994","02","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:212419","<a href=http://data.rbge.org.uk/herb/E00200832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00200832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:10-03","E","E","254928","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Ganev, W.; Queiroz, R.F.",NA,"1992","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315908","<a href=http://data.rbge.org.uk/herb/E00254928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254928","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","911625","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","B. Maguire","56983","1963","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911625","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Portelândia","74 km beyond Alto Araguaia en route to Goiania","-52.6783","-17.3536","930","930","NY00911625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","911622","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","H. S. Irwin","14262","1966","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911622","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa, on road to São Gabriel","-47.38","-15.3","950","950","NY00911622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911616","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. G. Hatschbach","65466","1996","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911616","Mato Grosso","Magnoliophyta","Lamiales","(L.f.) Kuntze","Vila Bela da Santíssima Trindade","Rod. BR-246, entre km 20-30","-59.9506","-15.0083",NA,NA,"NY00911616_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","911627","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","C. F. P. von Martius","914",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911627","Minas Gerais","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,NA,NA,NA,NA,NA,"NY00911627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499456","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","G. M. Barroso","811","1968","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499456","Goiás","Magnoliophyta","Lamiales","(L.f.) Kuntze","Alto Paraíso de Goiás","Chapadao dos Veadeiros, Pouso Alto 1800 m, lugar brejoso.","-47.5097","-14.1325","1800","1800","NY00499456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","911623","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911623","Mato Grosso","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,NA,NA,NA,NA,NA,"NY00911623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018445","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","J. R. Pirani","5392","2004","04","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259705' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018445","Bahia","Magnoliophyta","Lamiales","(L.f.) Kuntze","Rio de Contas","Caminho para o Pico das Almas, indo para o Queiroz.","-41.9569","-13.5131","1330","1330","NY01018445_01","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","499464","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","T. S. Ibarrola","1344","1944","11","19","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499464","Corrientes","Magnoliophyta","Lamiales","(L.f.) Kuntze","Santo Tome","Caza Pava.",NA,NA,NA,NA,NA,"K. A. Barringer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","499455","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","A. L. Woolston","612","1956","11","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499455","San Pedro","Magnoliophyta","Lamiales","(L.f.) Kuntze",NA,"Alto Paraguay: Primavera. Swamp. Isla Guacú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1145193","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","R. M. Harley","H52099","1992","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306838' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145193","Bahia","Magnoliophyta","Lamiales","(L.f.) Kuntze","Abaíra","Mata do Barbado.","-41.9","-13.28","1600","1700","NY01145193_01","V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","499462","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","P. C. Hutchison","3899","1964","01","31","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499462","Amazonas","Magnoliophyta","Lamiales","(L.f.) Kuntze","Bongará","Between Río Utcubamba and Pomacocha, km 322 east of Olmos on Rioja road.",NA,NA,"1920","1920",NA,"N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","499454","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","A. Usteri","9[could be b or c written as a superscript following number]","1906","01","30","South America","Brazil","sheet",NA,"Recd - VI.07 [not exactly sure of collection date--see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499454","São Paulo","Magnoliophyta","Lamiales","(L.f.) Kuntze","Sao Paulo","Jararagua.","-46.63","-23.5403",NA,NA,"NY00499454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","911619","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","B. A. S. Pereira","368","1983","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911619","Distrito Federal","Magnoliophyta","Lamiales","(L.f.) Kuntze","Brasília","Bacia do rio São Bartolomeu, campo junto altos ribeirão Papuda.","-47.9294","-15.7797",NA,NA,"NY00911619_01","K. A. Vincent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1181997","PreservedSpecimen","Plantae","Orobanchaceae","Escobedia","grandiflora","Escobedia grandiflora","F. França","1007","1994","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181997","Bahia","Magnoliophyta","Lamiales","(L.f.) Kuntze","Abaíra","Estrada Catolés de Cima. Engenho dos Vieira.","-41.6633","-13.2497","1000","1120","NY01181997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
