"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","typeStatus","locality","preparationType","occurrenceRemarks","class","order","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","year","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-04-08 17:37:11-03","EAO","IAN","34829","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Vernonia","monticola","Vernonia monticola","Mart.","Martins-da-Silva, RCV","s.n.","Southern America","Brasil","IAN034829","IAN034829_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-07 08:27:31-02","MNHN","RECOLNAT_MNHN_P","P00682819","PreservedSpecimen",NA,NA,"Asteraceae","Vernonia","monticola","Vernonia monticola","Mart. ex DC.","Martius, C.K. von",NA,NA,"Brésil","P00682819","P00682819_01","isotype","Itambe do matto dentro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00682819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3499791","PreservedSpecimen","Plantae",NA,"Asteraceae","Stenocephalum","monticola","Stenocephalum monticola","(Mart. ex DC.) Sch. Bip.","W. Ganev","3192","South America - Neotropics","Brazil","US01631615","US01631615_01",NA,"Municipio de Abaira, Salão, Campos Gereis do Salão",NA,NA,"Dicotyledonae","Asterales","Bahia","-41.87","-13.25","1200","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3499771","PreservedSpecimen","Plantae",NA,"Asteraceae","Stenocephalum","monticola","Stenocephalum monticola","(Mart. ex DC.) Sch. Bip.","W. Ganev","3180","South America - Neotropics","Brazil","US01631616","US01631616_01",NA,"Municipio de Abaira, Agua Limpa, Morro do Cuscuzeiro",NA,NA,"Dicotyledonae","Asterales","Bahia","-41.88","-13.3","1400","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3388939","PreservedSpecimen","Plantae",NA,"Asteraceae","Stenocephalum","monticola","Stenocephalum monticola","(Mart. ex DC.) Sch. Bip.","W. Ganev","2155","South America - Neotropics","Brazil","US01631613","US01631613_01",NA,"Municipio de Rio de Contas: Ladeira do Toucinho. Caminho Catoles-Arapiranga.",NA,NA,"Dicotyledonae","Asterales","Bahia","-42.33","-13.83","1200","1","1993","8","30",NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3388938","PreservedSpecimen","Plantae",NA,"Asteraceae","Stenocephalum","monticola","Stenocephalum monticola","(Mart. ex DC.) Sch. Bip.","W. Ganev","015","South America - Neotropics","Brazil","US01631614","US01631614_01",NA,"Municipio de Abaira, distrito de Catoles, encosta da serra do Atalho em frente ao Mendonca, Campo Rupestre com solo agriloso",NA,NA,"Dicotyledonae","Asterales","Bahia","-41.82","-13.27","1100","1","1992","4","3",NA,NA,NA,NA,NA,NA
"7","2019-09-04 19:58:25-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Vernonia","monticola","Vernonia monticola",NA,"C. F. P. von Martius",NA,"South America","Brazil",NA,NA,"Type [status unknown]",NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-09-11 17:08:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Vernonia","monticola","Vernonia monticola","Mart. ex DC.","Martius, C","s.n.","Southern America","Brazil",NA,"P06P2N0008",NA,"Habitat in Morro Itambé do Mato dentro prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:08:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Vernonia","monticola","Vernonia monticola","Mart. ex DC.","Martius, CFP","s.n.","Southern America","Brazil",NA,"P06P2N0008",NA,"Habitat in Morro Itambé do Mato dentro prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-09-23 11:01:12-03","G","G-DC","G00326704","S","Plantae",NA,"Asteraceae","Vernonia","monticola","Vernonia monticola","DC.","Martius, C. F. P.",NA,"AMERIQUE DU SUD","Brazil","G00326704",NA,"ISOTYPUS of Vernonia monticola DC.",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,"Minas Gerais","-45.44222222","-18.78777778",NA,NA,NA,NA,NA,"CAT.HERB.PRODR.","2013","01","01","-45.44222222","-18.78777778"
