"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","individualCount"
"1","2021-03-01 16:18:54-03","UNICAMP","UEC","50547","S","Plantae","Liliopsida","Amaryllidaceae","Hippeastrum","leucobasis","Hippeastrum leucobasis","(Ravenna) Dutilh","Dutilh, JHA","1995","10","Hutchison, PC","8526","1983","09","01","Brazil","Goiás","Serra do Caiapó, 47 km ao sul de Caiapônia. BR-158.","Bulbo 4,5 cm, diâmetro 3,5 cm.","UEC000386","UEC000386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:11:33-03","MBM","MBM","32125","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Amaryllis","leucobasis","Amaryllis leucobasis","Ravenna",NA,"1986",NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","36016","1974","09","20","Brazil","Goiás","Rod. BR-364, próx. Córrego Alegre","Flor vermelha, base alva. Campo limpo; Flor vermelha, base alva.; Campo limpo.","MBM032125","MBM032125","ISOTYPE","Southern America","Mineiros","-52.5511016845703","-17.5694007873535","100343","auto",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3144436","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Hippeastrum","leucobasis","Hippeastrum leucobasis","(Ravenna) Dutilh","Dutilh, Julie H. A.",NA,NA,"P. C. Hutchison","8537","1983","10","2","Brazil","Goiás","Alto araguaia",NA,"US00423184","US00423184_01",NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
