"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","relatedCatalogItem","previousCatalogNumber","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","476051","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","A. M. V. de Carvalho","6709","1999","02","27","South America","Brazil","Bahia","Jussari","Ca. 2,5 km N of Palmira, na Rod. Palmira-Itaju do Colônia. Faz. Sao Roque (Luís Fernando Verde)","-39.57","-15.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476051","NY00476051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","54831","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.",NA,"J. S. Blanchet","1884",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,"-39.039072","-15.159747","sheet","Acc. 1835 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054831","NY00054831_01 NY00054831_02","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","632005","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","A. M. V. de Carvalho","6816","1999","09","25","South America","Brazil","Bahia","Jussari","Ca. 7,5 km na estrada Jussari/Palmira. RPPN Serra do Teimoso","-39.4953","-15.1917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632005","NY00632005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822713","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","J. L. Paixão","172","2002","03","29","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca. 7.5 km de Jussari. Faz. Teimoso - RPPN - Serra do Teimoso.","-39.5286111","-15.1580556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822713","NY00822713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","517983","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","W. W. Thomas","11964","1999","02","02","South America","Brazil","Bahia","Jussari","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)","-39.5717","-15.1383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517983","NY00517983_01",NA,"300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","476051","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","A. M. V. de Carvalho","6709","1999","02","27","South America","Brazil","Bahia","Jussari","Ca. 2,5 km N of Palmira, na Rod. Palmira-Itaju do Colônia. Faz. Sao Roque (Luís Fernando Verde)","-39.57","-15.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476051","NY00476051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","54831","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.",NA,"J. S. Blanchet","1884",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,"-39.039072","-15.159747","sheet","Acc. 1835 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054831","NY00054831_01 NY00054831_02","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","632005","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","A. M. V. de Carvalho","6816","1999","09","25","South America","Brazil","Bahia","Jussari","Ca. 7,5 km na estrada Jussari/Palmira. RPPN Serra do Teimoso","-39.4953","-15.1917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632005","NY00632005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822713","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","J. L. Paixão","172","2002","03","29","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca. 7.5 km de Jussari. Faz. Teimoso - RPPN - Serra do Teimoso.","-39.5286111","-15.1580556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822713","NY00822713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517983","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","blanchetii","Trichilia blanchetii","C.DC.","T. D. Pennington","W. W. Thomas","11964","1999","02","02","South America","Brazil","Bahia","Jussari","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)","-39.5717","-15.1383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517983","NY00517983_01",NA,"300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
