"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","verbatimLongitude","verbatimLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01451206","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","H. H. Rusby","593","1886","10","South America","Brazil","Rondônia","Falls of Madeira","-65.3465375","-10.7798649","sheet","[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451206","NY01451206_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01451205","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","H. H. Rusby","588","1886","10","South America","Brazil",NA,"Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688547' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451205","NY01451205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01451204","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","H. H. Rusby","588","1886","10","South America","Brazil",NA,"Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451204","NY01451204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018144","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","S. de V. A. Pessôa","788","1995","07","South America","Brazil","Rio de Janeiro","Reserva Biológica de Poço das Antas, Mata do rio Pau Preto.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018144","NY01018144_01","06","Silva Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:23-03","UFRJ","RFA","25812","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","F. M. de B. Pereira","15/29","2000","08",NA,"Brasil","Rio de Janeiro",NA,"-42.911111","-22.566944",NA,"Arvore, 11m de altura, 28cm de DAP, flores brancas e comum no local.","RFA42042",NA,"20","Guapimirim","42º54'40''W","22º34'1''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:36-03","UFRJ","RFA","39605","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","R. Finotti; J. Caruzo","137",NA,NA,NA,"Brasil","Rio de Janeiro","Fragmento florestal à entrada da Estação Ecológica Paraíso","-42.905278","-22.493333",NA,"Árvore de 5 metros de altura e PAP de 20,2 cm","RFA24605",NA,NA,"Guapimirim","42º54'19''W","22º29'36''S","M. Sousa","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:36-03","UFRJ","RFA","15209","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","P. Occhioni","6014","1974","07",NA,"Brasil","Rio de Janeiro","Serra dos Órgãos, loc. Garrafão","-43.2075004577637","-22.9027996063232",NA,"Arbusto, flor verde","RFA46444",NA,NA,"Rio de Janeiro",NA,NA,"G. M. Barroso",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:45:50-03","EAO","IAN","27498","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","Berg","Riedel, L","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN027498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U 0005032","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel L",NA,"1832","05","Southern America","Brazil",NA,"Macahe",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005032 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005032","NL-U0005032","01",NA,NA,NA,"Berg O",NA,NA,NA,NA,"Magnoliopsidae","isotype","101619 B",NA,NA,NA,NA,NA
"10","2020-11-04 11:14:34-03","ESALQ","ESA","84378","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","Berg","Guedes, R. ; Gonzaga, L.P.","350.0","1983","08",NA,"Brasil","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA084378",NA,"20","Rio de Janeiro",NA,NA,"Barroso, G.M.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 09:31:29-03","UFRRJ","RBR","44118","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","R.A. Coelho; M.C. Souza, J. Costa","17","2018","03",NA,"Brasil","Rio de Janeiro","Campus Fiocruz Mata Atlântica. Parque Estadual da Pedra Branca","-43.2075004577637","-22.9027996063232",NA,NA,"RBR00044118",NA,"27","Rio de Janeiro",NA,NA,"M.C. Souza",NA,NA,"57442","auto",NA,NA,NA,"2018","04","05",NA,NA
"12","2020-06-29 09:31:29-03","UFRRJ","RBR","29369","S","Plantae",NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","G.V. Somner","787","1994","02",NA,"Brasil","Rio de Janeiro","REBIO do Tinguá, Estrada para Boa Esperança, após a entrada (portão) da REBIO Tinguá. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"RBR00029369","RBR00029369","10","Nova Iguaçu",NA,NA,"M.C. Souza",NA,NA,"25743","auto",NA,NA,NA,"2013","06","24",NA,NA
"13","2015-11-07 06:37:54-02","MNHN","RECOLNAT_MNHN_P","P01902523","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","macahensis","Eugenia macahensis","O.Berg","Riedel, L.",NA,"1832","5",NA,"Brasilia",NA,"Macahe",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902523' target='other'> <mi>dwc_moreinfo</mi></a>","P01902523","P01902523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,"353",NA
