"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","04112142","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","C. M. Taylor","S. C. de Sant'Ana","1089","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazneda São José, a 8.8 km de boa Nova, na estrada para Dario Meira, a 1.4 km do ramal a esq.","-40.1544444","-14.4038889","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4528274' target='other'> <mi>dwc_moreinfo</mi></a>","NY04112142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","950135","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","P. C. Standley","Y. E. J. Mexia","4247","1930","01","27","South America","Brazil","Minas Gerais","Carangola","Districto Carangola. Trail to Areponga to Fazenda da Gramma; about km. 12","-42.0294","-20.7331","970","970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950135","NY00950135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1262228","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","J. G. Jardim","J. G. Jardim","4712","2005","07","21","South America","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antônio, do mais 8,9 km ate sede da RPPN. Coletas na trilha para o topo, 2-4 km da sede","-39.3394","-15.1742","450","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262228","NY01262228_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02714652","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","J. G. Jardim","J. G. Jardim","4167","2003","12","18","South America","Brazil","Bahia","Uruçuca","Rod. Serra Grande/Uruçuca, ca. 14 km W. Parque Estadual Serra do Conduru; Serra do Conduru.","-39.1056","-14.4806","450",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474921' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714652","NY02714652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:23:48-03","NBC","NL-BOTANY","U.1544996","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.",NA,"Mexia YEJ",NA,"1930","01","27","Southern America","Brazil",NA,NA,"States of Minas Geraes. Districto Carangola. Trail Areponga to Fazenda da Grauma about km 12.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1544996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1544996","NL-U1544996","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:18:25-03","ESALQ","ESA","104741","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","monantha","Faramea monantha",NA,NA,"Lima, R.A.F.","623.0","2008","03","14",NA,"Brasil","São Paulo","São Sebastião",NA,"-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,"ESA104741","ESA104741",NA,"41977","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:16-03","UFV","VIC","669","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","monantha","Faramea monantha","Muell.Arg",NA,"Mexia, Y.","4247",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC000669","VIC000669",NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-11-06 14:15:20-02","MNHN","RECOLNAT_MNHN_P","P00836843","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","Jardim","Gaudichaud, C.",NA,"1831",NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836843' target='other'> <mi>dwc_moreinfo</mi></a>","P00836843","P00836843_01",NA,NA,NA,"isotype","615",NA,NA,NA,NA,NA,NA
"9","2005-02-11 15:29:11-02","MNHN","RECOLNAT_MNHN_P","P00836844","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.","Jardim","Gaudichaud, C.",NA,"1831",NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836844' target='other'> <mi>dwc_moreinfo</mi></a>","P00836844","P00836844_01",NA,NA,NA,"isotype","615",NA,NA,NA,NA,NA,NA
"10","2015-09-04 14:59:18-03","MNHN","RECOLNAT_MNHN_P","P03814537","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Faramea","monantha","Faramea monantha","Müll.Arg.",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil, Province de Rio de Janeiro.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03814537' target='other'> <mi>dwc_moreinfo</mi></a>","P03814537","P03814537_01",NA,NA,NA,NA,"A1 604",NA,NA,NA,NA,NA,NA
