"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:06-03","UNESC","CRI","2620","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","R. Reitz","R. Reitz","1974","07","30","Brasil","Rio de Janeiro","Petrópolis","Floresta do IBDF.","-43.178889","-22.505556","43º10'44''W","22º30'20''S","800","800","CRI001886","CRI001886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","2620","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","R. Reitz","R. Reitz","1974","07","30","Brasil","Rio de Janeiro","Petrópolis","Floresta do IBDF.","-43.178889","-22.505556","43º10'44''W","22º30'20''S","800","800","CRI001886","CRI001886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","247370","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","segregata","Tillandsia segregata","E.Pereira",NA,"E. Pereira","1968","01","28","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,NA,NA,"NY00247370","NY00247370_01","Magnoliophyta","Poales","isotype","10674","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577275' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400518","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","T. S. Coser","H. Q. B. Fernandes","1986","01","21","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, Mata do Country Club","-40.635842","-19.926289",NA,NA,NA,NA,"NY00400518","NY00400518_01","Magnoliophyta","Poales",NA,"1795","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438065' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400518","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","T. S. Coser","H. Q. B. Fernandes","1986","01","21","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, Mata do Country Club","-40.635842","-19.926289",NA,NA,NA,NA,"NY00400518","NY00400518_01","Magnoliophyta","Poales",NA,"1795","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438065' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:42-03","UFRJ","RFA","28665","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","T. S. Coser; T. Wendt","T. Wendt; L. O. F. Sousa; L. M. Versieux","2004","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha Indaiaçu. Ilha I","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"RFA51334",NA,NA,NA,NA,"516",NA,NA,"Epífita, ciófila, folhas coriáceas verdes com listras escuras, face abaxial de brilho roxo","2008","10","21","23813","auto",NA,NA,NA
"7","2020-06-29 11:29:42-03","UFRJ","RFA","28665","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra","T. S. Coser; T. Wendt","T. Wendt; L. O. F. Sousa; L. M. Versieux","2004","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha Indaiaçu. Ilha I","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"RFA51334",NA,NA,NA,NA,"516",NA,NA,"Epífita, ciófila, folhas coriáceas verdes com listras escuras, face abaxial de brilho roxo","2008","10","21","23813","auto",NA,NA,NA
"8","2021-02-07 08:35:21-03","MN","R","187008","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra",NA,"Costa, A.F.","1995","10","22","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818",NA,NA,NA,NA,"R010017281",NA,NA,NA,NA,"550",NA,NA,NA,NA,NA,NA,"32447","auto",NA,NA,NA
"9","2021-02-07 08:35:21-03","MN","R","32446","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra",NA,"Foster, M.B.","1939","07","27","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"R010017284",NA,NA,NA,NA,"280",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA
"10","2021-02-07 08:35:21-03","MN","R","187007","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","morrenii","Vriesea morrenii","Wawra",NA,"Costa, A.F.","1995","10","17","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"R010017280",NA,NA,NA,NA,"518",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA
