"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean"
"1","2020-06-29 11:29:00-03","UFRJ","RFA","32774","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","Nadruz","2007","02","14","R.C. Lopes; D. M. C. Santos, R. F. Monteiro, A. C. G. Ramos, S.P. Castro, M.R. Melo","249","2006","12","05","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), Av. Estado da Guanabara, próximo ao Quiosque 199.","-43.2075004577637","-22.9027996063232","57442","Erva, inflorescência passada com coloração marrom.","RFA32288","auto",NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:00-03","UFRJ","RFA","32759","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","Nadruz","2007","02","14","R.C. Lopes; D.M.C. Santos, S.N.C. Menezes","272","2006","12","18","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), próximo ao quiosque Sol e Mar, entre o quiosque 199 e o seguinte na Av. Guanabara.","-43.2075004577637","-22.9027996063232","57442","Erva ca 1m de altura. Inflorescência marrom.","RFA32289","auto",NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:00-03","UFRJ","RFA","40014","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","J.M. Casanova","2014","11","18","J.M. Casanova","5","2014","11","04","Brasil","Rio de Janeiro","Rio de Janeiro","APA de Grumari.","-43.532778","-23.047778",NA,"Herbácea, com caule rizomatoso, altura 30cm, inflorescência arroxeada do tipo espádice e bráctea esverdeada do tipo espata.","RFA32286",NA,"43º31'58''W","23º2'52''S",NA,NA,NA,NA
"4","2020-06-29 11:29:00-03","UFRJ","RFA","40602","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","Taiana S. Santos","2014","11","18","P.S. Vargas","8","2014","11","04","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), próximo ao quiosque 'Xuxa'.","-43.532778","-23.048611",NA,"Erva; inflorescência com espata avermelhada.","RFA32287",NA,"43º31'58''W","23º2'55''S",NA,NA,NA,NA
"5","2020-06-29 11:29:00-03","UFRJ","RFA","32623","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","Nadruz","2009","05","21","R.C. Lopes; D.M.C. Santos, H.M. Dias, N.T. Rios, P.P. Melo, R.T. Santos, S.N.C. Menezes, S.P. Castro.","200","2006","04","13","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), paralelo à Av. Estado da Guanabara.","-43.2075004577637","-22.9027996063232","57442","Erva ca. 50cm altura. Inflorescência marrom.","RFA32292","auto",NA,NA,NA,NA,NA,NA
"6","2020-10-14 09:58:25-03","FURB","FURB","27321","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","Nadruz, M","2011","03","10","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2787","2010","06","22","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste).","-48.4925","-27.7752778",NA,"Epífita IFFSC e8006b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; beira do rio Habito: epífita de arbórea;","FURB00583",NA,"-48.4925000","-27.7752778","46","46","FURB00583",NA
"7","2020-06-29 09:29:15-03","UFRRJ","RBR","5864","S","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth","M. Nadruz",NA,NA,NA,"M.C. Souza","198","2001","01","27","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"RBR00005864","auto",NA,NA,NA,NA,"RBR00005864 RBR00005864_1",NA
"8","2018-12-10 13:05:00-02","MO","MOBOT","101087682","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth",NA,NA,NA,NA,"Othon Machado","Machado 75070",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America"
"9","2018-12-10 13:05:00-02","MO","MOBOT","101087683","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth",NA,NA,NA,NA,"Othon Machado","Machado 75069",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America"
"10","2018-12-11 04:12:00-02","MO","MOBOT","101088960","PreservedSpecimen","Plantae","Araceae","Anthurium","luschnathianum","Anthurium luschnathianum","Kunth",NA,NA,NA,NA,"Dimitri Sucre","Sucre 3527",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America"
