"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","imagecode","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","sex"
"1","2021-04-05 14:25:27-03","UNESC","CRI","13988","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","pacari","Lafoensia pacari","A.St.-Hil.","Renato Colares","2018","01","18","Valdemar Boff & Vanilde Citadini","1997","11","19","Brasil","Santa Catarina","Criciúma","Verdinho","-49.370278","-28.678333","49º22'13''W","28º40'42''S","Habitat: Terrestre Habito: Arbórea","CRI012631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2452","S","Plantae","Lythraceae","Lafoensia","pacari","Lafoensia pacari","A.St.-Hil.","Carlos A. Ferreira Jr.","2012","09","11","Carlos Alberto F. Jr.; Albina, Fernado e Aparecida","2012","09","13","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, cerrado no caminho para o acampamento após a mata do sopé do brumoso","-43.7144012451172","-19.1688995361328","19º 01' 48S","43º 42' 02W","254",NA,"Magnoliophyta","Myrtales","CAF","26557","1257","1257","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2451","S","Plantae","Lythraceae","Lafoensia","pacari","Lafoensia pacari","A.St.-Hil.","Carlos A. Ferreira Jr.","2012","09","11","Carlos Alberto F. Jr.; Albina, Fernado e Aparecida","2012","09","13","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, cerrado no caminho para o acampamento após a mata do sopé do brumoso","-43.7144012451172","-19.1688995361328","19º 01' 48S","43º 42' 02W","254",NA,"Magnoliophyta","Myrtales","CAF","26557","1257","1257","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:11-03","E","E","295980","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora",NA,NA,NA,NA,NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.; Diaz Ferreira, H.","1988","04","12","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00295980 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295980",NA,NA,"34",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:313081",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00445816","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","A. Lourteig",NA,NA,NA,"H. S. Irwin","1964","08","24","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445816","Magnoliophyta","Myrtales","5566",NA,NA,NA,NA,NA,"South America","sheet",NA,"NY00445816_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01481890","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","A. Lourteig",NA,NA,NA,"R. R. Brooks","1988","04","12","Brazil","Goiás","Hidrolândia","Morro Feio, 5 Km N Hidrolândia.","-49.23","-16.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1740337' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481890","Magnoliophyta","Myrtales","BRASPEX #34",NA,"925","925",NA,NA,"South America","sheet",NA,"NY01481890_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445815","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","A. Uhlmann",NA,NA,NA,"M. Berwanjer","1994","04","16","Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrdo","-49.65","-24.2",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445815","Magnoliophyta","Myrtales","17",NA,NA,NA,NA,NA,"South America","sheet",NA,"NY00445815_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","445814","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","G. Martinelli; T. F. Alves; T. W. Oliveira",NA,NA,NA,"G. Martinelli","1985","07","22","Brazil","Minas Gerais","Botumirim","Estrada Botumirim-Cristália, km 5","-43.0106","-16.8722",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445814","Magnoliophyta","Myrtales","11291",NA,"800","800",NA,NA,"South America","sheet",NA,"NY00445814_01 NY00445814_02",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00939864","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","M. G. da Silva",NA,NA,NA,"J. M. Pires","1978","07","27","Brazil","Tocantins",NA,"Estrada do Formoso ao S. de Gurupi",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939864","Magnoliophyta","Myrtales","16228",NA,NA,NA,NA,NA,"South America","sheet",NA,"NY00939864_01 NY00939864_02",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","445817","PreservedSpecimen","Plantae","Lythraceae","Lafoensia","densiflora","Lafoensia densiflora","Pohl","A. Lourteig",NA,NA,NA,"W. W. Thomas","1985","10","14","Brazil","Mato Grosso",NA,"Mun. Santa Terezinha: Serra Cobrinha, ca 10 km W of BR158 and 17 km N of jct BR158 and road to Santa Terezinha (MT413)","-51.23","-10.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445817","Magnoliophyta","Myrtales","4424",NA,NA,NA,NA,NA,"South America","sheet",NA,"NY00445817_01",NA,NA,NA,NA,NA,NA,NA
