"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","2481962","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","G. G. Hatschbach","12959","1965","10","13","South America","Brazil","Paraná","Campo Mourao","Campo Mourao","-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2743000' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481962","NY02481962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1281065","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","J. C. Lindeman","4531","1967","01","26","South America","Brazil","Paraná","Campo Mourao","About 3 km N of Campo Mourao","-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1660652' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281065","NY01281065_01","O. L. M. da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:38:18-03","EAO","IAN","18405","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","cinctus","Croton cinctus","Müll.Arg.","sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018405","IAN018405_ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:47:53-03","NBC","NL-BOTANY","L.2210956","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","cinctus","Croton cinctus","Müll.Arg.","Hatschbach GG; Haas H",NA,"1967","01","25","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"Xilopodifera do cerrado<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2210956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2210956","NL-L2210956","Hatschbach GG","Magnoliopsidae","L 0234164 | 130304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:47:53-03","NBC","NL-BOTANY","WAG.1796735","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","cinctus","Croton cinctus","Müll.Arg.","Hatschbach GG",NA,"1965","10","13","Southern America","Brazil",NA,NA,"Parana (Brasil). Mun Campo Mourão. Campo Mourão.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1796735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1796735","NL-WAG1796735",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:47:53-03","NBC","NL-BOTANY","WAG.1796736","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","cinctus","Croton cinctus","Müll.Arg.","Hatschbach GG",NA,"1965","10","13","Southern America","Brazil",NA,NA,"Parana (Brasil). Mun Campo Mourão. Campo Mourão.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1796736 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1796736","NL-WAG1796736",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:43:11-03","UFMS","CGMS","45148","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","A. Pott; V.J. Pott","14648","2007","10","12",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Fazenda Boa Vista, 25 Km NW de Alcinópolis, entorno do Monumento Natural Municipal Serra do Bom Jardim e Parque Natural Municipal Templo dos Pilates.","-53.6622222","-18.1786111",NA,"Flor esbranquiçada. Fruto verde, imaturo. Látex branco. Habitat: Cerrado típico Habito: Erva subereta com base lenhosa e xilopódio.","CGMS1075114",NA,"Inês Cordeiro",NA,NA,"-53,6622222","-18,1786111","470","470",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:43:11-03","UFMS","CGMS","40482","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","T.R.F. Sinani; C.C.C. Encina; A. Pott","102","2013","10","04",NA,"Brasil","Mato Grosso do Sul","Corguinho","Estância Quinta do Sol.","-55.2461111","-19.7763889",NA,NA,"CGMS1070467",NA,"O.L.M. Silva",NA,NA,"-55,2461111","-19,7763889","280","280","2014","01","29",NA,NA,NA,NA,NA
"9","2021-04-07 11:43:11-03","UFMS","CGMS","65100","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","T.S.G. Botelho; A. Pott; K.C.B.S. Santos; A.C. Rodrigues","40","2017","10","19",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Monumento Natural Serra do Bom Jardim, Parque Municipal Templo dos Pilares. Trilha Templo dos Pilares.","-53.6802778","-18.1475",NA,NA,"CGMS1098061",NA,"A. Pott; V.J. Pott",NA,NA,"-53,6802778","-18,1475","627","627","2018","03","03",NA,NA,NA,NA,NA
"10","2021-04-07 11:43:11-03","UFMS","CGMS","29146","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","A. Pott; V.J. Pott","14554","2007","09","29",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Assentamento Capão Bonito II.","-54.7788889","-21.2433333",NA,NA,"CGMS1058609",NA,"I. Cordeiro",NA,NA,"-54,7788889","-21,2433333","395","395","2010","06","24",NA,NA,NA,NA,NA
"11","2019-08-16 08:39:13-03","UTFPR","HCF","9716","S","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","M.G. Caxambu","3468","2011","09","27",NA,"Brasil","PR","Campo Mourão","Cerrado Valtra","-52.363194","-24.014389",NA,"erva heliófita, xilopodífera, ca. 0,35 m. Flores amarelo-esverdeadas.",NA,NA,"G.A. Dettke",NA,NA,"52°21'47,5 W","24°00'51,8 S","549","549","2014",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:24:03-03","MBM","MBM","1804","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","Hatschbach, G.; Haas, H.; Haas, H.","15918","1967","01","25","Southern America","Brazil","Paraná","Campo Mourão","Campo Mourão","-52.3830986022949","-24.0456008911133",NA,"Xilopodífera do cerrado. Disco da flor feminina alaranjado","MBM001804","MBM001804","Cordeiro, I.",NA,NA,NA,NA,NA,NA,"2009","04",NA,"28572","auto",NA,NA,NA
"13","2020-12-21 16:24:03-03","MBM","MBM","436","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","Hatschbach, G.","12959","1965","10","13","Southern America","Brazil","Paraná","Campo Mourão","Campo Mourão","-52.3830986022949","-24.0456008911133",NA,"Do cerrado, flor verde. Com xilopodio","MBM000436","MBM000436","Cordeiro, I.",NA,NA,NA,NA,NA,NA,"2009","04",NA,"28572","auto",NA,NA,NA
"14","2013-01-07 15:02:13-02","MNHN","RECOLNAT_MNHN_P","P00634926","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Astraea","cincta","Astraea cincta","(Müll.Arg.) Caruzo & Cordeiro","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634926' target='other'> <mi>dwc_moreinfo</mi></a>","P00634926","P00634926_01","Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220",NA,NA
