"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","imagecode"
"1","2019-08-27 13:26:30-03","IAP","PACA-AGP","1857","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C. N. Gonçalves & J. L. Waechter","J. L. waechter","2005","05","11","L. Maurmann","1935","01","15","Brasil","RS","São Francisco de Paula","Fazenda Englert","-50.5835990905762","-29.4480991363525","76715","Habitat: In araucarieto, epiphytica Fenofase: flor","PACA001857","auto",NA,NA,NA
"2","2019-08-27 13:26:30-03","IAP","PACA-AGP","6443","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C. N. Gonçalves & J. L. Waechter","J. L. Waechter","2005","05","11","Rambo, B.","1939","03","03","Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172","10287","Habitat: In silva campestri, epiphytica Fenofase: flor","PACA006443","auto",NA,NA,NA
"3","2020-12-21 16:38:44-03","MBM","MBM","29859","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","karlii","Pleurothallis karlii","Pabst","Pabst, G.","1959",NA,NA,"Hatschbach, G.","1957","12","02","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768","45291","Epífita da mata higrófila. Flor viniosa","MBM029859","auto","4689","Southern America","MBM029859"
"4","2020-12-21 16:38:44-03","MBM","MBM","29371","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","karlii","Pleurothallis karlii","Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1966","11","20","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768","45291",NA,"MBM029371","auto","15148","Southern America","MBM029371"
"5","2020-12-21 16:38:44-03","MBM","MBM","29860","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","karlii","Pleurothallis karlii","Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1961","12","02","Brazil","Paraná","São José dos Pinhais","Rodovia Gov. Lupion, Rio Pequeno","-49.2064018249512","-25.5347003936768","45291",NA,"MBM029860","auto","8797","Southern America","MBM029860"
"6","2020-12-21 16:38:44-03","MBM","MBM","10137","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","karlii","Pleurothallis karlii","Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1968","07","25","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768","45291",NA,"MBM010137","auto","19533","Southern America","MBM010137"
"7","2021-02-11 17:20:51-03","UFPR","UPCB","85694","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N.Gonç. & Waechter","Smidt, E.C.",NA,NA,NA,"Klein, J.",NA,NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869","30776","Possui duplicata conservada em solução de glicerina com álcool..",NA,"auto","219",NA,NA
"8","2021-02-11 17:20:51-03","UFPR","UPCB","85467","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N.Gonç. & Waechter","Smidt, E.C.",NA,NA,NA,"Klein, J.",NA,NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715","Possui duplicata conservada em solução de glicerina com álcool..",NA,"auto","15",NA,NA
"9","2021-02-11 17:20:51-03","UFPR","UPCB","85815","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N.Gonç. & Waechter","Toscano de Brito, A.L.V.",NA,NA,NA,"Toscano de Brito, A.L.V.","2015","11","04","Brasil","Paraná","Piraquara","Parque Estadual Pico do Marumbi, Reservatório do Carvalho, Mananciais da Serra","-49.0633010864258","-25.4416999816895","12577","Ex D. Imig s.n. Florescendo em cultivo em 4 nov. 2015. Amostra conservada em solução de glicerina com álcool..",NA,"auto","3450",NA,NA
"10","2021-02-11 17:21:00-03","UFPR","UPCB","84788","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","karlii","Pleurothallis karlii","Pabst","Toscano de Brito, A.L.V.","2015",NA,NA,"Toscano de Brito, A.L.V.","2008","12",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465","55154","Coletado por M. Klingelfuss s.n.. Florescendo em cultivo em dezembro/2008. Amostra conservada em solução de glicerina com álcool..",NA,"auto","2555",NA,NA
"11","2021-02-08 12:52:09-03","UFRGS","ICN","031315","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N. Gonç. & Waechter","Gonçalves, CN","2004","02","16","Waechter, JL","1976","04","17","Brasil","RS","Cambará do Sul","Morro Agudo","-50.1446990966797","-29.0478000640869","30776","Flores vináceo-pardacentas.","ICN00038722","auto","240","América do Sul",NA
"12","2021-02-08 12:52:09-03","UFRGS","ICN","015041b","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N. Gonç. & Waechter","Gonçalves, CN","2004","03","16","Dutra, J",NA,NA,NA,"Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566","20837","Capão úmido","ICN00038723","auto","1041b","América do Sul",NA
"13","2020-08-26 10:50:18-03","MCN-FZBRS","HAS","12777","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Acianthera","karlii","Acianthera karlii","(Pabst) C.N.Gonç. & Waechter","Waechter, J.L.","2006","05","24","Lise, A.","1981","01",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715",NA,"HAS0012777","auto","s.n.",NA,NA
