"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","imagecode","geoFlag","typeStatus"
"1","2021-02-25 10:13:07-03","CVRD","CVRD","14762","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Biral, L.","941","2014","02","17","América do Sul","BRASIL","ES","Linhares","Entre o estacionamento e viveiro de mudas","-40.058667","-19.135194","40°03'31,2W","19°08'06,7S","Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD014762",NA,NA,NA,NA,NA,NA
"2","2021-02-25 10:13:07-03","CVRD","CVRD","13634","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Siqueira, G.S.","685","2011","12","06","América do Sul","BRASIL","ES","Linhares","Aceiro com Pasto, na sede do Macuco, Jueirana","-39.963778","-19.074139","39°57'49,6W","19°04'26,9S","Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD013634","27","27",NA,NA,NA,NA
"3","2021-02-25 10:13:07-03","CVRD","CVRD","5657","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Folli, D.A.","2966","1997","03","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD005657",NA,NA,"48094","CVRD005657","auto",NA
"4","2021-02-25 10:13:07-03","CVRD","CVRD","14370","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Siqueira, G.S.","861","2013","02","22","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD014370",NA,NA,"48094",NA,"auto",NA
"5","2021-02-25 10:13:07-03","CVRD","CVRD","8419","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Siqueira, G.S.","64","2003","11","14","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD008419",NA,NA,"48094","CVRD008419","auto",NA
"6","2021-02-25 10:13:07-03","CVRD","CVRD","9383","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Folli, D.A.","5012","2004","12","14","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD009383",NA,NA,"48094","CVRD009383","auto",NA
"7","2021-02-25 10:13:07-03","CVRD","CVRD","14228","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Folli, D.A.","6945","2012","11","20","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD014228","68","68","48094",NA,"auto",NA
"8","2021-02-25 10:13:07-03","CVRD","CVRD","9239","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","M.C. Souza & A. C. Tuler","2015","07","01","Folli, D.A.","5119","2005","11","10","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD009239",NA,NA,"48094",NA,"auto",NA
"9","2021-02-25 10:13:07-03","CVRD","CVRD","2960","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto","Graziela M. Barroso","1990","02","24","Spada, J.","57","1972","11","08","América do Sul","BRASIL","ES","Linhares","Próximo a casa do guarda no Rio Barra Seca.","-40.0722007751465","-19.3910999298096",NA,NA,"Outros Nomes: Batinga imbé, Araçá amargo, Grumixama selvagem <ll>dwc_commonname:</ll> Batinga espada","CVRD002960",NA,NA,"48094","CVRD002960","auto","HOLOTYPUS"
"10","2019-10-07 09:35:35-03","UEFS","HUEFS","86963","PreservedSpecimen","Plantae","Angiospermae","Rosanae","Myrtales","Myrtaceae","Myrcia","gilsoniana","Myrcia gilsoniana","G.M.Barroso & Peixoto",NA,NA,NA,NA,"Ilegível",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal do CVRD.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"HUEFS0086963",NA,NA,"48094",NA,"auto",NA
