"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104873","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","bifurcata","Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini","S. Liede","isotype","H. S. Irwin","27896a","1970","03","16","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço: ca. 18 km. E of Diamantina","-43.6003","-18.2494","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298050' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104873","NY01104873_01",NA,NA,NA,NA,NA
"2","2020-12-21 16:12:25-03","MBM","MBM","50370","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bifurcata","Ditassa bifurcata","Rapini","Rapini, A.","HOLOTYPE","Irwin, H.S.; Fonseca, S.F. da; Souza, R.; Reis dos Santos, R.; Ramos, J.; Fonseca, S.F. da; Souza, R.; Reis dos Santos, R.; Ramos, J.","27896a","1970","03","19","Southern America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Ca. 18km E de Diamantina",NA,NA,"1100","1100",NA,"Rocky summits with soil-filled crevices and small areas of white sand.; Rocky summits with soil-filled crevices and small areas of white sand.","MBM050370","MBM050370",NA,NA,NA,NA,NA
"3","2014-08-23 05:35:00-03","MO","MOBOT","1679423","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bifurcata","Ditassa bifurcata","Rapini",NA,"Isotype","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 27896A","1970","3","19","South America","Brazil","Minas Gerais",NA,"18 km E of Diamantina, rocky summits with soil filled crevices and small areas of white sand",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-17 08:55:07-03","UEFS","HUEFS","253839","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","bifurcata","Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini",NA,NA,"Costa, F.N.","1981","2016","11","05",NA,"Brasil","Minas Gerais","Buenópolis","Parque Nacional das Sempre Vivas. Campos São Domingos, próximo ao alojamento.","-43.778056","-17.911944","1283","1283",NA,"Campo rupestre.","HUEFS0253839",NA,"Asteranae","43W46'41''","17S54'43''",NA,NA
"5","2021-03-04 11:15:27-03","UEFS","HUEFS","253848","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","bifurcata","Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini",NA,NA,"Costa, F.N.","1887","2016","06","30",NA,"Brasil","Minas Gerais","Diamantina","Parque Nacional das Sempre Vivas. Caminho para o alojamento.","-43.786667","-17.9625","1267","1267",NA,"Campo rupestre em meio a afloramentos rochosos.","HUEFS0253848",NA,"Asteranae","43W47'12''","17S57'45''",NA,NA
"6","2020-01-17 08:55:07-03","UEFS","HUEFS","253857","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","bifurcata","Minaria bifurcata","(Rapini) T.U.P.Konno & Rapini",NA,NA,"Costa, F.N.","2072","2017","09","25",NA,"Brasil","Minas Gerais","Bocaiúva","Trecho do Espinhaço conhecido cmo Serra Mineira, extremo norte do Planalto de Diamantina, Bacia do Rio São Francisco.","-43.765556","-17.468611","1025","1025",NA,"Afloramento rochoso em área de transição entre campo rupestre e cerrado.","HUEFS0253857",NA,"Asteranae","43W45'56''","17S28'7''",NA,NA
"7","2019-09-04 20:05:08-03","F","FMNH-SEEDPLANTS","V0048890F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","bifurcata","Ditassa bifurcata",NA,NA,"Isotype","H. S. Irwin et al.","27896a","1970","3","19","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0048890F","V0048890F_01","Dicotyledoneae",NA,NA,NA,NA
"8","2021-02-23 13:21:49-03","MN","R-TIPOS","211996","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bifurcata","Ditassa bifurcata","Rapini","Konno, T.","Isotypus","Irwin, H.S. ; Fonseca, S.F.; Souza, R.; Santos, R.R. & Ramos, J.","27896 a","1970","03","19",NA,"Brasil","Minas Gerais","Serra do Espinhaço",NA,NA,NA,"1100","1100",NA,NA,"R000211996","R000211996_001",NA,NA,NA,"2001","04"
