"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","continentOcean","order"
"1","2019-08-20 10:00:58-03","UNICAMP","UEC","112222","S","Plantae","Liliopsida","Orchidaceae","Pleurothallis","translucida","Pleurothallis translucida","Barb.Rodr.","Breier, TB","2004","08","Borba, EL","585","1997","05","Brazil","São Paulo","Atibaia","Grota Funda","-46.5499992370605","-23.1100006103516","21675","Epífita.","UEC027258","UEC027258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:00:58-03","UNICAMP","UEC","118844","S","Plantae","Liliopsida","Orchidaceae","Pleurothallis","translucida","Pleurothallis translucida","Barb.Rodr.","Breier, TB","2004","08","Borba, EL","302","1997","09","Brazil","São Paulo","Atibaia","Grota Funda","-46.5499992370605","-23.1100006103516","21675","Epífita.","UEC027257","UEC027257","auto","25",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:00:58-03","UNICAMP","UEC","139972","S","Plantae","Liliopsida","Orchidaceae","Pleurothallis","translucida","Pleurothallis translucida","Barb.Rodr.",NA,NA,NA,"Breier, TB","1234","2004","09","Brazil","São Paulo","Atibaia","Grota Funda","-46.5499992370605","-23.1100006103516","21675","Procedente da casa de vegetação.","UEC027255","UEC027255","auto","08",NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:03:52-03","FURB","FURB","29222","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer","Siqueira, CE",NA,NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2244","2010","05","Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.2355555","-26.365",NA,"Epífita IFFSC e993b (Acima de 4m). Forófito 3. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor amarela com listras roxas","FURB04797","FURB04797",NA,"10","-49.2355555","-26.3650000","417","417",NA,NA,NA
"5","2020-12-11 11:44:19-03","UFMG","BHCB","185950","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer",NA,"2018","10","Gontijo, FD","331","2014","10","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.390414","-18.979311",NA,"Herbáceo; Frutificação; Epífita em palmeira, frutos verdes imaturos; Floresta estacional semidecidual","BHCB185950",NA,NA,"03","-43.390414","-18.979311","651","651","11","Southern America",NA
"6","2020-12-11 11:44:19-03","UFMG","BHCB","92427","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer",NA,"2007","07","Mota, RC da; et al.","2548","2003","03","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo","-43.4249992370605","-19.0372009277344","60318","Erva epífita; perianto verde-amarelado, tendo nas pétalas uma listra longitudinal castanha.; Planta coletada em mata de galeria","BHCB044979",NA,"auto","19",NA,NA,NA,NA,NA,"Southern America",NA
"7","2020-12-11 11:44:19-03","UFMG","BHCB","92420","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer",NA,"2007","07","Mota, RC da; et al.","2541","2003","04","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo","-43.4249992370605","-19.0372009277344","60318","Erva epífita; labelo verde, pétalas e sépalas castanho-esverdeadas com listras longitudinais vináceas.; Planta coletada em mata de galeria","BHCB000998","BHCB000998","auto","23",NA,NA,NA,NA,NA,"Southern America",NA
"8","2021-02-11 17:20:51-03","UFPR","UPCB","83096","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","cf. translucida","Acianthera cf. translucida","(Barb.Rodr.) Luer","Toscano de Brito, A.L.V.","2015","05","Toscano de Brito, A.L.V. | Kollmann, L.","2870","2011","07","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617","23813","Epífita. Ramicaule verde; bainhas pardas; folhas verdes. Sépala dorsal amarelo-esverdeda com nervuras vermellho-pardas; sépalas laterais pardo-esverdeadas com nuance avermelhado-parda na face interna; pétalas verde-amareladas com nervuras mais escuras; l",NA,NA,"auto","16",NA,NA,NA,NA,"13",NA,NA
"9","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","13067",NA,"Plantae",NA,"Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer","H.L. Silva/17-01-2020",NA,NA,"L. Kollmann; et al","2912","2000","05","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Bactris a esquerda. Mata baixa. Epífita na sombra. Sépalas esverdeadas com listras vináceas, pétalas amarelo esverdeados. Labelo verde com o centro vináceo.","MBML013067","MBML013067",NA,"05","40W31'49","19S58'17",NA,NA,NA,NA,NA
"10","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","42959",NA,"Plantae",NA,"Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer","G. Chiron",NA,NA,"J. Guiard","8171","2008",NA,"Brasil","Espírito Santo","Conceição do Castelo",NA,"-41.271667","-20.335972",NA,"1 pousse","MBML042959","MBML042959",NA,NA,"41W16'18","20S20'9,5","782","782",NA,NA,NA
"11","2020-07-10 09:48:31-03","MBML","MBML-HERBARIO","13486",NA,"Plantae",NA,"Orchidaceae","Pleurothallis","translucida","Pleurothallis translucida","Barb.Rodr.","L. Kollmann/Set.2000",NA,NA,"L. Kollmann; et al","2905","2000","05","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Bactris a esquerda. Mata baixa. Tipo serpentina grande. Epífita na luz forte. Sépalas amarelos com o ápice amarronzados, pétala verde amarelado, labelo base amarela, lóbulos laterias amarelo. Margens e ápice marrons, centro vináceo. VI","MBML013486",NA,NA,"05","40W31'49","19S58'17",NA,NA,NA,NA,NA
"12","2020-08-20 14:54:41-03","UFSC","FLOR","37803","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","translucida","Acianthera translucida","(Barb.Rodr.) Luer","Siqueira, C.E.","2013","10","Siqueira, C.E.","101","2010","05","Brasil","Santa Catarina","Florianópolis","Porto da Lagoa.","-48.5491981506348","-27.596700668335","27000","epífita, flor alaranjada. Em tronco de Ouratea castanaefolia a 1 m do solo. Início da trilha (rua do sol). Local bem iluminado. Flor alaranjada, com 5 veias logitudinais e flores vináceas.","FLOR0037803",NA,"auto","16",NA,NA,NA,NA,"09",NA,"Asparagales"
"13","2017-09-11 17:12:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","translucida","Pleurothallis translucida","Barb.Rodr.",NA,NA,NA,"Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in sylvis montuosis ad Serra de Santa-Anna prov. Rio de Janeiro",NA,NA,NA,"Floret Aprili",NA,"P03P4N0093",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA
