"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:47-03","E","E","283771","PreservedSpecimen","Plantae","Leguminosae","Mimosa","furfuracea","Mimosa furfuracea","Ribas, O.S.; Pereira, L.B. S.","1828","1997","11","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295103","<a href=http://data.rbge.org.uk/herb/E00283771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","419403","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","F. C. Hoehne","30232","1933","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419403","Magnoliophyta","Fabales","Benth.","F. C. Hoehne","São Paulo","Sao Paulo","Parque do Estado","-46.621883","-23.654505","NY00419403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","419397","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","G. G. Hatschbach","39962","1977","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419397","Magnoliophyta","Fabales","Benth.","G. G. Hatschbach","Paraná","Arapoti","Rio das Cinzas","-49.8267","-24.1581","NY00419397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00713935","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","M. B. Ferreira","16","1969","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00713935","Magnoliophyta","Fabales","Benth.","A. Savassi-Coutinho","Distrito Federal","Brasília","Braslândia","-47.9294","-15.7797","NY00713935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","419394","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","M. B. Ferreira","16","1969","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419394","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","NY00419394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","419400","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","O. dos S. Ribas","1828","1997","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419400","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Jaguariaíva","Rio Samambaia","-49.7056","-24.2511","NY00419400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","419401","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","F. C. Hoehne","30232","1933","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419401","Magnoliophyta","Fabales","Benth.","F. C. Hoehne","São Paulo","Sao Paulo","Parque do Estado","-46.621883","-23.654505","NY00419401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","419399","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","G. G. Hatschbach","52296","1988","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419399","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Irati","Rod. BR-277, km 232","-50.6508","-25.4672","NY00419399_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","419405","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","P. E. Gibbs","3420","1976","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419405","Magnoliophyta","Fabales","Benth.","R. C. Barneby","São Paulo","Cunha",NA,"-44.9597","-23.07","NY00419405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","419398","PreservedSpecimen","Plantae","Fabaceae","Mimosa","furfuracea","Mimosa furfuracea","G. G. Hatschbach","26751","1971","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419398","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Sengés","Morro Pelado","-49.4633","-24.1131","NY00419398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
