"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","barcode","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","fieldNumber","preparationType","individualCount","class"
"1","2019-10-09 11:12:21-03","UFBA","ALCB","96188","PreservedSpecimen","Plantae","Dicotyledon","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","G.Lindb.","Barbosa, E; Cordeiro, J","2010","Temponi, LG; Cordeiro, J; Silva, JM","686","2009","10","12","Southern America","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, BR 469 interior do Parque","-54.5881004333496","-25.5478000640869","39570","Flor alvacenta.; semidecidual. Beira da rodovia.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:04:12-03","ESALQ","ESA","96539","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Souza, V.C.",NA,"Oriani, A. et al.","549.0","2005","03","23",NA,"Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804",NA,"auto","ESA096539","ESA096539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:12-03","ESALQ","ESA","84630","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus",NA,NA,NA,"Urbanetz, C. et al.","111.0","2003","04","21",NA,"Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061","38740",NA,"auto","ESA084630","ESA084630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:04:12-03","ESALQ","ESA","43708","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","Lindb.","Zappi, D.C.","2005","Souza, J.P. ; Souza, V.C.","2003.0","1997","12","10",NA,"Brasil","São Paulo","Itararé","Estrada para Pedreira Cobastalco. Mata","-49.3400001525879","-24.1100006103516","27729","Epífita, botões amarelados","auto","ESA043708","ESA043708","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:04:12-03","ESALQ","ESA","75558","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","Lindberg.","Aona, L.Y.S.",NA,"Souza, F.M.; Duarte, A.R. Sampaio, D. Bernhardt, R. Rodrigues, R.R. Souza, V.C. Tamashiro, J.Y. Gandolfi, S. Oliveira, A.A. Souza, J.P. Ivanauskas, N.M. Furlan, E.","115.0","2001","04","13",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu. 750msm.","-46.6300010681152","-23.5400009155273","53584","Epífita, frutos maduros alaranjados.","auto","ESA075558","ESA075558",NA,NA,"-46,775,417","-23,989,083","750","750",NA,NA,NA,NA,NA
"6","2020-11-04 11:04:12-03","ESALQ","ESA","79915","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","Lindberg.","Aona, L.Y.S.",NA,"Udulutsch, R.G.; Berndt, A.; Giannotti, M.; Muniz, M.R.A.; Botrel, R.T.; Vieira, S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","683.0","2002","04","23",NA,"Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual de Carlos Botelho, Núcleo S. M. Arcanjo. Floresta Estacional Semidecidual/ Floresta Ombrofila Densa Montana. Trilha do Taquaral.","-475.943","-240.327",NA,"Epífita encontrada a 1m sobre árvore. Frutos maduros amarelos.",NA,"ESA079915","ESA079915",NA,NA,"-475,943","-240,327",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:12-03","ESALQ","ESA","16739","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","Lindberg.","Souza, V.C.",NA,"Sakuragui, C.M. et al.","407.0","1993","10","02",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,"auto","ESA016739","ESA016739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:12-03","ESALQ","ESA","2324","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Rhipsalis","puniceo-discus","Rhipsalis puniceo-discus","Lindb.","Taylor, N.P.",NA,"Kummrow, R.","1553.0","1981","09","11",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375","17116",NA,"auto","ESA002324","ESA002324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:26:44-03","MN","R","219378","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Zappi, D.","2014","Ule, E.H.G.",NA,"1895","08",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"R010029151,R010029152,R010029153","R010029151 R010029152 R010029153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:26:44-03","MN","R","219379","PreservedSpecimen","Plantae",NA,"Cactaceae","Rhipsalis","puniceodiscus","Rhipsalis puniceodiscus","G. Lindb.","Zappi, D.","2014","Segadas -Vianna, F.","572","1944","07","16",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","500",NA,NA,NA,NA,NA
