"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","312414","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","ayacuchae","Utricularia ayacuchae","Steyerm.","isotype","J. A. Steyermark","58520","1944","09","11","South America","Venezuela","Amazonas","Puerto Ayacucho","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312414","NY00312414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3857192","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"O. Huber","5703","1980","09","23","South America","Venezuela","Amazonas","sabanas y bosques en la región de Rincones de Chacorro, a unos 30 km. al N de Puerto Ayacucho y unos 5 km. al NE de Galipero","80",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133867' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857192",NA,"Atures","-67.33","5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-02-14 16:13:00-02","NY","NYBG","400646","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata",NA,NA,"L. Aristeguieta","6223","1966","08","06","South America","Venezuela","Guárico","Calabozo. Al sur de la vieja casa del Hato El Recreo, cerca Estación Biológica de los Llanos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400646","NY00400646_01",NA,NA,NA,"P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929834","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"D. R. Hunt","6159","1966","06","23","South America","Brazil","Goiás","Caiaponia-Aragarças road, 75 km. from Aragarças, near Piranhas.","600","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929834","NY00929834_01","Piranhas","-51.8219","-16.4269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3857193","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"J. A. Steyermark","13","1955","01","08","South America","Venezuela","Bolívar","Savanna and morichal, 0.5 km. northeast and east of Urimán","393",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133868' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1016255","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"A. Gehrt","s.n.","1918","11","10","South America","Brazil","São Paulo","Butantan.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143676' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016255","NY01016255_01","São Paulo","-46.724373","-23.565521","E. Fromm Trinta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929726","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"H. S. Irwin","15194","1966","04","21","South America","Brazil","Goiás","Serra do Morcêgo, near Côrrego Estrema, ca. 38 km N.E. of Formosa","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929726","NY00929726_01","Formosa","-47.08283","-15.2905556","P. C. Baleeiro S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400647","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Collector unspecified",NA,NA,NA,NA,"South America","Guyana",NA,"Sand ck. Rupununi R.",NA,NA,"sheet","Field no. WB 53 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00400681","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"T. C. Plowman","8706","1980","02","11","South America","Brazil","Pará","Range of low hills ca. 20 km west of Redençao, near Côrrego Sao Joao and Troncamento Santa Teresa","350","620","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400681","NY00400681_01","Conceição do Araguaia","-50.17","-8.05","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929835","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"W. W. Thomas","4248","1985","10","05","South America","Brazil","Mato Grosso","Igarapé forest along BR 080, 116 km E of junction with BR 163",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929835","NY00929835_01","Sinop","-53.95","-10.55","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","400623","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"G. Eiten","1751","1960","03","23","South America","Brazil","São Paulo","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. Ca. 4 km NNW of Padua Sales. (About 27 km NW of city of Moji-Mirim).)","575","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400623","NY00400623_01","Moji-Guaçu","-47.142","-22.242","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","929833","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"W. R. Anderson","35300","1972","02","03","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929833","NY00929833_01",NA,"-43.6836","-18.41575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3857191","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"O. Huber","5393","1980","07","19","South America","Venezuela","Amazonas","sabanas de Santa Bárbara, en la ribera S del río Orinoco, río abajo de su confluencia con el río Ventuari","95",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133866' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857191",NA,"Atabapo","-67.13","3.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","929832","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"H. S. Irwin","33049","1971","03","23","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 30 km N of Alto do Paraíso","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929832","NY00929832_01","Alto Paraíso de Goiás","-47.5167","-13.84555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:43:04-03","EAO","IAN","52386","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Lima, RP de","81","1950","03",NA,"Southern America","Brasil","Pará","Marajó, Rio Camará; vegetação herbácea dos campos da fazenda Santa Rita, Retiro Pau-Grande.",NA,NA,NA,NA,"IAN052386",NA,NA,NA,NA,"Moreira, AD","2012","01","10",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:33:12-03","NBC","NL-BOTANY","L.2827357","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","Afzel. ex Kamienski",NA,"Melinon M",NA,NA,NA,NA,"Southern America","French Guiana",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2827357 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2827357","NL-L2827357",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:12:11-03","ESALQ","ESA","38898","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St. - Hil. ex Girard",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14135.0","1997","03","15",NA,"Brasil","Mato Grosso","Estrada São Félix do Araguaia. - Alto Boa Vista, ca. 17 Km de São Félix do Araguaia. Fazenda Agropasa. Mata de brejo, com árvores atingindo até 7 m alt.","140","140",NA,"Erva; corola amarela com fauce amarelo-alaranjada.","ESA038898","ESA038898","São Félix do Araguaia","-505.152","-113.956","Souza, J.P.",NA,NA,NA,NA,"-505,152","-113,956",NA,NA,NA,NA,NA
"18","2020-11-04 11:12:11-03","ESALQ","ESA","38874","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14679.0","1997","03","20",NA,"Brasil","Mato Grosso","Ca. 31 km WNW (em linha reta) de São Félix do Araguaia. Estrada para Luciara. Fazenda Buritizal. Savana Parque. Área arborizada com palmeiras (buritizal).",NA,NA,NA,"Erva aquática; flores lilases com fauce amarelo-alaranjada.","ESA038874",NA,"São Félix do Araguaia","-50.6693992614746","-11.6171998977661","Gonella, P.M.",NA,NA,NA,NA,"-50,942,222","-11,501,389","290331","auto",NA,NA,NA
"19","2020-11-04 11:12:11-03","ESALQ","ESA","38877","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14159.0","1997","03","15",NA,"Brasil","Mato Grosso","Estrada São Félix do Araguaia. - Alto Boa Vista, ca. 13 Km após o entroncamento para Luciara. Savana parque com solo alagável. Campo.","140","140",NA,"Erva viscosa; corola rósea com fauce com mancha amarela circundada de alvo.","ESA038877",NA,"São Félix do Araguaia","-510.456","-113.602","Gonella, P.M.",NA,NA,NA,NA,"-510,456","-113,602",NA,NA,NA,NA,NA
"20","2020-11-04 11:12:11-03","ESALQ","ESA","38873","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Árbocz, G.F.; Ivanauskas, N.M.; Silva, M.M.R.; Zanella, J.","3712.0","1997","03","28",NA,"Brasil","Mato Grosso","Fazenda Brasil, estrada para a Serra Azul em direção à Fazenda Ouro e Prata. Savana Gramíneo-Lenhosa (Campo úmido). Relevo ondulado",NA,NA,NA,"Erva ereta. Pétalas lilases, brancas na base.","ESA038873",NA,"Nova Xavantina","-523.015","-145.332","Gonella, P.M.",NA,NA,NA,NA,"-523,015","-145,332",NA,NA,NA,NA,NA
"21","2020-11-04 11:12:11-03","ESALQ","ESA","38899","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St. - Hil. ex Girard",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14154.0","1997","03","15",NA,"Brasil","Mato Grosso","Estrada São Félix do Araguaia. - Alto Boa Vista, ca. 17 Km de São Félix do Araguaia. Fazenda Agropasa. Mata de brejo, com árvores atingindo até 7 m alt.","140","140",NA,"Erva; flores rosa-forte.","ESA038899","ESA038899","São Félix do Araguaia","-505.152","-113.956","Souza, J.P.",NA,NA,NA,NA,"-505,152","-113,956",NA,NA,NA,NA,NA
"22","2020-11-04 11:12:11-03","ESALQ","ESA","38900","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St. - Hil. ex Girard",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14513.0","1997","03","19",NA,"Brasil","Mato Grosso","Estrada para a Mata do Coco, ca. 16 km N de Luciara. Fazenda Três Pontas do Araguaia. Savana Parque. Área arborizada, alagada, com arbustos e árvores concentrados sobre os murunduns (campo cerrado).","140","140",NA,"Erva; corola rosa-forte com fauce amarela.","ESA038900","ESA038900","Luciara","-504.417","-110.721","Souza, J.P.",NA,NA,NA,NA,"-504,417","-110,721",NA,NA,NA,NA,NA
"23","2020-11-04 11:12:11-03","ESALQ","ESA","21394","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Souza, V.C. et al.","8651.0","1995","05","28",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA021394",NA,"Itararé","-49.3400001525879","-24.1100006103516","Gonella, P.M.",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA
"24","2020-11-04 11:12:11-03","ESALQ","ESA","43871","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A.St.-Hil. & Girard",NA,"Souza, J.P. ; Souza, V.C.","2040.0","1997","12","17",NA,"Brasil","São Paulo","Estação Experimental do IAC. Beira de estrada em local alagado",NA,NA,NA,"Erva flutuante, flores rosa forte com mancha amarela e branca na pétala inferior","ESA043871","ESA043871","Itararé","-49.3400001525879","-24.1100006103516","Souza, J.P. (XII/1997)",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA
"25","2021-01-14 15:31:21-03","MN","R","117635","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","cucullata","Utricularia cucullata","A. St.-Hil. & Girard",NA,"Hunt, D.R. 6159; Ramos, J.F.",NA,"1966","06","23",NA,"Brasil","Goias",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,"Trinta, E.F.","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
