"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","class","relatedCatalogItem","relationshipType","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","infraspecificEpithet"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3243","S","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","Carlos A. Ferreira Jr.","2013","12","09","Carlos Alberto F. Jr.; Juliana Ordones","Caf","2013","12","02","Brasil","Minas Gerais","Catas Altas","Caminho do Tanque Grande, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 06' 05S","43º 29' 33W","11966","1258","1258","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:22-03","E","E","326789","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Viola","cerasifolia","Viola cerasifolia",NA,NA,NA,NA,NA,"Gardner, George","311",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00326789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:398589","E00326789",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01096420","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","P. Pereira",NA,NA,NA,"P. Pereira","1","2004","03","09","Brazil","Rio de Janeiro","Itatiaia","Itaporani, Parna Itatiaia.","-44.5631","-22.4961",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237428' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY01096420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 07:31:00-03","NY","NYBG","180338","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia",NA,NA,NA,NA,NA,"A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514887' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype","South America","sheet",NA,"NY00180338","NY00180338_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","396280","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","J. G. Kuhlmann",NA,NA,NA,"J. G. Kuhlmann","183","1929","04","06","Brazil","São Paulo","Sao José do Barreiro","Fazenda do Pinherinho. Campos da Serra da Bocaina","-44.5697","-22.64",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514883' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00396280",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396279","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","B. W. P. de Albuquerque",NA,NA,NA,"A. P. Duarte","6294","1962","03","23","Brazil","Rio de Janeiro","Nova Friburgo","Faz. Dr. Goebel","-42.5308","-22.2819",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514884' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00396279",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396281","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","B. W. P. de Albuquerque",NA,NA,NA,"A. P. Duarte","6294","1962","03","23","Brazil","Rio de Janeiro","Nova Friburgo","Fazenda. Dr. Goebel","-42.5308","-22.2819",NA,NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514885' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00396281",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396282","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.","A. C. Cervi",NA,NA,NA,"A. C. Cervi","3046","1989","12","09","Brazil","Paraná","Quatro Barras","Estrada da Graciosa (caminho dos Jesuítas)","-49.07","-25.35",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00396282",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","97623","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","cerasifolia","Viola cerasifolia","A.St.-Hil.",NA,NA,NA,NA,"A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514888' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"possible type","South America","sheet",NA,"NY00097623",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396277","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","tenuis","Viola tenuis","W.Becker","E. P. dos Santos",NA,NA,NA,"E. P. dos Santos","389","1997","10","24","Brazil","Paraná","Quatro Barras","Serra do Capivari Grande","-49.05","-25.38",NA,NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658759' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00396277","NY00396277_01",NA,NA,NA,NA,NA,NA,NA,NA
